Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Foreign Currency Monetary Item Translation Difference A/C,Capital Goods,Preference Share Capital,Equity Share Application Money,Deferred Tax Assets [Net],Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,138.59,163.59,975.9,221.26,1197.16,1360.75,1592.75,256.53,0.0,0.0,1849.28,499.89,103.4,92.93,1.19,697.4,3907.43,2235.08,0.0,98.8,2333.87,34.69,0.0,20.45,2599.25,0.0,159.07,145.17,3.72,1000.22,0.0,1308.18,3907.43,395.68,0.35,0.0,44.77,0.0,33.57,5.4,29.34,0.0,0.0,0.0,14.32,0.0,0.0,0.0,0.0,25.0,0.0,210.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,138.59,163.59,912.29,199.42,1111.71,1275.3,1546.97,233.87,0.0,0.0,1780.84,440.27,165.17,140.69,1.42,747.54,3817.59,2201.85,0.0,2.99,2204.85,34.84,0.0,21.89,2449.14,0.0,201.6,183.38,2.92,980.54,0.0,1368.45,3817.59,438.77,0.96,0.0,106.57,0.0,33.57,6.21,29.47,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,25.0,13.91,187.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,190.77,215.77,857.02,670.22,1527.24,1743.01,1230.78,121.96,0.0,0.0,1352.75,294.45,125.6,247.53,0.0,667.57,3777.25,2083.99,0.0,30.98,2114.97,34.84,0.0,41.7,2264.83,0.0,213.82,240.59,43.62,1014.39,0.0,1512.42,3777.25,464.53,0.96,0.0,64.76,0.0,33.57,9.4,29.48,0.0,0.0,0.0,5.91,0.0,0.0,0.0,0.0,25.0,13.91,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,220.37,220.37,781.98,1166.18,1948.16,2168.53,1846.77,60.29,0.0,0.0,1907.06,211.99,42.17,361.36,30.46,645.98,4761.57,2795.83,0.0,142.75,2938.58,55.07,0.0,33.12,3044.06,0.0,248.5,260.21,230.18,978.62,0.0,1717.51,4761.57,295.29,1.79,0.0,26.24,12.52,33.57,6.81,49.73,0.0,0.0,0.0,3.88,0.0,0.0,0.0,10.73,0.0,40.0,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,281.87,281.87,724.3,2314.94,3039.24,3321.11,1666.3,225.71,0.0,0.0,1892.01,145.21,64.25,853.39,65.89,1128.74,6341.86,3100.46,364.0,574.91,4039.37,129.28,0.0,23.79,4192.45,0.0,350.64,311.07,425.64,1062.06,0.0,2149.41,6341.86,597.23,6.65,0.63,12.86,4.02,33.57,6.38,123.93,0.0,0.0,0.0,139.17,0.0,0.0,0.0,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,282.43,282.43,665.93,2683.03,3348.96,3631.39,1742.8,274.06,0.0,0.0,2016.86,245.23,183.25,884.7,85.37,1398.54,7046.8,3433.08,375.18,904.04,4712.29,158.97,0.0,13.55,4903.27,0.0,390.92,353.98,85.2,1313.43,0.0,2143.53,7046.8,357.97,34.44,1.43,248.69,0.0,33.57,2.14,155.75,0.0,0.0,0.0,248.69,0.0,0.0,0.0,17.6,0.0,0.0,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,307.17,307.17,607.56,3221.09,3828.65,4135.82,1767.43,289.91,0.0,0.0,2057.33,365.3,171.6,992.6,109.91,1639.4,7832.56,3520.56,398.06,702.89,4621.51,313.97,0.0,0.0,4956.12,0.0,468.19,485.26,53.81,1869.19,0.0,2876.45,7832.56,532.04,26.56,0.61,1.28,0.0,33.57,104.3,210.01,0.0,0.0,0.0,430.65,0.0,0.0,0.0,9.97,0.0,0.0,20.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,307.18,307.18,550.1,3232.48,3782.58,4089.76,1254.84,274.27,195.02,50.79,1774.92,581.84,542.53,873.71,75.71,2073.8,7938.48,3556.25,278.23,288.4,4122.88,149.48,2536.81,20.42,6829.59,10.83,497.31,254.4,33.09,313.26,0.0,1108.89,7938.48,954.07,27.96,0.98,1.6,0.0,33.57,2.5,145.48,10.83,0.0,0.0,16.63,4.99,419.57,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,307.18,307.18,487.29,3273.15,3760.44,4067.61,1496.54,324.51,160.27,60.89,2042.21,772.05,633.05,663.73,71.56,2140.39,8250.21,3877.86,255.06,145.1,4278.02,850.4,1916.27,0.0,7044.69,1.56,525.81,209.82,2.88,456.57,0.0,1196.64,8250.21,1247.45,35.16,2.26,2.54,0.0,33.57,2.5,846.41,1.56,0.0,0.0,16.1,5.41,481.2,8.88,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,307.18,307.18,431.07,3351.39,3782.46,4089.64,1937.73,329.69,123.57,64.23,2455.22,816.27,775.63,590.74,75.37,2258.02,8802.88,3914.9,227.15,339.24,4481.28,948.08,1899.69,0.0,7329.05,9.75,496.06,465.59,4.74,497.69,0.0,1473.83,8802.88,1506.29,34.98,2.33,8.25,0.0,33.57,2.49,944.1,9.75,0.0,0.0,442.97,1.81,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,307.18,307.18,357.98,3186.11,3544.09,3851.26,2057.83,329.69,113.06,59.25,2559.83,608.81,864.29,852.47,0.17,2325.74,8736.84,3973.0,188.2,101.3,4262.5,943.49,2085.18,0.0,7291.17,2.05,550.93,422.5,3.06,467.12,0.0,1445.67,8736.84,1540.88,39.3,1.89,91.66,0.0,33.57,2.24,939.5,2.05,0.0,0.0,34.14,2.75,739.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,307.18,307.18,303.56,2982.35,3285.92,3593.09,2196.79,329.69,13.17,58.64,2598.29,481.55,825.27,813.0,0.17,2119.98,8311.37,3548.79,37.02,89.03,3674.84,1585.22,1531.12,0.0,6791.19,0.0,606.88,466.1,3.93,443.28,0.0,1520.18,8311.37,1571.14,42.21,0.0,171.33,0.0,33.57,4.77,1581.24,0.0,0.0,0.0,37.98,4.78,586.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,307.18,307.18,257.67,3083.46,3341.13,3648.31,1935.46,358.93,15.02,62.63,2372.03,469.78,891.62,815.44,37.14,2213.98,8234.31,3384.38,29.76,88.17,3502.32,1584.69,1635.05,0.0,6722.06,0.0,595.25,513.38,3.69,399.94,0.0,1512.26,8234.31,1471.66,3.37,0.0,103.75,0.0,33.57,8.12,1580.71,0.0,0.0,0.0,64.27,333.31,333.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,307.18,307.18,0.0,4801.75,4801.75,5108.93,2379.66,655.64,28.06,160.66,3224.02,301.77,1318.02,691.38,0.18,2311.35,10645.28,6948.84,24.04,127.81,7100.69,616.46,896.3,333.23,8946.68,2.55,745.0,508.88,6.78,51.31,384.09,1698.59,10645.28,1285.75,5.95,0.0,0.0,163.18,33.57,4.77,611.69,0.0,2.55,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,308.15,308.15,0.0,4892.18,4892.18,5200.33,2818.0,653.23,28.41,142.65,3642.29,154.83,1175.92,552.23,0.18,1883.16,10725.79,6769.68,26.64,171.22,6967.55,586.21,1042.73,369.69,8966.18,2.13,672.25,629.47,8.37,42.81,404.59,1759.61,10725.79,1192.35,6.26,0.0,0.0,85.93,33.57,0.0,586.21,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,309.9,309.9,0.0,4929.8,4929.8,5239.7,2643.3,630.82,29.02,140.36,3443.51,337.19,1316.33,768.12,0.18,2421.82,11105.02,6680.03,33.02,177.02,6890.06,692.4,1027.33,371.08,8980.87,2.22,823.21,728.97,6.73,42.81,520.21,2124.15,11105.02,1394.11,10.47,0.0,0.0,66.95,33.57,0.0,692.4,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,309.9,309.9,0.0,5105.01,5105.01,5414.91,2374.99,591.04,111.2,122.36,3199.59,741.91,1331.21,764.63,0.18,2837.93,11452.43,6770.25,55.55,195.8,7021.6,735.75,1125.09,393.5,9275.94,1.19,826.26,716.26,6.63,43.81,582.34,2176.49,11452.43,1194.92,4.9,0.0,0.0,66.09,33.57,0.0,735.75,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,309.9,309.9,0.0,5308.06,5308.06,5617.96,1979.81,553.77,88.92,96.26,2718.76,463.64,1076.26,997.2,0.18,2537.28,10874.0,6598.56,71.45,187.06,6857.07,744.33,1201.52,420.62,9223.54,1.82,583.77,541.24,6.76,43.81,473.05,1650.46,10874.0,1089.65,3.26,0.0,0.0,0.87,33.57,0.0,744.33,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,309.9,309.9,434.43,5073.75,5508.18,5818.08,1928.7,529.5,633.9,184.92,3277.02,1134.45,1287.54,224.12,43.58,2689.68,11784.78,6629.33,58.24,271.5,6959.06,775.55,1251.71,416.6,9402.92,3.96,834.4,921.28,1.82,31.09,589.32,2381.86,11784.78,1084.32,16.09,0.0,0.0,0.0,33.57,0.0,775.55,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,309.9,309.9,0.0,5288.97,5288.97,5598.86,1799.24,283.62,555.34,172.86,2811.07,1119.32,1329.97,268.65,57.77,2775.7,11185.64,6484.37,62.19,313.37,6859.93,489.81,180.2,457.14,7987.09,3.97,774.82,814.12,15.72,1085.32,504.6,3198.55,11185.64,1196.57,6.21,0.0,0.0,0.0,33.57,0.0,489.81,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
