Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1082.36,1.52,1083.88,141.92,0.0,-12.69,297.41,82.67,70.76,380.36,123.45,1.84,125.29,82.24,43.05,0.0,43.05,16.93,26.12,26.12,307.18,0.85,0.85,21.17,68.91,2.52,29.09,8.21
2013-03-31,1190.64,8.39,1199.03,155.04,0.0,-2.12,341.17,91.93,72.04,436.76,104.21,0.0,104.21,63.88,40.33,0.0,40.33,14.05,26.28,26.28,307.18,0.86,0.86,20.9,68.04,2.52,29.09,8.21
2013-06-30,1238.35,2.37,1240.72,159.03,0.0,-14.66,330.12,83.96,67.95,488.86,125.46,0.15,125.61,99.88,25.73,0.0,25.73,8.91,16.82,16.82,307.18,0.55,0.55,20.84,67.83,2.52,29.09,8.21
2013-09-30,1085.93,7.85,1093.78,149.65,0.0,-10.58,305.08,79.36,68.21,434.85,67.21,0.1,67.31,98.75,-31.44,0.0,-31.44,-8.91,-22.53,-22.53,307.18,-0.73,-0.73,21.12,68.75,2.52,29.09,8.21
2013-12-31,1036.54,1.1,1037.64,137.66,0.0,1.3,296.07,83.07,68.62,374.08,76.84,0.83,77.67,77.25,0.42,0.0,0.42,0.0,0.42,0.42,307.18,0.01,0.01,21.15,68.86,2.52,29.09,8.21
2014-03-31,1080.06,44.61,1124.67,159.11,0.0,-7.12,344.97,104.92,71.61,404.01,47.17,0.04,47.21,77.77,-30.56,0.0,-30.56,0.0,-30.56,-30.56,307.18,-0.99,-0.99,21.15,68.86,2.06,23.78,6.71
2014-06-30,1226.24,2.17,1228.41,153.32,0.0,43.12,304.52,78.15,66.21,489.34,93.75,0.03,93.78,96.74,-2.96,0.0,-2.96,0.0,-2.96,-2.96,307.18,-0.1,-0.1,21.45,69.82,2.06,23.78,6.71
2014-09-30,1131.68,4.03,1135.71,173.63,0.0,-15.85,296.26,76.83,66.33,421.68,116.83,0.14,116.97,109.48,7.49,0.0,7.49,0.0,7.49,7.49,307.18,0.24,0.24,21.54,70.13,2.06,23.78,6.71
2014-12-31,1035.91,4.31,1040.22,145.2,0.0,15.07,262.03,78.34,66.42,376.54,96.62,0.38,97.0,108.68,-11.68,0.0,-11.68,0.0,-11.68,-11.68,307.18,-0.38,-0.38,21.64,70.45,2.06,23.78,6.71
2015-03-31,1025.02,18.08,1043.1,152.05,0.0,-7.88,273.54,84.83,58.95,340.33,141.28,0.0,141.28,104.68,36.6,0.0,36.6,0.0,36.6,36.6,307.18,1.19,1.19,21.7,70.64,2.06,23.78,6.71
2015-06-30,1221.29,4.41,1225.7,170.96,0.0,13.31,235.23,91.04,55.39,514.72,145.05,0.0,145.05,96.53,48.52,-10.72,37.8,0.0,37.8,37.8,307.18,1.23,1.23,21.68,70.58,2.06,23.78,6.71
2015-09-30,1225.8,3.3,1229.1,153.21,0.0,-14.45,247.57,82.26,55.67,527.6,177.24,0.0,177.24,98.48,78.76,-3.97,74.79,36.29,38.5,38.5,307.18,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2015-12-31,1058.69,7.44,1066.13,155.3,0.0,14.43,202.89,73.8,55.42,465.19,99.1,0.0,99.1,93.5,5.6,0.0,5.6,2.44,3.16,3.16,307.18,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,1305.65,6.95,1312.6,206.85,0.0,-23.24,258.88,96.0,52.98,564.44,156.69,0.06,156.75,93.99,62.76,11.49,74.25,23.76,50.49,50.49,307.18,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2016-06-30,1202.49,3.23,1205.72,177.68,0.0,0.03,201.93,79.34,51.13,542.13,153.48,0.0,153.48,82.45,71.03,0.0,71.03,27.05,43.98,43.98,307.18,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2016-09-30,1307.52,6.92,1314.44,195.4,0.0,15.04,207.39,89.27,52.12,576.0,179.22,0.0,179.22,87.56,91.66,0.0,91.66,29.25,62.41,62.41,307.18,2.03,2.03,0.0,0.0,0.0,0.0,0.0
2016-12-31,1267.85,3.1,1270.95,196.27,0.0,-18.2,240.54,91.88,51.6,568.8,140.06,0.0,140.06,85.82,54.24,0.0,54.24,18.9,35.34,35.34,307.18,1.15,1.15,0.0,0.0,0.0,0.0,0.0
