Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Current Investments,"Stores, Spares And Loose Tools",Equity Share Application Money,Intangible Assets,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,19.29,19.29,2.43,2.43,21.72,4.33,1.09,0.0,0.0,5.42,4.64,2.73,0.37,0.44,8.18,35.32,13.99,3.09,0.0,17.08,0.0,0.0,0.0,17.16,3.75,7.88,3.1,3.43,0.0,18.16,35.32,14.18,0.65,0.0,6.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,19.29,19.29,2.72,2.72,22.01,3.43,1.09,0.0,0.0,4.53,5.86,3.94,0.27,0.3,10.37,36.91,12.16,8.53,0.0,20.68,0.03,0.0,0.0,20.8,4.69,6.93,1.3,3.18,0.0,16.1,36.91,7.82,1.39,0.0,3.73,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.16,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,21.79,21.79,65.84,65.84,87.63,12.82,2.68,0.0,0.0,15.49,7.66,3.8,1.18,6.48,19.12,124.94,60.67,8.49,0.0,69.16,9.87,0.0,0.16,79.27,6.75,9.8,1.97,27.14,0.0,45.67,124.94,21.62,7.59,0.0,1.02,0.0,9.87,0.09,0.0,0.0,2.7,0.0,0.19,9.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,47.93,47.93,1082.85,1082.85,1130.78,327.9,2.59,0.0,0.0,330.49,0.0,2.19,125.33,63.8,191.33,1661.62,850.91,176.41,0.0,1039.12,238.33,0.0,0.19,1277.94,8.89,11.77,60.56,302.46,0.0,383.68,1661.62,60.53,2.36,0.0,1.96,0.0,238.33,0.3,0.0,0.0,9.02,11.8,2.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,59.02,59.02,2834.13,2834.13,2893.15,49.0,2.11,0.0,0.0,51.11,8.53,4.12,51.86,133.87,198.38,3142.64,976.15,356.35,0.0,1344.3,275.9,0.0,0.25,1620.69,9.81,309.82,597.14,605.18,0.0,1521.95,3142.64,152.93,15.89,0.05,0.24,0.0,275.9,0.24,0.0,0.0,0.0,11.8,1.6,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,59.02,59.02,3179.26,3179.26,3238.28,110.86,2.9,0.0,0.0,113.76,0.01,13.06,17.68,91.44,122.19,3474.23,1032.06,654.54,0.0,1698.4,360.92,0.0,0.18,2059.81,9.82,239.92,602.67,562.01,0.0,1414.42,3474.23,82.56,0.58,0.06,0.0,5.79,360.92,0.3,0.0,0.0,0.0,11.8,0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,59.02,59.02,3395.78,3395.78,3454.8,94.03,1.3,0.0,0.0,95.33,0.0,1.61,35.05,80.23,116.9,3710.53,1398.31,480.58,0.0,1890.69,306.6,0.0,0.1,2197.8,9.73,239.93,468.57,794.5,0.0,1512.73,3710.53,47.13,0.74,0.02,0.15,0.0,306.6,0.4,0.0,0.0,43.5,11.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,59.02,59.02,3586.17,3586.17,3645.19,843.25,1.2,4.84,0.45,849.73,2.5,15.27,102.64,81.31,201.72,4696.64,1460.35,380.79,0.0,1841.14,307.46,1176.35,219.09,3544.04,713.46,22.02,132.76,48.5,230.29,1152.6,4696.64,189.63,0.62,0.02,0.0,0.0,307.46,0.0,5.57,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,59.02,59.02,3681.71,3681.71,3740.73,934.06,0.0,6.08,0.71,940.85,67.51,3.95,289.77,52.82,414.06,5095.64,1452.24,469.42,0.0,1921.66,317.34,1233.49,185.79,3658.69,861.47,48.08,124.91,68.38,334.05,1436.94,5095.64,369.18,1.24,0.02,0.0,0.0,317.34,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,59.02,59.02,3781.42,3781.42,3840.44,1011.73,0.0,15.35,0.82,1027.9,95.51,9.38,491.0,7.63,603.52,5471.86,1446.28,497.95,0.0,1944.22,323.87,1399.58,68.27,3736.27,1031.33,90.48,44.64,73.67,495.43,1735.59,5471.86,434.33,0.75,0.02,0.0,0.0,323.87,0.32,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
