Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-03-31,1598.11,53.35,1651.46,974.64,41.29,180.3,22.51,280.88,151.84,61.59,213.43,1.43,212.0,0.0,212.0,127.26,84.74,84.74,122.19,0.0,3.96
2017-06-30,653.43,210.3,863.73,816.56,-342.3,97.47,15.91,175.62,100.47,41.7,142.17,0.74,141.42,0.0,141.42,40.0,101.42,101.42,122.19,474.0,474.0
2017-09-30,880.28,-0.3,879.98,444.64,21.4,124.95,14.44,167.29,107.25,48.3,155.56,0.81,154.74,0.0,154.74,70.86,83.89,83.89,91.64,9.15,0.0
2017-12-31,781.56,40.94,822.5,670.08,-154.0,123.87,14.95,138.08,29.51,52.4,81.91,0.74,81.18,0.0,81.18,75.0,6.18,6.18,91.64,0.34,0.34
2018-03-31,2002.77,18.63,2021.4,976.3,421.21,183.05,18.17,55.36,367.31,30.16,397.47,0.99,396.48,0.0,396.48,59.82,336.66,336.66,183.28,18.37,18.37
2018-06-30,460.98,87.45,548.43,425.48,-184.72,118.42,16.19,65.73,107.33,22.09,129.41,1.02,128.4,0.0,128.4,46.58,81.82,81.82,183.28,4.46,4.46
2018-09-30,527.78,78.19,605.97,332.71,-0.7,141.14,19.01,66.82,47.0,23.91,70.9,0.84,70.06,0.0,70.06,41.72,28.34,28.34,183.28,1.55,1.55
2018-12-31,983.17,54.79,1037.96,555.44,-17.14,125.92,17.18,61.5,295.05,33.12,328.17,0.96,327.21,0.0,327.21,138.91,188.3,188.3,183.28,10.27,10.27
2019-03-31,859.47,17.52,876.99,505.34,36.68,148.72,30.12,65.89,90.24,56.87,147.11,1.41,145.7,0.0,145.7,21.57,124.13,124.13,183.28,6.77,6.77
2019-06-30,431.54,60.03,491.57,269.12,-67.92,124.0,17.3,54.69,94.38,25.49,119.87,1.58,118.29,0.0,118.29,52.74,65.55,65.55,183.28,3.58,3.58
2019-09-30,641.63,17.85,659.48,207.72,74.68,139.45,20.79,79.91,136.94,25.13,162.07,0.94,161.13,0.0,161.13,54.68,106.46,106.46,183.28,5.81,5.81
2019-12-31,495.42,13.34,508.76,181.56,62.59,139.25,22.84,71.95,30.57,32.99,63.56,0.96,62.6,0.0,62.6,9.42,53.18,53.18,183.28,2.9,2.9
2020-03-31,1416.7,18.69,1435.39,377.67,434.32,131.33,35.51,87.32,369.24,32.37,401.61,1.17,400.43,0.0,400.43,90.71,309.72,309.72,183.28,16.9,16.9
2020-06-30,9.77,21.68,31.45,69.23,-94.38,135.7,17.46,39.48,-136.04,31.18,-104.86,1.17,-106.02,0.0,-106.02,-27.99,-78.04,-78.04,183.28,-4.26,-4.26
2020-09-30,240.03,36.78,276.81,177.03,-118.03,112.86,21.43,52.77,30.75,10.76,41.51,0.91,40.6,0.0,40.6,14.35,26.25,26.25,183.28,1.43,1.43
2020-12-31,459.32,0.0,459.32,269.31,-32.69,122.55,24.83,60.42,14.91,54.52,69.43,0.89,68.55,0.0,68.55,19.36,49.19,49.19,183.28,2.68,2.68
2021-03-31,1136.86,0.0,1136.86,477.94,116.19,129.98,30.82,68.44,313.49,25.22,338.71,0.95,337.76,0.0,337.76,77.39,260.37,260.37,183.28,14.21,14.21
2021-06-30,128.59,0.0,128.59,257.79,-261.19,126.2,21.24,39.48,-54.93,27.6,-27.33,0.86,-28.19,0.0,-28.19,-7.24,-20.95,-20.95,183.28,-1.14,-1.14
2021-09-30,503.83,0.0,503.83,304.34,-72.27,141.45,23.75,64.18,42.39,20.25,62.65,0.87,61.77,0.0,61.77,18.52,43.25,43.25,183.28,2.36,2.36
2021-12-31,803.91,0.0,803.91,316.6,-24.02,152.71,24.79,69.1,264.73,34.66,299.39,0.85,298.54,0.0,298.54,85.28,213.26,213.26,183.28,11.64,11.64
2022-03-31,1381.08,0.0,1381.08,384.64,273.13,150.31,20.58,168.9,383.52,28.7,412.22,0.85,411.37,-33.59,377.78,113.42,264.36,264.36,183.28,14.42,14.42
2022-06-30,694.8,0.0,694.8,605.49,-165.11,135.87,23.39,76.54,18.63,36.76,55.39,2.05,53.34,0.0,53.34,13.48,39.86,39.86,183.28,2.17,2.17
2022-09-30,534.78,0.0,534.78,210.28,28.09,144.84,21.32,57.72,72.54,45.0,117.54,0.81,116.73,0.0,116.73,40.91,75.82,75.82,183.28,4.14,4.14
2022-12-31,456.66,4.89,461.55,151.41,-11.96,117.45,18.61,115.75,70.29,36.47,106.75,0.83,105.93,0.0,105.93,22.18,83.74,83.74,183.28,4.57,4.57
2023-03-31,796.79,1.47,798.26,243.16,129.94,134.32,13.94,107.42,169.49,37.17,206.66,0.85,205.81,0.0,205.81,53.05,152.76,152.76,183.28,8.33,8.33
2023-06-30,297.72,0.0,297.72,177.41,-53.13,135.34,16.89,70.73,-49.53,107.45,57.92,0.78,57.14,0.0,57.14,15.32,41.82,41.82,183.28,2.28,2.28
2023-09-30,615.81,0.0,615.81,179.54,91.92,129.19,17.43,81.13,116.6,78.3,194.9,0.78,194.12,0.0,194.12,47.02,147.09,147.09,183.28,8.03,8.03
2023-12-31,601.62,0.0,601.62,136.31,80.6,181.76,16.47,84.2,102.28,87.6,189.88,0.77,189.1,0.0,189.1,54.07,135.03,135.03,183.28,7.37,7.37
