Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,93.54,2.27,95.81,59.37,-6.5,13.97,5.28,2.56,9.41,11.71,0.48,12.19,3.04,9.15,0.0,9.15,2.93,6.22,6.22,10.21,6.09,6.09,0.26,25.81,0.76,100.0,74.19
2013-03-31,95.08,1.52,96.6,55.85,-0.46,11.29,5.43,2.5,11.32,10.66,0.62,11.29,4.0,7.28,0.0,7.28,3.33,3.96,3.96,10.21,3.88,3.88,0.26,25.81,0.76,100.0,74.19
2013-06-30,102.79,1.24,104.04,62.98,-5.47,13.0,6.43,2.6,9.2,15.29,0.71,16.01,2.93,13.07,0.0,13.07,4.2,8.87,8.87,10.21,8.7,8.7,0.26,25.81,0.76,100.0,74.19
2013-09-30,112.97,0.64,113.6,52.03,9.74,12.07,6.83,2.77,11.17,18.98,0.37,19.35,2.97,16.38,0.0,16.38,5.54,10.84,10.84,10.21,10.63,10.63,0.26,25.81,0.76,100.0,74.19
2013-12-31,102.14,2.11,104.25,61.23,-8.0,14.4,6.38,2.85,9.61,17.79,1.87,19.66,2.84,16.82,0.0,16.82,5.64,11.19,11.19,10.21,10.97,10.97,0.26,25.81,0.76,100.0,74.19
2014-03-31,122.39,1.83,124.21,65.0,2.99,12.31,6.28,2.91,13.75,20.98,0.74,21.71,3.37,18.35,0.0,18.35,6.37,11.98,11.98,10.21,11.75,11.75,0.26,25.81,0.76,100.0,74.19
2014-06-30,124.25,2.65,126.9,64.33,8.56,12.48,7.73,2.69,10.18,20.93,0.33,21.27,2.87,18.39,0.0,18.39,5.96,12.44,12.44,10.21,12.2,12.2,0.26,25.81,0.76,100.0,74.19
2014-09-30,116.93,0.92,117.85,62.36,0.72,13.19,8.38,2.95,12.14,18.12,0.31,18.43,2.62,15.81,0.0,15.81,5.33,10.48,10.48,10.21,5.14,5.14,0.53,25.81,1.51,100.0,74.19
2014-12-31,111.03,2.92,113.95,63.74,-3.11,13.18,7.09,2.88,12.94,17.24,0.76,18.0,2.4,15.6,0.0,15.6,5.06,10.54,10.54,10.21,5.17,5.17,0.53,25.81,1.51,100.0,74.19
2015-03-31,115.77,1.91,117.68,63.08,-0.53,12.69,7.99,2.83,13.08,18.55,0.9,19.44,2.34,17.11,0.0,17.11,5.14,11.97,11.97,10.21,5.87,5.87,0.53,25.81,1.51,100.0,74.19
