Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,26.57,26.57,159.4,161.2,187.77,8.48,0.0,0.0,22.04,25.15,57.94,32.31,13.49,128.89,338.71,75.33,0.0,6.16,0.0,81.49,17.17,0.0,0.63,99.9,0.0,111.78,69.36,30.6,27.07,0.0,238.81,338.71,22.96,0.18,2.05,2.06,0.14,13.69,17.17,0.0,1.8,25.37,0.0,1.65,13.57,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,39.86,39.86,163.44,165.1,204.96,8.41,0.0,0.0,13.06,59.76,89.58,36.19,15.91,201.44,419.46,96.42,0.0,11.57,0.0,108.0,10.91,0.0,0.33,120.55,0.0,166.84,84.65,21.97,25.46,0.0,298.91,419.46,24.64,0.61,2.1,0.57,0.6,16.34,10.91,0.0,1.66,43.3,0.0,3.36,4.65,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,39.86,39.86,188.27,189.79,229.64,8.05,0.0,0.0,8.2,42.62,164.4,36.74,46.53,290.29,528.13,117.29,0.0,11.05,0.0,128.34,12.82,0.0,0.18,142.6,0.0,199.58,109.51,25.34,51.11,0.0,385.53,528.13,34.52,1.16,2.75,1.39,0.13,16.34,12.82,0.0,1.52,63.49,0.0,3.69,0.15,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,63.77,63.77,210.69,212.07,275.85,8.15,0.0,0.0,8.24,115.22,140.11,58.21,15.12,328.67,612.76,120.8,0.0,13.71,0.0,134.51,12.82,0.0,0.08,148.76,0.0,252.07,143.52,21.74,46.66,0.0,464.0,612.76,34.47,1.12,3.17,1.22,0.34,50.89,12.82,0.0,1.38,94.79,0.0,3.3,0.09,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,63.77,63.77,284.0,285.23,349.01,8.54,0.0,0.0,8.62,120.84,163.86,47.79,18.82,351.31,708.93,133.46,0.25,24.71,0.0,158.42,21.85,0.0,0.0,182.29,0.0,269.1,158.44,39.9,59.21,0.0,526.65,708.93,70.04,1.71,1.03,0.82,0.51,50.89,21.85,0.0,1.24,95.43,0.0,3.19,0.08,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,63.77,63.77,350.37,351.46,415.24,9.13,0.0,0.0,9.18,78.0,168.99,41.78,27.74,316.51,750.83,161.61,0.69,18.82,0.0,181.13,29.52,0.0,0.0,212.52,0.0,266.33,180.38,31.87,59.73,0.0,538.31,750.83,34.44,1.26,1.29,0.13,0.27,50.89,29.52,0.0,1.09,104.6,0.0,0.55,0.06,1.87,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,69.21,69.21,556.04,557.01,626.23,11.22,0.0,0.0,11.27,24.41,221.0,44.09,52.59,342.09,979.59,178.09,7.5,31.6,0.0,217.19,170.2,0.0,0.0,389.58,0.0,299.33,204.73,37.56,48.39,0.0,590.01,979.59,49.3,0.66,1.55,0.15,0.32,50.89,170.2,0.0,0.98,118.73,0.0,0.8,0.05,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,69.2,69.2,652.9,653.8,723.0,9.0,7.1,0.0,16.1,107.0,252.0,76.8,43.9,479.7,1218.8,199.5,4.7,76.8,0.0,281.0,65.5,15.5,0.1,362.1,52.1,403.9,238.3,122.8,36.3,3.3,856.7,1218.8,260.1,0.9,2.5,0.8,0.1,50.89,65.5,52.1,0.9,178.3,0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,69.23,69.23,686.37,776.37,845.6,12.47,9.4,0.0,21.87,169.85,328.17,80.76,64.0,642.78,1510.25,268.3,3.66,65.87,0.0,337.83,76.61,45.55,0.11,460.1,2.96,513.96,305.16,176.29,45.37,6.41,1050.15,1510.25,424.2,4.8,4.0,2.0,1.0,50.89,76.61,2.96,90.0,308.9,0.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,69.26,69.26,914.33,915.17,984.43,16.64,12.47,0.0,29.11,303.02,351.65,89.15,81.47,825.29,1838.83,314.43,7.25,166.13,5.1,492.91,80.76,61.53,0.08,635.28,9.82,576.91,324.55,222.54,58.9,10.83,1203.55,1838.83,462.29,3.76,7.0,2.59,1.65,50.89,80.76,9.82,0.84,342.85,0.59,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
