Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-09-30,1754.0,44.0,1798.0,0.0,0.0,423.0,182.0,90.0,727.0,376.0,34.0,410.0,117.0,293.0,49.0,342.0,107.0,235.0,0.0,235.0,133.0,17.78,17.78,0.0,0.0,0.0,0.0,0.0
2015-12-31,1527.0,56.0,1583.0,0.0,0.0,348.0,184.0,89.0,698.0,264.0,34.0,298.0,108.0,190.0,35.0,225.0,80.0,145.0,0.0,145.0,133.0,10.91,10.91,0.0,0.0,0.0,0.0,0.0
2016-03-31,1473.0,0.0,1473.0,0.0,0.0,152.0,162.0,100.0,685.0,374.0,31.0,405.0,109.0,296.0,49.0,345.0,52.0,293.0,0.0,293.0,133.0,20.88,20.88,0.0,0.0,0.0,0.0,0.0
2016-06-30,1888.0,24.0,1912.0,0.0,0.0,442.0,193.0,96.0,866.0,315.0,26.0,341.0,115.0,226.0,0.0,226.0,52.0,174.0,0.0,174.0,133.0,13.11,13.11,0.0,0.0,0.0,0.0,0.0
2016-09-30,1953.0,63.0,2016.0,0.0,0.0,368.0,200.0,99.0,857.0,492.0,32.0,524.0,116.0,408.0,-60.0,348.0,106.0,242.0,0.0,242.0,133.0,18.3,18.3,0.0,0.0,0.0,0.0,0.0
2016-12-31,1574.0,46.0,1620.0,0.0,0.0,255.0,193.0,98.0,857.0,217.0,30.0,247.0,108.0,139.0,96.0,235.0,83.0,152.0,0.0,152.0,133.0,11.48,11.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,1572.0,0.0,1572.0,0.0,0.0,294.0,194.0,116.0,880.0,88.0,59.0,88.0,109.0,-21.0,341.0,320.0,84.0,236.0,0.0,295.0,133.0,21.15,21.15,0.0,0.0,0.0,0.0,0.0
2017-06-30,2184.0,0.0,2184.0,0.0,0.0,390.0,211.0,105.0,976.0,502.0,40.0,542.0,121.0,421.0,-194.0,227.0,49.0,178.0,0.0,178.0,133.0,13.4,13.4,0.0,0.0,0.0,0.0,0.0
2017-09-30,2088.0,0.0,2088.0,0.0,0.0,376.0,206.0,108.0,1001.0,397.0,35.0,432.0,126.0,306.0,9.0,315.0,68.0,247.0,0.0,247.0,133.0,18.65,18.65,0.0,0.0,0.0,0.0,0.0
2017-12-31,1706.0,0.0,1706.0,0.0,0.0,1031.0,187.0,109.0,174.0,205.0,43.0,248.0,121.0,127.0,70.0,197.0,43.0,154.0,0.0,154.0,133.0,11.63,11.63,0.0,0.0,0.0,0.0,0.0
2018-03-31,1795.0,0.0,1795.0,0.0,0.0,971.0,261.0,111.0,298.0,154.0,48.0,202.0,116.0,86.0,286.0,372.0,80.0,292.0,0.0,292.0,133.0,22.08,22.08,0.0,0.0,0.0,0.0,0.0
2018-06-30,2159.0,0.0,2159.0,0.0,0.0,1224.0,236.0,111.0,204.0,384.0,20.0,404.0,120.0,284.0,-50.0,234.0,52.0,182.0,0.0,182.0,133.0,13.77,13.77,0.0,0.0,0.0,0.0,0.0
2018-09-30,2220.0,0.0,2220.0,0.0,6.0,1257.0,240.0,111.0,206.0,400.0,28.0,428.0,120.0,308.0,-37.0,271.0,0.0,271.0,0.0,271.0,133.0,20.41,20.41,0.0,0.0,0.0,0.0,0.0
2018-12-31,1707.0,0.0,1707.0,0.0,5.0,1085.0,218.0,109.0,197.0,93.0,45.0,138.0,117.0,21.0,200.0,221.0,48.0,173.0,0.0,173.0,133.0,13.08,13.08,0.0,0.0,0.0,0.0,0.0
2019-03-31,1662.0,0.0,1662.0,0.0,4.0,989.0,235.0,103.0,284.0,47.0,72.0,119.0,109.0,10.0,383.0,393.0,84.0,309.0,0.0,309.0,133.0,23.3,23.3,0.0,0.0,0.0,0.0,0.0
2019-06-30,2359.0,0.0,2359.0,0.0,5.0,1344.0,261.0,109.0,307.0,333.0,23.0,356.0,130.0,226.0,52.0,278.0,61.0,217.0,0.0,217.0,133.0,16.34,16.34,0.0,0.0,0.0,0.0,0.0
2019-09-30,2246.0,0.0,2246.0,0.0,3.0,1303.0,245.0,108.0,232.0,355.0,45.0,400.0,127.0,273.0,48.0,321.0,46.0,275.0,0.0,275.0,133.0,20.78,20.78,0.0,0.0,0.0,0.0,0.0
2019-12-31,1648.0,0.0,1648.0,0.0,5.0,971.0,201.0,110.0,194.0,167.0,29.0,196.0,117.0,79.0,135.0,214.0,38.0,176.0,0.0,176.0,133.0,13.27,13.27,0.0,0.0,0.0,0.0,0.0
2020-03-31,1583.0,0.0,1583.0,0.0,4.0,899.0,262.0,121.0,167.0,130.0,49.0,179.0,170.0,9.0,297.0,306.0,56.0,250.0,0.0,250.0,133.0,18.85,18.85,0.0,0.0,0.0,0.0,0.0
2020-06-30,1585.0,0.0,1585.0,0.0,4.0,959.0,240.0,117.0,154.0,111.0,34.0,145.0,136.0,9.0,145.0,154.0,20.0,134.0,0.0,134.0,133.0,10.15,10.15,0.0,0.0,0.0,0.0,0.0
2020-09-30,1989.0,0.0,1989.0,0.0,5.0,1142.0,254.0,113.0,250.0,225.0,14.0,239.0,121.0,118.0,81.0,199.0,-29.0,228.0,0.0,228.0,133.0,17.2,17.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,1659.0,0.0,1659.0,0.0,4.0,932.0,212.0,116.0,212.0,183.0,28.0,211.0,117.0,94.0,114.0,208.0,26.0,182.0,0.0,182.0,133.0,13.68,13.67,0.0,0.0,0.0,0.0,0.0
2021-03-31,1688.0,0.0,1688.0,0.0,4.0,933.0,194.0,117.0,247.0,193.0,104.0,297.0,128.0,169.0,117.0,286.0,16.0,270.0,0.0,270.0,133.0,20.43,20.43,0.0,0.0,0.0,0.0,0.0
2021-06-30,1931.0,0.0,1931.0,1104.0,4.0,0.0,245.0,118.0,267.0,193.0,109.0,302.0,127.0,175.0,0.0,175.0,37.0,138.0,0.0,138.0,133.0,10.37,10.37,0.0,0.0,0.0,0.0,0.0
2021-09-30,2091.0,0.0,2091.0,1191.0,3.0,0.0,233.0,116.0,245.0,303.0,127.0,430.0,124.0,306.0,0.0,306.0,71.0,235.0,0.0,235.0,133.0,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2021-12-31,1662.0,0.0,1662.0,1027.0,4.0,0.0,198.0,117.0,221.0,95.0,259.0,354.0,123.0,231.0,0.0,231.0,47.0,184.0,0.0,184.0,133.0,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2022-03-31,1610.0,0.0,1610.0,957.0,4.0,0.0,210.0,120.0,263.0,56.0,406.0,462.0,130.0,332.0,0.0,332.0,73.0,259.0,0.0,259.0,133.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2022-06-30,2347.0,0.0,2347.0,1008.0,4.0,0.0,231.0,120.0,710.0,274.0,33.0,307.0,134.0,173.0,0.0,173.0,35.0,138.0,0.0,138.0,133.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0
2022-09-30,2263.0,0.0,2263.0,929.0,3.0,0.0,276.0,119.0,735.0,201.0,48.0,249.0,148.0,101.0,0.0,101.0,68.0,33.0,0.0,33.0,133.0,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2022-12-31,1708.0,0.0,1708.0,661.0,3.0,0.0,238.0,119.0,581.0,106.0,56.0,162.0,156.0,6.0,231.0,237.0,51.0,186.0,0.0,186.0,133.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2023-03-31,1655.0,0.0,1655.0,528.0,4.0,0.0,238.0,122.0,647.0,116.0,56.0,172.0,166.0,6.0,333.0,339.0,76.0,263.0,0.0,263.0,133.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2023-06-30,2525.0,0.0,2525.0,1105.0,3.0,0.0,257.0,179.0,816.0,165.0,21.0,186.0,181.0,5.0,210.0,215.0,45.0,170.0,0.0,170.0,133.0,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2023-09-30,2448.0,0.0,2448.0,1617.0,3.0,0.0,257.0,178.0,248.0,145.0,47.0,192.0,176.0,16.0,289.0,305.0,75.0,230.0,0.0,230.0,133.0,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2023-12-31,1819.0,0.0,1819.0,1257.0,2.0,0.0,247.0,180.0,251.0,-118.0,512.0,394.0,177.0,217.0,0.0,217.0,47.0,170.0,0.0,170.0,133.0,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,1814.0,0.0,1814.0,1087.0,3.0,0.0,230.0,183.0,461.0,-150.0,540.0,390.0,205.0,185.0,0.0,185.0,-20.0,205.0,0.0,205.0,133.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2024-06-30,2860.0,0.0,2860.0,2164.0,2.0,0.0,244.0,175.0,376.0,-101.0,21.0,-80.0,207.0,-287.0,561.0,274.0,82.0,192.0,0.0,192.0,133.0,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2024-09-30,2639.0,0.0,2639.0,1591.0,2.0,0.0,261.0,169.0,276.0,340.0,154.0,494.0,215.0,279.0,0.0,279.0,61.0,218.0,0.0,218.0,133.0,1.65,1.65,0.0,0.0,0.0,0.0,0.0
2024-12-31,1938.0,0.0,1938.0,1170.0,1.0,0.0,249.0,174.0,256.0,88.0,49.0,137.0,228.0,-91.0,322.0,231.0,59.0,172.0,0.0,172.0,133.0,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2025-03-31,2147.0,0.0,2147.0,0.0,1.0,1113.0,192.0,176.0,380.0,285.0,66.0,351.0,216.0,135.0,143.0,278.0,60.0,218.0,0.0,218.0,133.0,1.64,1.64,0.0,0.0,0.0,0.0,0.0
