Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1022.0,18.0,1040.0,0.0,0.0,401.0,130.0,77.0,243.0,189.0,24.0,213.0,86.0,127.0,0.0,127.0,26.0,101.0,0.0,101.0,126.0,8.14,8.14,5.93,47.47,5.84,89.08,45.75
2013-03-31,1492.0,21.0,1513.0,0.0,0.0,437.0,160.0,76.0,459.0,381.0,24.0,405.0,85.0,320.0,0.0,320.0,64.0,256.0,0.0,256.0,126.0,20.49,20.49,5.93,47.47,5.84,89.08,45.75
2013-06-30,1419.0,17.0,1436.0,0.0,0.0,460.0,156.0,84.0,499.0,237.0,19.0,256.0,90.0,166.0,0.0,166.0,35.0,131.0,0.0,131.0,126.0,10.47,10.47,5.93,47.47,5.84,89.08,46.75
2013-09-30,1611.0,21.0,1632.0,0.0,0.0,478.0,232.0,84.0,546.0,292.0,27.0,319.0,103.0,216.0,0.0,216.0,45.0,171.0,0.0,171.0,126.0,13.69,13.69,5.93,47.47,6.56,100.0,52.48
2013-12-31,1186.0,21.0,1207.0,0.0,0.0,427.0,155.0,85.0,332.0,208.0,26.0,234.0,99.0,135.0,0.0,135.0,28.0,107.0,0.0,107.0,126.0,8.53,8.53,5.93,47.47,6.56,100.0,52.48
2014-03-31,1229.0,17.0,1246.0,0.0,0.0,496.0,151.0,86.0,145.0,368.0,17.0,385.0,77.0,308.0,0.0,308.0,123.0,185.0,58.0,243.0,126.0,19.49,19.49,5.93,47.47,6.56,100.0,52.48
2014-06-30,1848.0,15.0,1863.0,0.0,0.0,541.0,211.0,94.0,733.0,284.0,15.0,299.0,100.0,199.0,0.0,199.0,10.0,189.0,-37.0,152.0,126.0,12.12,12.12,5.93,47.47,6.56,100.0,52.48
2014-09-30,1647.0,14.0,1661.0,0.0,0.0,529.0,175.0,93.0,534.0,330.0,17.0,347.0,95.0,252.0,0.0,252.0,60.0,192.0,0.0,192.0,126.0,16.37,16.37,5.93,47.47,6.56,100.0,52.48
2014-12-31,1236.0,13.0,1249.0,0.0,0.0,418.0,156.0,81.0,376.0,218.0,21.0,239.0,99.0,140.0,0.0,140.0,29.0,111.0,0.0,111.0,133.0,8.6,8.6,6.69,50.49,6.56,100.0,49.47
2015-03-31,1401.0,15.0,1416.0,0.0,0.0,317.0,152.0,75.0,498.0,374.0,32.0,406.0,114.0,292.0,0.0,292.0,48.0,244.0,0.0,244.0,133.0,18.35,18.35,6.69,50.46,6.56,100.0,49.5
2015-06-30,1689.0,24.0,1713.0,0.0,0.0,424.0,178.0,91.0,703.0,317.0,28.0,345.0,121.0,224.0,0.0,224.0,51.0,173.0,0.0,173.0,133.0,13.02,13.02,6.63,50.04,6.62,100.0,49.92
