Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Trade/Other Goods,Service Line Contribution From Consumers,Raw Materials,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,66.7,66.7,770.55,1070.41,1137.11,2173.57,0.0,0.0,0.0,2173.57,421.14,457.27,721.25,41.36,1641.02,5205.08,3936.16,0.0,98.8,0.0,4034.96,30.1,0.0,10.62,4075.68,0.0,122.76,748.94,52.67,205.04,0.0,1129.4,5205.08,37.42,73.9,0.0,0.0,0.1,30.02,0.0,0.0,299.86,0.0,238.77,75.92,3.82,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,75.04,75.04,937.95,1193.92,1268.96,1753.87,0.0,0.0,0.0,1753.87,408.75,298.26,817.9,79.98,1604.9,4902.5,3745.68,0.0,96.98,0.0,3842.66,31.44,0.0,10.73,3884.83,0.0,142.31,569.2,165.14,141.02,0.0,1017.67,4902.5,37.43,70.48,0.0,0.0,1.53,30.02,0.0,0.0,255.96,0.0,270.21,94.96,0.62,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,82.98,82.98,1260.09,3298.38,3381.36,1689.84,309.25,0.0,0.0,1999.09,220.11,196.06,1056.02,110.01,1582.2,7274.47,5426.54,7.81,131.44,0.0,5565.79,31.37,0.0,10.01,5932.85,0.0,171.3,522.41,395.93,251.98,0.0,1341.62,7274.47,12.4,33.44,0.41,0.0,0.0,31.37,0.0,0.0,2038.29,0.0,307.49,95.27,1.18,4.33,0.0,325.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,84.98,84.98,1567.6,3389.36,3474.34,1434.84,0.0,0.0,0.0,1434.84,363.41,208.71,1440.55,168.53,2181.2,7431.2,5281.91,8.18,265.68,0.0,5555.77,241.37,0.0,9.3,5806.44,0.0,167.32,415.14,731.44,310.86,0.0,1624.76,7431.2,869.02,25.93,0.38,0.0,0.0,241.37,0.0,0.0,1821.76,0.0,340.82,76.26,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,125.6,125.6,2445.74,4060.06,4185.66,1291.4,0.0,0.0,0.0,1291.4,337.38,201.23,1832.01,248.15,2618.77,8496.65,5195.21,14.4,619.55,0.0,5829.16,569.69,0.0,8.58,6407.43,0.0,176.21,315.15,986.44,611.42,0.0,2089.22,8496.65,837.17,19.96,0.5,1.19,0.0,569.69,0.0,0.0,1614.32,0.0,400.82,114.76,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,125.6,125.6,2796.96,4287.51,4413.11,2089.53,0.0,0.0,0.0,2089.53,308.58,238.79,2357.16,250.5,3155.03,10127.45,5436.88,165.9,1279.63,0.0,6882.41,310.43,0.0,7.86,7200.7,0.0,211.96,388.87,1251.03,1074.89,0.0,2926.75,10127.45,289.59,9.77,0.55,11.42,0.0,310.43,0.0,0.0,1490.55,0.0,469.78,159.46,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,125.6,125.6,3171.99,4545.7,4671.3,2439.94,0.0,0.0,0.0,2439.94,371.77,263.92,2685.52,122.67,3443.88,11080.62,7059.52,173.19,278.26,0.0,7510.97,678.58,0.0,7.14,8196.69,0.0,238.28,499.9,1119.79,1025.96,0.0,2883.93,11080.62,84.66,3.84,0.31,2.91,0.0,678.58,0.0,0.0,1373.71,0.0,525.5,158.51,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,125.6,125.6,4178.68,5443.64,5569.24,2152.93,0.0,2192.02,67.26,4412.21,489.73,280.34,908.43,72.12,1750.62,11732.07,7339.48,139.07,256.9,0.0,7735.45,854.32,77.09,18.61,8685.47,230.0,294.44,558.94,838.84,1090.75,33.63,3046.6,11732.07,122.75,3.91,0.3,2.38,0.0,854.32,0.0,230.0,1264.96,158.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,125.6,125.6,4730.4,5886.17,6011.77,2167.13,0.0,2416.6,89.27,4673.0,432.76,291.03,1230.48,88.38,2042.65,12727.42,7585.14,129.91,376.45,0.0,8091.5,1048.18,69.54,5.01,9214.23,85.0,294.7,977.01,859.84,1221.47,75.17,3513.19,12727.42,137.69,6.85,0.31,0.0,0.0,1048.18,0.0,85.0,1155.77,190.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,125.6,125.6,5309.92,6369.35,6494.95,2623.68,0.0,2831.62,107.27,5562.57,492.19,343.69,1516.68,119.99,2472.55,14530.07,8049.89,121.08,397.09,0.0,8568.06,2092.94,78.23,4.29,10743.52,85.0,325.41,1209.38,771.39,1337.71,57.66,3786.55,14530.07,444.25,4.5,0.38,1.62,0.0,2092.94,0.0,85.0,1059.43,190.58,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
