Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Trade/Other Goods,Service Line Contribution From Consumers,Raw Materials,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,125.6,125.6,5950.19,6913.0,7038.6,2803.52,0.0,3698.0,140.52,6642.04,575.58,207.97,1684.7,180.54,2648.79,16329.43,8505.59,113.33,410.46,0.0,9029.38,3191.09,1251.93,122.33,13594.73,0.0,345.55,1184.82,781.39,200.55,222.39,2734.7,16329.43,445.39,4.04,0.52,3.0,0.0,3191.09,0.0,0.0,962.81,164.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,133.22,133.22,7095.23,7946.7,8079.92,3182.93,0.0,4112.74,160.94,7456.61,1141.08,326.08,1719.36,194.89,3381.41,18917.94,9124.3,109.53,261.68,0.0,9495.51,3758.34,1343.02,611.2,15208.07,491.0,405.46,1381.74,737.74,204.18,489.75,3709.87,18917.94,1905.87,3.54,0.54,0.05,0.0,3758.34,0.0,491.0,851.47,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,133.22,133.22,12867.83,12867.83,13001.05,2966.19,3506.01,1841.61,183.38,8497.19,1458.95,364.34,3961.61,57.49,5842.39,27340.63,14632.98,226.1,196.02,56.03,15111.13,4050.14,2.19,1560.31,20723.77,501.57,316.52,966.41,836.63,0.0,3995.73,2977.49,27340.63,1.8,82.59,0.0,0.0,0.0,4050.14,0.0,501.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,133.22,133.22,13190.53,13190.53,13323.75,3772.24,3554.76,1690.87,234.9,9252.77,1435.13,377.33,3971.64,70.59,5854.69,28431.21,14596.29,217.29,187.84,56.03,15057.45,4086.23,53.83,2575.16,21772.67,506.24,378.62,968.53,924.38,0.0,3880.77,6658.54,28431.21,2026.64,0.0,0.0,0.05,2.0,4084.23,506.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,133.22,133.22,9314.47,9314.47,9447.69,3667.49,3487.21,1718.72,286.63,9160.05,1292.93,487.77,5556.68,84.39,7421.77,26029.51,14594.03,137.28,126.66,56.03,14914.0,4193.29,32.42,351.29,19491.0,506.37,386.97,1041.49,722.6,0.0,3881.08,6538.51,26029.51,1795.58,1.93,0.0,0.0,2.0,4191.29,506.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,133.22,133.22,9630.85,9630.85,9764.07,4842.61,3474.98,268.99,333.22,8919.8,1485.44,619.15,5237.26,63.18,7405.03,26088.9,14553.23,127.11,66.54,56.03,14802.91,4429.57,32.6,198.16,19463.24,513.03,382.63,1028.25,623.58,0.0,4078.17,6625.66,26088.9,1787.97,6.14,0.0,0.0,2.0,4427.57,513.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,133.22,133.22,9904.81,9904.81,10038.03,5311.13,3480.78,476.03,409.35,9677.29,1590.01,597.49,4986.26,62.56,7236.32,26951.64,14629.69,117.51,89.28,62.63,14899.11,4430.57,40.07,195.26,19565.01,15.01,387.17,991.19,1412.84,0.0,4580.42,7386.63,26951.64,1760.25,1.7,0.0,0.0,0.0,4430.57,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,133.22,133.22,9844.36,9844.36,9977.58,7126.45,3384.81,365.29,455.83,11332.38,913.89,796.55,4552.35,84.79,6347.58,27657.54,14265.22,109.28,66.31,62.87,14503.68,5060.45,51.64,183.94,19799.71,13.49,379.91,1394.42,956.81,0.0,5113.2,7857.83,27657.54,1519.8,2.15,0.0,0.0,0.0,5060.45,13.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,133.22,133.22,9821.6,9821.6,9954.82,7232.41,3360.05,444.85,475.5,11512.81,2682.7,1016.82,3242.16,57.06,6998.74,28466.37,14089.77,100.55,43.23,62.87,14296.42,5001.95,3.77,477.59,19779.73,13.96,434.35,1035.39,1274.87,14.5,5913.57,8686.64,28466.37,1981.3,2.41,0.0,0.0,0.0,5001.95,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,133.22,133.22,9830.82,9830.82,9964.04,7131.54,3334.6,409.76,490.72,11366.62,2841.58,725.41,3312.9,49.56,6929.45,28260.11,13828.82,99.89,63.77,62.87,14055.35,5063.43,4.1,488.75,19611.63,0.0,501.71,1079.82,828.29,38.0,6200.66,8648.48,28260.11,2036.57,2.98,0.0,0.0,0.0,5063.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,133.22,133.22,9754.83,9754.83,9888.05,9075.21,3207.94,398.35,514.65,13196.15,2202.27,1114.56,1893.38,56.23,5266.44,28350.64,13302.76,89.13,78.07,62.87,13532.83,5220.49,3.83,565.15,19322.3,0.0,513.21,1231.0,1133.81,26.3,6124.02,9028.34,28350.64,1725.44,2.93,0.0,0.0,0.0,5220.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
