Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-12-31,307.32,307.32,12.65,0.0,-1.68,9.78,16.82,169.33,100.42,6.04,106.46,40.53,65.93,0.0,65.93,16.91,49.02,49.02,19.27,4.75,4.75
2022-03-31,372.6,372.6,10.67,0.0,2.28,9.62,17.29,189.89,142.86,3.8,146.66,39.4,107.26,0.0,107.26,25.34,81.92,81.92,19.27,7.93,7.93
2022-06-30,400.27,400.27,14.85,4.43,-14.35,9.77,17.62,224.39,143.58,8.78,152.36,39.15,113.21,0.0,113.21,28.57,84.64,84.64,19.27,8.2,8.2
2022-09-30,293.49,293.49,8.47,0.0,20.84,11.47,16.86,134.0,101.85,19.15,121.0,34.97,86.03,0.0,86.03,22.12,63.91,63.91,19.27,6.19,6.19
2022-12-31,364.92,364.92,9.03,0.0,-15.47,26.44,16.78,184.94,143.21,7.66,150.87,19.42,131.45,0.0,131.45,33.17,98.28,98.28,24.61,8.77,8.73
2023-03-31,382.37,382.37,13.36,0.0,-38.42,24.35,17.26,188.61,177.23,8.58,185.81,3.42,182.39,0.0,182.39,45.57,136.82,136.82,24.61,11.12,11.07
2023-06-30,343.09,343.09,13.52,0.0,16.34,20.34,17.47,158.15,117.28,11.2,128.48,3.06,125.42,0.0,125.42,31.25,94.17,94.17,24.61,7.65,7.62
2023-09-30,290.47,290.47,11.94,0.0,6.82,19.2,17.46,156.91,78.14,11.58,89.71,2.0,87.71,0.0,87.71,21.36,66.35,66.35,24.61,5.39,5.37
2023-12-31,412.63,412.63,9.94,0.0,37.02,18.21,17.6,201.58,128.28,10.09,138.37,2.44,135.93,0.0,135.93,33.74,102.19,102.19,24.68,8.3,8.29
2024-03-31,283.39,283.39,11.45,0.0,-19.97,14.57,17.47,189.23,70.64,13.83,84.46,2.17,82.29,0.0,82.29,22.66,59.64,59.64,24.68,4.83,4.82
2024-06-30,211.16,211.16,12.42,0.0,-31.7,14.07,17.89,143.74,54.74,12.23,66.98,1.87,65.1,0.0,65.1,16.64,48.46,48.46,24.68,3.93,3.92
2024-09-30,238.32,238.32,11.46,0.0,0.24,12.33,17.99,138.22,58.08,13.74,71.82,2.04,69.78,-40.18,29.6,7.73,21.87,21.87,24.68,1.77,1.76
2024-12-31,242.54,242.54,7.28,0.0,-22.64,13.06,18.56,160.64,65.65,12.13,77.77,2.29,75.48,0.0,75.48,19.2,56.29,56.29,24.69,4.56,4.56
2025-03-31,321.77,321.77,7.72,0.0,-13.19,14.47,18.62,223.21,70.94,11.56,82.5,2.91,79.58,0.0,79.58,21.27,58.31,58.31,24.69,4.72,4.72
