Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Other Long Term Liabilities,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,12.82,12.82,216.38,216.38,229.2,23.03,0.0,29.03,59.93,47.91,5.31,12.79,125.94,384.17,166.32,0.0,5.52,171.85,0.06,0.0,0.0,172.65,0.0,107.6,86.75,7.19,9.98,0.0,211.52,384.17,10.27,0.0,2.78,0.11,258.72,2.71,0.15,0.05,0.01,0.0,0.0,6.0,55.75,0.0,2.1,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.82,12.82,270.84,270.84,283.66,25.03,0.0,28.34,62.78,55.45,12.37,11.71,142.31,454.31,181.54,0.0,1.09,182.63,0.01,0.0,0.0,182.64,0.0,139.05,102.17,4.49,25.96,0.0,271.67,454.31,5.2,0.0,3.79,0.11,301.59,6.6,0.15,0.0,0.01,0.0,0.0,3.31,64.38,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,12.82,12.82,328.0,328.0,340.82,28.16,0.0,88.87,89.48,83.93,31.23,15.76,220.4,650.08,214.77,0.0,80.27,295.05,0.4,0.0,0.0,295.44,0.0,183.86,107.44,10.15,53.19,0.0,354.64,650.08,38.32,0.0,8.94,0.11,334.8,3.59,0.15,0.0,0.4,0.0,0.0,60.7,108.23,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,12.91,12.91,529.13,529.13,542.05,30.27,0.0,122.03,62.19,87.83,36.11,1.94,188.06,852.14,381.19,0.0,38.25,419.44,0.58,0.0,0.0,420.76,0.0,210.05,164.46,17.22,39.65,0.0,431.38,852.14,117.62,0.0,4.9,0.01,671.21,3.04,0.15,0.0,0.58,0.0,0.0,91.76,158.03,0.0,12.85,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,12.91,12.91,861.07,861.07,873.99,42.47,0.0,109.78,18.77,130.82,27.01,36.47,213.06,1196.83,496.87,0.0,63.08,559.95,56.15,0.0,0.0,617.27,0.0,275.66,214.25,12.61,77.05,0.0,579.55,1196.83,114.67,0.0,7.38,0.0,962.82,4.18,0.15,0.0,56.15,0.0,0.0,67.31,211.01,0.0,8.61,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,12.95,12.95,1248.84,1248.84,1261.79,49.72,0.0,100.14,2.22,146.05,15.55,48.91,212.74,1574.66,589.67,0.0,19.5,609.17,172.39,0.0,0.0,782.72,0.0,395.91,283.5,12.87,99.67,0.0,791.95,1574.66,86.94,0.0,6.89,0.01,1103.35,3.48,0.15,0.0,172.4,0.0,0.0,50.41,247.79,0.0,7.35,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.43,26.43,1515.65,1515.65,1542.08,53.71,0.0,80.97,5.59,149.63,13.61,96.42,265.26,1888.3,589.67,0.0,23.75,613.42,441.86,0.0,0.0,1057.09,0.0,479.57,234.44,12.87,104.33,0.0,831.21,1888.3,97.21,0.0,4.88,0.02,835.4,7.57,13.12,0.0,441.86,0.0,0.0,27.26,130.13,0.0,0.92,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,26.52,26.52,1801.53,1801.53,1828.05,54.91,2.82,72.27,13.62,121.24,105.04,167.92,407.82,2308.13,589.73,0.0,104.34,694.06,2.82,73.72,3.69,774.29,525.64,543.07,392.78,12.8,58.12,1.44,1533.84,2308.13,295.68,1.31,5.24,0.03,1181.19,2.38,13.12,0.0,2.83,0.0,525.73,4.92,236.99,1.79,12.24,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,26.55,26.55,2148.25,2148.25,2174.8,67.29,1.65,77.75,50.2,157.31,134.7,208.21,550.42,2802.97,738.19,0.0,181.99,920.18,2.82,124.69,3.93,1051.62,477.04,650.97,533.97,21.82,64.03,3.52,1751.35,2802.97,299.15,2.9,7.96,0.05,1606.88,8.21,13.12,0.0,2.83,0.0,477.04,2.56,348.64,0.75,11.55,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,26.55,26.55,2526.73,2526.73,2553.28,86.55,2.39,91.04,30.51,158.31,129.35,233.42,551.59,3195.91,908.5,0.0,303.41,1211.91,2.82,107.27,0.0,1322.0,407.81,805.95,558.9,34.68,59.89,6.68,1873.91,3195.91,221.73,3.15,11.41,0.07,1860.16,18.77,13.12,0.0,2.83,0.0,407.81,2.1,447.99,0.76,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
