Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Share Capital Suspense,Other Assets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,17.99,17.99,112.19,112.19,130.17,2.42,8.71,0.0,0.0,11.12,10.93,76.23,95.14,19.52,201.82,343.11,58.44,0.0,6.86,0.0,65.3,5.48,0.0,0.0,4.28,75.06,0.0,76.75,135.87,2.43,53.01,0.0,268.06,343.11,36.09,6.95,31.37,19.83,13.31,49.56,2.38,0.0,0.0,0.0,48.91,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,17.99,17.99,130.79,130.79,148.78,1.37,8.28,0.0,0.0,9.65,35.91,93.17,154.19,21.93,305.21,463.63,69.65,7.29,7.28,0.0,84.21,5.18,0.0,0.0,4.42,93.81,0.0,102.66,195.77,2.48,68.92,0.0,369.83,463.63,41.14,14.45,47.13,29.51,13.31,38.24,2.25,0.0,0.0,0.0,73.4,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,17.98,17.99,155.09,155.09,173.07,50.3,9.05,0.0,0.0,59.35,25.57,153.14,159.18,28.04,365.94,598.37,86.48,10.65,11.09,0.0,108.23,5.18,0.0,0.0,3.26,116.66,0.0,149.84,238.85,2.37,90.65,0.0,481.7,598.37,49.39,5.35,63.11,19.36,13.31,31.31,2.25,0.0,0.0,0.0,114.35,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,17.99,17.99,195.34,195.34,213.33,50.0,6.51,0.0,0.0,56.51,39.05,189.61,156.09,98.83,483.58,753.42,99.13,15.31,2.41,0.0,116.85,5.3,0.0,0.0,2.25,124.4,0.0,188.08,350.68,4.61,85.65,0.0,629.02,753.42,65.92,4.51,88.05,25.79,13.31,27.0,2.21,0.0,0.0,0.0,202.55,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,17.99,17.99,245.92,245.92,263.91,0.25,3.59,0.0,0.0,3.83,36.29,325.87,308.79,240.87,911.82,1179.57,122.78,15.31,18.09,0.0,156.19,4.57,0.0,0.0,1.42,162.17,0.0,273.49,483.74,2.67,257.49,0.0,1017.39,1179.57,123.12,3.55,143.68,21.48,13.31,17.28,1.64,0.0,0.0,0.0,292.06,0.0,0.0,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.99,17.99,349.5,349.5,367.49,1.08,0.62,0.0,0.0,1.7,22.52,356.15,316.2,302.37,997.25,1366.43,172.64,15.31,24.79,0.0,212.74,4.38,0.0,0.0,0.6,217.72,0.0,207.3,643.08,5.65,292.68,0.0,1148.71,1366.43,47.7,5.11,200.94,33.04,13.31,151.5,1.4,0.0,0.0,0.0,489.76,0.0,0.0,15.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.99,17.99,473.69,473.69,491.68,0.0,9.02,0.0,0.0,9.02,8.93,602.93,378.14,116.04,1106.03,1606.73,173.9,23.76,1.58,0.0,199.23,4.2,10.49,0.0,0.0,213.93,0.0,258.01,628.21,13.22,493.36,0.0,1392.8,1606.73,141.27,4.96,98.3,31.12,13.31,37.43,1.22,0.0,0.0,0.0,466.13,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.99,17.99,555.51,555.51,573.5,0.0,0.0,0.0,3.05,3.05,418.38,689.05,470.51,104.66,1682.59,2259.14,185.39,7.69,19.32,6.02,218.42,101.84,0.7,45.68,0.0,366.64,0.0,494.51,772.32,46.49,103.33,475.85,1892.5,2259.14,171.17,4.83,130.76,29.56,13.31,30.89,98.86,0.0,0.0,0.0,395.32,0.77,151.85,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,17.99,17.99,455.91,455.91,473.9,0.0,0.0,0.0,2.95,2.95,343.21,703.0,477.26,50.31,1573.78,2050.62,198.56,7.25,19.01,12.52,237.35,121.36,0.0,74.17,0.07,432.94,0.0,437.16,693.48,50.81,95.13,341.11,1617.68,2050.62,177.87,5.03,114.97,34.49,13.31,22.37,118.38,0.0,0.0,0.0,349.19,33.99,141.93,14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,17.99,17.99,476.38,476.38,494.37,0.0,0.0,0.0,3.36,3.36,372.67,752.75,413.44,63.26,1602.12,2099.85,202.04,20.91,3.08,4.58,230.61,121.36,0.0,191.95,0.08,544.0,0.0,508.82,649.05,10.98,92.03,294.97,1555.85,2099.85,238.79,6.83,131.04,27.53,13.31,17.52,118.38,0.0,0.0,0.0,429.37,44.25,179.26,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
