Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Intangible Assets Under Development,Long Term Loans And Advances,Short Term Loans And Advances,Deferred Tax Assets [Net],Preference Share Capital,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,9.34,9.34,3.3,158.88,162.18,0.0,0.0,171.52,17.8,0.0,0.0,37.62,20.58,30.79,0.78,89.04,141.18,350.32,88.23,0.02,1.51,89.76,45.23,0.0,138.93,0.0,38.74,66.6,11.02,0.0,211.39,350.32,15.92,24.37,0.0,0.0,1.16,1.44,28.43,0.0,7.23,34.44,36.81,0.0,19.82,0.0,0.0,95.04,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,9.34,9.34,3.23,186.63,189.86,0.0,0.0,199.2,17.37,0.0,0.0,31.2,26.76,36.29,0.66,100.52,164.23,394.62,109.24,0.02,3.04,112.3,47.83,0.0,163.64,0.0,45.2,67.84,6.28,0.0,230.98,394.62,17.44,33.75,0.0,0.0,6.88,3.21,33.39,0.41,7.23,57.23,40.71,0.0,13.82,0.0,0.0,111.66,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,18.67,18.67,3.15,215.59,218.75,0.0,0.0,237.42,20.55,0.0,0.0,78.08,14.81,43.9,0.72,130.12,189.54,505.04,125.13,0.02,42.5,167.64,51.08,0.0,221.58,0.0,51.44,82.49,14.58,0.0,283.46,505.04,48.92,36.57,0.0,0.0,15.45,2.93,45.6,0.54,16.57,65.27,47.98,0.0,57.53,0.0,0.0,134.95,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,18.67,18.67,3.08,252.22,255.3,0.0,0.0,273.97,26.21,0.0,0.0,77.96,129.7,55.27,14.09,147.31,346.37,698.31,210.14,0.18,38.93,249.25,89.74,0.0,344.54,0.0,73.87,93.74,27.33,0.0,353.77,698.31,50.39,75.85,0.0,0.0,26.17,5.96,66.2,0.78,16.57,86.48,69.12,0.0,51.75,0.0,0.0,158.83,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,18.67,18.67,2.85,330.35,333.2,0.0,0.0,351.88,34.62,0.0,0.0,101.2,234.42,66.05,15.52,187.39,503.38,956.46,263.86,0.18,60.59,324.63,169.77,0.0,500.76,0.0,94.56,132.29,16.97,0.0,455.7,956.46,66.8,102.99,0.0,0.0,22.65,7.3,84.8,1.42,16.57,52.66,166.68,0.0,66.58,0.0,0.0,211.89,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,18.67,18.67,2.78,369.4,372.19,0.0,0.0,390.86,43.15,0.0,0.0,94.51,296.62,74.87,14.39,201.54,587.42,1072.78,349.91,0.18,20.87,370.95,172.17,0.0,549.45,0.0,116.55,152.96,34.32,0.0,523.33,1072.78,29.83,130.02,0.0,0.0,15.31,7.43,134.58,3.99,16.57,32.65,171.08,0.0,51.36,0.0,0.0,219.49,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,18.67,18.67,2.71,407.48,410.19,0.0,0.0,428.86,47.09,0.0,0.0,97.09,232.44,72.07,32.91,222.7,560.12,1086.07,345.31,0.41,33.06,378.79,171.84,0.0,556.18,0.0,119.15,160.02,6.13,0.0,529.89,1086.07,29.38,138.4,0.0,0.0,13.1,16.76,133.81,5.54,16.57,58.35,171.95,0.0,50.0,0.0,0.0,244.58,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,18.69,18.69,2.65,506.88,509.53,0.0,0.0,528.22,42.06,0.0,0.0,158.44,48.27,83.46,111.04,13.89,256.66,943.32,369.04,4.17,14.22,387.43,164.06,0.0,570.17,0.0,154.8,177.22,7.82,0.0,373.15,943.32,360.36,186.99,1.92,0.0,17.2,9.42,194.18,6.24,16.57,84.64,162.97,0.0,116.38,0.0,18.69,33.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,18.74,18.74,2.58,615.28,617.85,0.0,0.0,636.59,42.53,0.0,0.0,98.38,40.93,79.13,120.66,24.66,265.38,1000.36,382.24,3.09,27.25,412.58,124.57,0.0,562.95,10.0,187.69,184.72,10.42,0.0,437.41,1000.36,377.87,215.64,5.0,0.0,12.82,12.86,241.4,6.97,16.57,131.89,123.49,0.0,55.85,0.0,25.8,44.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,18.75,18.75,2.51,663.28,665.79,0.0,0.0,684.54,49.03,0.0,0.0,50.21,76.18,91.39,95.51,20.98,284.06,1018.82,410.29,3.84,14.43,428.57,124.62,0.0,572.08,0.0,179.96,202.37,8.87,0.0,446.74,1018.82,329.3,183.83,5.51,0.0,15.06,13.42,220.14,7.84,16.57,88.45,123.54,0.0,1.18,0.0,18.9,55.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
