Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,254.83,3.3,258.13,88.18,15.33,11.78,29.56,27.91,11.84,56.28,17.25,2.99,20.24,4.71,15.53,0.0,15.53,5.43,10.1,10.1,18.74,0.54,0.54,10.83,57.79,7.77,98.22,41.46
2013-03-31,271.42,10.42,281.84,102.87,12.63,8.14,28.84,28.71,11.03,60.59,29.03,3.43,32.46,3.84,28.62,0.0,28.62,11.8,16.82,16.82,18.75,0.9,0.89,10.83,57.77,7.78,98.22,41.48
2013-06-30,269.15,4.46,273.61,114.97,10.58,-4.12,28.09,29.95,12.07,56.91,25.16,9.63,34.79,2.96,31.83,0.0,31.83,9.19,22.64,22.64,18.75,1.21,1.21,10.83,57.77,7.78,98.22,41.48
2013-09-30,298.93,5.02,303.95,120.36,19.49,0.71,26.92,32.47,12.19,59.94,31.87,1.52,33.39,3.1,30.29,0.87,31.16,10.01,21.15,21.15,18.76,1.13,1.13,10.84,57.79,7.78,98.22,41.46
2013-12-31,266.77,3.16,269.93,111.27,19.88,-13.91,31.13,30.99,12.25,64.34,13.98,0.42,14.4,3.21,11.19,0.1,11.29,3.98,7.31,7.31,18.76,0.39,0.39,10.84,57.79,7.78,98.22,41.46
2014-03-31,292.79,8.32,301.11,112.49,12.56,8.82,32.01,32.44,12.63,65.27,24.89,6.91,31.8,3.67,28.13,0.0,28.13,6.45,21.68,21.68,18.78,1.16,1.15,10.86,57.83,7.78,98.22,41.42
2014-06-30,268.87,3.41,272.28,109.53,7.06,1.71,30.65,31.54,14.08,59.13,18.58,5.63,24.21,2.41,21.8,0.0,21.8,6.33,15.47,15.47,18.79,0.82,0.82,10.87,57.85,7.78,98.22,41.4
2014-09-30,304.07,3.91,307.98,121.9,14.91,-1.47,29.27,30.64,14.69,68.07,29.97,2.27,32.24,1.83,30.41,0.0,30.41,8.53,21.88,21.88,18.79,1.16,1.16,10.87,57.86,7.78,98.25,41.4
2014-12-31,285.57,3.71,289.28,117.51,13.15,-11.83,31.06,33.2,14.16,67.48,24.55,0.65,25.2,2.03,23.17,0.0,23.17,7.92,15.25,15.25,18.81,0.81,0.81,10.89,57.9,7.78,98.25,41.36
2015-03-31,293.28,5.87,299.15,103.9,27.0,-4.55,31.41,34.21,15.9,72.57,18.71,20.82,39.53,2.43,37.1,86.92,124.02,28.29,95.73,95.73,18.82,5.09,5.08,10.6,56.34,8.08,98.32,42.93
2015-06-30,283.85,4.36,288.21,111.9,14.62,-9.71,33.52,14.64,30.17,64.16,28.91,8.02,36.93,1.57,35.36,0.0,35.36,10.55,24.81,24.81,18.82,1.32,1.32,10.61,56.35,8.1,98.56,43.02
2015-09-30,324.93,4.04,328.97,126.61,14.77,5.27,28.22,37.23,15.73,67.81,33.33,22.83,56.16,1.97,54.19,0.0,54.19,14.49,39.7,39.7,18.83,2.11,2.1,10.61,56.36,8.1,98.56,43.01
2015-12-31,328.84,3.75,332.59,134.17,17.64,-8.56,28.95,37.76,15.85,72.02,34.76,1.65,36.41,2.32,34.09,0.0,34.09,11.58,22.51,22.51,18.83,1.2,1.19,0.0,0.0,0.0,0.0,0.0
2016-03-31,343.37,6.14,349.51,115.93,29.08,6.04,30.18,32.94,15.94,80.1,39.3,7.43,46.73,3.04,43.69,0.0,43.69,14.43,29.26,29.26,18.84,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2016-06-30,331.73,3.02,334.75,126.81,17.88,-0.14,30.84,37.82,16.42,70.66,34.46,6.1,40.56,2.21,38.35,0.0,38.35,11.83,26.52,26.52,18.84,1.41,1.4,0.0,0.0,0.0,0.0,0.0
2016-09-30,351.03,4.26,355.29,132.26,25.09,-3.23,30.48,38.59,16.81,75.38,39.91,0.93,40.84,2.47,38.37,0.0,38.37,12.36,26.01,26.01,18.86,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2016-12-31,329.43,4.03,333.46,121.87,18.01,-9.23,33.98,39.49,16.86,79.97,32.51,3.88,36.39,2.04,34.35,0.0,34.35,10.51,23.84,23.84,18.86,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2017-03-31,370.58,11.6,382.18,131.13,20.83,13.8,34.51,37.37,16.85,86.51,41.18,20.49,61.67,2.04,59.63,0.0,59.63,14.23,45.4,45.4,18.87,2.41,2.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,321.13,4.87,326.0,125.34,27.11,-15.18,37.74,41.58,17.92,72.14,19.35,9.51,28.86,0.2,28.66,0.0,28.66,8.03,20.63,20.63,18.87,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2017-09-30,385.53,3.92,389.45,137.55,12.15,20.71,36.53,42.66,18.25,73.51,48.09,1.55,49.64,0.52,49.12,0.0,49.12,16.79,32.33,32.33,18.88,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2017-12-31,405.6,5.85,411.45,159.7,14.27,-2.39,41.65,45.65,18.58,88.4,45.59,8.02,53.61,0.17,53.44,0.0,53.44,15.86,37.58,37.58,18.89,1.99,1.98,0.0,0.0,0.0,0.0,0.0
2018-03-31,439.11,10.22,449.33,157.03,17.39,10.64,46.45,44.31,19.14,91.78,62.59,11.96,74.55,0.58,73.97,0.0,73.97,21.03,52.94,52.94,18.9,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2018-06-30,410.03,5.41,415.44,159.45,18.55,-7.35,44.49,47.62,19.67,83.88,49.13,9.56,58.69,0.06,58.63,0.0,58.63,19.43,39.2,39.2,18.9,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2018-09-30,436.32,6.29,442.61,173.9,18.62,-5.58,48.54,47.49,19.12,86.69,53.83,9.99,63.82,0.05,63.77,0.0,63.77,21.17,42.6,42.6,18.9,2.25,2.25,0.0,0.0,0.0,0.0,0.0
2018-12-31,457.95,6.18,464.13,189.45,22.0,-5.12,53.39,43.1,18.9,88.91,53.5,-0.28,53.22,0.06,53.16,0.0,53.16,18.12,35.04,35.04,18.91,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2019-03-31,447.61,12.43,460.04,176.24,20.35,-8.49,46.48,43.91,17.71,98.37,65.47,7.65,73.12,0.77,72.35,0.0,72.35,23.1,49.25,49.25,18.92,2.61,2.6,0.0,0.0,0.0,0.0,0.0
2019-06-30,424.3,6.36,430.66,169.5,17.48,-7.51,46.95,49.47,17.24,93.7,43.83,17.99,61.82,0.0,61.82,0.0,61.82,16.74,45.08,45.08,18.92,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2019-09-30,433.92,6.13,440.05,166.16,21.54,-7.27,45.42,52.74,17.0,94.43,50.03,3.53,53.56,0.01,53.55,0.0,53.55,10.04,43.51,43.51,18.93,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,408.53,6.42,414.95,149.02,12.3,8.29,42.88,52.66,16.55,87.56,45.69,3.94,49.63,0.02,49.61,0.0,49.61,9.29,40.32,40.32,18.93,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2020-03-31,356.31,9.22,365.53,142.05,11.28,-23.11,45.61,41.02,16.19,79.48,53.01,21.87,74.88,0.32,74.56,0.0,74.56,12.15,62.41,62.41,18.94,3.3,3.29,0.0,0.0,0.0,0.0,0.0
2020-06-30,233.87,4.22,238.09,66.56,10.04,33.79,20.97,46.15,14.11,51.16,-4.69,15.3,10.61,0.01,10.6,0.0,10.6,0.1,10.5,10.5,18.94,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2020-09-30,423.76,6.57,430.33,142.47,11.26,28.71,38.98,48.32,15.35,84.19,61.05,7.69,68.74,0.01,68.73,0.0,68.73,18.52,50.21,50.21,18.94,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2020-12-31,488.27,6.17,494.44,188.06,18.12,-0.77,49.9,53.13,15.78,94.42,75.8,8.82,84.62,0.06,84.56,0.0,84.56,18.82,65.74,65.74,18.95,3.47,3.47,0.0,0.0,0.0,0.0,0.0
2021-03-31,503.45,5.97,509.42,202.85,13.62,-5.84,57.26,48.57,16.19,95.35,81.42,10.56,91.98,0.19,91.79,-11.22,80.57,23.05,57.52,57.52,18.96,3.04,3.03,0.0,0.0,0.0,0.0,0.0
2021-06-30,464.92,4.85,469.77,187.01,18.94,-14.47,50.6,53.68,16.02,92.23,65.76,15.37,81.13,0.03,81.1,0.0,81.1,18.05,63.05,63.05,18.96,3.33,3.32,0.0,0.0,0.0,0.0,0.0
2021-09-30,550.54,7.65,558.19,225.99,9.07,-3.11,54.11,57.83,16.73,119.23,78.34,7.17,85.51,0.0,85.51,0.0,85.51,22.56,62.95,62.95,18.98,3.32,3.31,0.0,0.0,0.0,0.0,0.0
2021-12-31,596.4,5.44,601.84,239.78,19.75,4.97,58.94,57.46,16.21,120.03,84.7,3.37,88.07,0.05,88.02,0.0,88.02,21.45,66.57,66.57,18.98,3.51,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-31,579.71,5.72,585.43,239.73,25.8,-22.03,46.78,45.89,16.08,157.43,75.75,16.04,91.79,0.89,90.9,0.0,90.9,28.99,61.91,61.91,18.99,3.26,3.25,0.0,0.0,0.0,0.0,0.0
2022-06-30,600.38,6.26,606.64,244.87,15.86,-4.78,57.72,60.2,16.82,130.34,85.61,12.53,98.14,2.42,95.72,0.0,95.72,22.88,72.84,72.84,18.99,3.84,3.83,0.0,0.0,0.0,0.0,0.0
