Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1010.97,20.71,1031.68,0.0,124.56,193.32,2.74,764.67,-53.61,27.21,-26.4,46.62,-73.02,-73.02,2.24,-75.26,0.0,0.0,-75.26,465.8,-1.62,-1.62,16.89,36.25,29.69,100.0,63.75
2013-03-31,978.38,-4.81,973.57,0.0,118.66,202.38,103.28,823.59,-274.34,44.47,-229.87,50.96,-280.83,-280.83,7.86,-288.69,4.24,3.01,-281.44,465.8,-6.04,-6.04,16.89,36.25,29.69,100.0,63.75
2013-06-30,934.74,41.39,976.13,0.0,125.99,204.77,1.51,704.97,-61.11,28.23,-32.88,49.82,-82.7,-82.7,16.0,-98.7,0.0,0.0,-98.7,465.8,-2.12,-2.12,16.89,36.25,29.69,100.0,63.75
2013-09-30,1035.46,20.97,1056.43,0.0,103.0,217.14,5.63,808.73,-78.07,29.92,-48.15,56.38,-104.53,-104.53,19.0,-123.53,0.0,0.0,-123.53,465.8,-2.65,-2.65,16.89,36.25,29.69,100.0,63.75
2013-12-31,998.11,112.66,1110.77,0.0,103.29,222.0,1.34,830.11,-45.97,49.34,3.37,55.04,-51.67,-51.67,14.0,-65.67,0.0,0.0,-65.67,465.8,-1.41,-1.41,16.89,36.25,29.69,100.0,63.75
2014-03-31,1203.95,77.99,1281.94,0.0,108.4,212.54,42.77,880.55,37.68,26.33,64.01,46.5,17.51,17.51,4.27,13.24,0.0,0.0,13.24,465.8,0.28,0.28,16.89,36.25,29.69,100.0,63.75
2014-06-30,1057.74,33.55,1091.29,0.0,95.74,188.85,16.39,778.37,11.94,109.04,120.98,53.98,67.0,67.0,17.5,49.5,0.0,0.0,49.5,465.8,1.06,1.06,16.89,36.25,29.69,100.0,63.75
2014-09-30,1084.34,9.18,1093.52,0.0,97.16,197.7,0.0,818.21,-19.55,100.52,80.97,45.88,35.09,35.09,16.5,18.59,0.0,0.0,18.59,465.8,0.4,0.4,16.89,36.25,29.69,100.0,63.75
2014-12-31,983.33,105.65,1088.98,0.0,100.06,193.85,32.48,707.96,54.63,37.15,91.78,44.43,47.35,47.35,16.0,31.35,0.0,0.0,31.35,465.8,0.67,0.67,16.89,36.25,29.69,100.0,63.75
2015-03-31,1028.32,48.64,1076.96,0.0,123.9,189.75,9.27,626.05,127.99,34.24,162.23,35.54,126.69,126.69,25.2,101.49,0.0,0.0,101.49,465.8,2.18,2.18,16.89,36.25,29.69,100.0,63.75
