Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,"Stores, Spares And Loose Tools",Capital Goods,Other Assets,Assets Held For Sale,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods
2004-03-31,282.3,282.3,2114.7,2114.7,2397.0,1371.27,312.65,0.0,0.0,1683.92,0.0,600.77,172.33,211.58,984.68,5065.6,2981.81,0.0,385.66,3367.47,0.45,0.0,28.2,3413.29,41.86,228.38,383.16,957.44,41.47,1652.31,5065.6,601.69,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17,0.0,0.0
2005-03-31,282.3,282.3,3309.81,3309.81,3592.11,1402.65,0.0,0.0,0.0,1402.65,0.0,777.42,212.13,211.22,1200.77,6195.53,3234.67,1.15,122.5,3358.32,0.45,0.0,16.43,3375.2,50.41,207.58,1885.74,626.76,49.84,2820.33,6195.53,267.42,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,282.3,282.3,4077.82,4077.82,4360.12,1374.4,0.0,0.0,0.0,1374.4,0.0,627.03,271.28,158.64,1056.95,6791.47,3257.99,1.54,237.26,3496.79,0.46,0.0,4.65,3501.9,70.25,275.78,2097.33,792.11,54.1,3289.57,6791.47,1028.37,0.0,0.0,0.0,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,282.3,282.3,4817.43,4817.43,5099.73,1244.71,0.0,0.0,0.0,1244.71,0.0,712.03,399.69,272.25,1383.97,7728.41,2958.99,2.16,762.55,3723.7,24.0,0.0,0.0,3747.7,73.85,321.17,2624.69,892.22,68.78,3980.71,7728.41,3076.42,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,282.3,282.3,5349.8,5349.8,5632.1,1454.2,0.0,0.0,0.0,1454.2,0.0,618.64,225.2,191.79,1035.63,8121.93,2687.73,2.17,2007.2,4697.1,41.46,0.0,0.0,4738.56,90.07,377.74,2091.2,765.57,58.79,3383.37,8121.93,4799.02,0.0,0.0,0.0,41.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,423.45,423.45,5785.0,5785.0,6208.45,2471.67,0.0,0.0,0.0,2471.67,0.0,775.29,205.33,407.03,1387.65,10067.77,3825.04,2.87,2099.85,5927.76,111.46,0.0,0.0,6039.22,63.34,429.45,2672.83,808.17,54.76,4028.55,10067.77,6187.73,0.0,0.0,141.15,111.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,423.45,423.45,5913.55,5913.55,6337.0,2696.86,0.0,0.0,0.0,2696.86,0.0,717.76,227.48,340.62,1285.86,10319.72,4496.19,10.62,1854.7,6361.51,166.66,0.0,0.0,6528.17,83.21,338.06,2406.46,878.6,85.22,3791.55,10319.72,5265.32,0.0,0.0,141.15,166.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,465.8,465.8,6702.31,6702.31,7168.11,4056.3,0.0,14.37,78.15,4148.82,0.0,635.74,878.43,188.96,1703.13,13020.06,7316.3,52.89,329.05,7698.26,192.36,1685.95,5.08,9581.65,146.5,380.73,2466.72,134.48,209.67,3438.41,13020.06,5083.78,3103.94,3736.53,141.15,192.36,100.31,100.31,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,465.8,465.8,6268.52,6268.52,6734.32,5525.78,0.0,10.02,77.44,5613.24,0.0,603.76,1013.38,66.8,1683.94,14031.5,8871.6,41.15,361.99,9274.74,192.36,1705.01,5.0,11177.11,177.45,785.93,1442.41,190.38,175.91,2854.39,14031.5,4698.2,4258.09,4206.8,141.15,192.36,82.31,82.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,465.8,465.8,6150.35,6150.35,6616.15,6822.64,0.0,8.41,108.99,6940.04,457.04,803.58,1203.23,76.16,2540.01,16096.2,11506.51,33.27,189.45,11729.7,0.17,1671.85,5.11,13406.83,183.46,886.41,1264.78,154.68,82.35,2689.37,16096.2,2923.29,4332.55,4258.93,141.15,0.17,97.59,117.69,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,465.8,465.8,5874.02,5874.02,6339.82,6570.74,0.0,8.23,124.28,6703.25,584.54,1077.49,1502.37,47.3,3211.7,16254.77,11910.74,23.58,62.88,11997.61,13.06,987.93,4.46,13003.06,190.45,1020.2,1018.93,765.81,155.89,3251.71,16254.77,1974.34,4570.05,4301.7,141.15,13.06,100.43,100.43,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,465.8,465.8,6067.8,6067.8,6533.6,5569.94,0.0,0.41,137.97,5708.32,35.0,1257.42,1627.97,42.57,2962.96,15204.88,11432.37,12.09,490.93,11935.39,13.06,444.72,12.15,12405.32,91.93,787.82,1256.16,484.06,102.51,2799.56,15204.88,990.88,986.38,1735.05,141.15,13.06,77.08,77.08,74.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,465.8,465.8,6444.59,6444.59,6910.39,4598.01,0.0,0.09,144.51,4742.61,0.0,989.61,1790.67,67.63,2847.91,14500.91,11602.82,0.58,0.0,11603.4,27.34,452.77,12.42,12095.93,85.58,708.82,1286.25,200.51,85.87,2404.98,14500.91,3173.99,1730.35,1425.46,141.15,27.34,37.95,37.95,121.23,440.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,465.8,465.8,6366.97,6366.97,6832.77,3077.63,388.22,0.38,85.74,3551.97,974.2,1151.56,1967.03,9.68,4102.47,14487.21,11410.62,0.06,27.33,11438.01,74.63,17.08,221.71,11751.43,115.21,658.7,1375.65,267.38,318.84,2735.78,14487.21,2799.03,36.76,35.56,141.15,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,465.8,465.8,6631.76,6631.76,7097.56,3306.57,103.95,0.94,90.04,3501.5,1274.41,983.66,1534.21,9.32,3801.6,14400.66,11347.48,0.52,7.81,11355.81,74.82,18.85,242.21,11691.69,116.53,608.58,1130.12,236.18,561.51,2708.97,14400.66,2657.25,37.68,34.6,141.15,74.82,56.05,56.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,465.8,465.8,6515.41,6515.41,6981.21,2526.66,91.53,0.41,97.73,2716.33,1587.48,1276.2,1578.14,8.91,4450.73,14148.27,11116.56,2.53,7.63,11126.72,77.14,20.36,202.41,11426.63,159.79,598.92,998.16,223.81,740.96,2721.64,14148.27,2701.43,42.22,40.35,141.15,77.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,465.8,465.8,6832.38,6832.38,7298.18,1701.33,75.31,0.25,64.97,1841.86,1988.51,955.6,1638.9,10.07,4593.08,13733.12,10627.64,25.49,2.84,10655.97,77.26,260.3,297.54,11291.07,131.38,606.23,937.77,7.91,758.76,2442.05,13733.12,2606.89,44.23,45.01,141.15,127.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,465.8,465.8,7436.22,7436.22,7902.02,2663.78,55.8,22.76,63.32,2805.66,422.65,832.5,1165.19,8.91,2429.25,13136.93,10173.88,0.5,32.66,10207.04,77.13,243.04,308.25,10835.46,87.6,630.46,1035.15,7.92,540.34,2301.47,13136.93,2917.03,28.1,38.91,141.15,127.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,465.8,465.8,8233.84,8233.84,8699.64,2146.19,0.83,22.36,68.63,2238.01,1031.19,1238.13,634.3,13.79,2917.41,13855.06,7624.64,0.09,58.31,7683.04,78.38,208.82,543.07,8513.31,174.79,637.21,1406.91,1.69,3121.15,5341.75,13855.06,3291.54,40.49,49.83,141.15,128.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,465.8,465.8,5905.64,5905.64,6371.44,1659.15,0.98,20.91,67.33,1748.37,923.79,1392.84,458.66,16.63,2791.92,10911.73,7403.36,0.0,33.51,7436.87,78.98,223.15,483.26,8222.26,150.0,1018.11,553.36,1.76,966.24,2689.47,10911.73,3606.98,49.48,52.59,141.15,78.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,465.8,465.8,6497.82,6497.82,6963.62,1565.59,1.09,19.92,57.42,1644.02,1327.78,1335.18,242.57,10.24,2915.77,11523.41,7003.47,0.32,42.13,7045.92,79.46,227.56,522.84,7875.78,174.04,1410.47,1314.12,2.36,746.64,3647.63,11523.41,4103.79,40.18,53.9,141.15,79.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
