Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2014-03-31,402.26,11.38,413.63,287.13,1.48,21.04,8.51,51.16,44.31,6.69,51.0,8.48,42.53,42.53,13.03,29.5,0.0,29.5,39.81,559.69,7.41,7.41,1.1,27.73,2.88,100.0,72.27
2014-06-30,371.04,6.07,377.11,300.71,-8.0,14.76,6.45,23.44,39.75,2.1,41.85,7.4,34.44,34.44,11.71,22.73,0.0,22.73,39.81,611.92,5.71,5.71,1.1,27.73,2.88,100.0,72.27
2014-09-30,318.69,14.03,332.73,248.22,-24.25,15.44,10.35,40.25,42.71,1.08,43.79,13.29,30.49,30.49,9.27,21.23,0.0,21.23,39.81,631.5,5.33,5.33,1.1,27.73,2.88,100.0,72.27
2014-12-31,381.14,5.71,386.86,269.74,7.03,19.9,8.96,33.94,47.29,3.07,50.36,14.59,35.77,35.77,12.17,23.6,0.0,23.6,39.81,0.0,5.92,5.92,0.0,0.0,0.0,0.0,0.0
2015-03-31,459.22,5.07,464.3,376.87,-34.86,23.64,10.6,37.54,50.51,7.57,58.08,10.95,47.13,47.13,14.34,32.79,0.0,32.79,39.81,1310.37,8.24,8.24,1.1,27.73,2.88,100.0,72.27
2015-06-30,426.38,8.0,434.39,301.81,14.57,19.11,11.78,38.75,48.36,1.85,50.21,10.33,39.88,39.88,13.77,26.11,0.0,26.11,51.31,1115.14,5.79,5.79,2.25,43.93,2.88,100.0,56.07
2015-09-30,462.53,6.96,469.49,350.66,-2.47,21.17,12.47,39.04,48.62,3.31,51.93,5.94,45.99,45.99,15.54,30.45,0.0,30.45,51.31,1140.96,5.93,5.93,2.25,43.93,2.88,100.0,56.07
2015-12-31,518.05,3.49,521.55,387.85,-1.72,21.93,13.86,45.58,54.04,3.55,57.59,8.09,49.49,49.49,17.04,32.45,0.0,32.45,51.31,1190.84,6.32,6.32,0.0,0.0,0.0,0.0,0.0
2016-03-31,585.1,3.64,588.74,393.51,24.13,21.37,14.35,72.91,62.47,11.45,73.92,8.86,65.05,65.05,-49.73,114.79,38.95,153.73,51.31,1310.96,29.96,29.96,0.0,0.0,0.0,0.0,0.0
2016-06-30,515.0,0.0,515.0,377.61,-2.26,24.29,12.1,48.28,54.98,17.44,72.42,2.16,70.26,70.26,6.26,64.0,0.0,64.0,51.31,0.0,2.49,2.49,0.0,0.0,0.0,0.0,0.0
2016-09-30,359.91,0.0,359.91,242.71,12.54,21.35,13.42,36.99,32.91,10.06,42.97,5.83,37.14,37.14,1.93,35.21,0.0,35.21,51.31,0.0,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2016-12-31,461.1,2.55,463.65,319.68,3.09,29.98,13.78,50.72,46.4,8.46,54.86,3.95,50.91,50.91,-25.83,76.74,0.0,76.74,51.31,0.0,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2017-03-31,346.78,3.77,350.56,221.78,11.44,24.73,14.04,45.18,33.39,10.6,43.99,8.36,35.63,35.63,1.89,33.74,0.0,33.74,51.31,0.0,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2017-06-30,356.65,0.0,356.65,230.21,8.15,26.4,17.52,39.93,34.44,5.5,39.94,8.0,31.94,31.94,2.13,29.81,0.0,29.81,51.31,1550.73,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2017-09-30,268.57,0.0,268.57,175.36,1.17,23.78,18.44,28.57,21.25,5.21,26.46,7.68,18.78,18.78,2.13,16.65,0.0,16.65,51.31,1551.33,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2017-12-31,472.48,0.0,472.48,326.32,-6.51,36.21,19.56,50.2,46.71,5.66,52.38,6.5,45.87,45.87,-47.19,93.06,0.0,93.06,51.31,1644.44,3.63,3.63,0.0,0.0,0.0,0.0,0.0
2018-03-31,758.88,0.0,758.88,486.29,3.23,37.59,21.68,70.86,139.23,6.64,145.87,8.54,137.34,137.34,25.81,111.52,0.0,111.52,51.31,1755.39,4.35,4.35,0.0,0.0,0.0,0.0,0.0
2018-06-30,735.5,0.0,735.5,500.18,0.0,40.56,19.28,65.34,110.14,17.89,128.03,10.65,117.38,117.38,14.86,102.52,0.0,102.52,51.31,1857.81,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,558.64,0.0,558.64,381.32,0.0,42.23,20.6,60.49,54.0,6.08,60.08,15.32,44.76,44.76,9.65,35.11,0.0,35.11,51.31,1877.35,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2018-12-31,727.02,0.0,727.02,498.3,0.0,55.16,24.14,71.43,77.99,6.81,84.81,18.72,66.08,66.08,18.73,47.35,0.0,47.35,51.31,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2019-03-31,1075.71,0.0,1075.71,734.16,0.0,54.38,28.22,135.99,122.96,12.26,135.22,19.4,115.82,115.82,-24.11,139.93,0.0,139.93,51.31,0.0,5.45,5.45,0.0,0.0,0.0,0.0,0.0
2019-06-30,1321.76,0.0,1321.76,942.9,0.0,59.11,30.48,140.18,149.09,13.51,162.6,17.92,144.68,144.68,44.53,100.15,0.0,100.15,51.31,2163.8,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2019-09-30,1180.22,0.0,1180.22,759.52,0.0,58.34,30.89,105.14,226.34,44.68,271.01,24.72,246.3,246.3,39.36,206.94,0.0,206.94,51.31,2355.04,8.07,8.07,0.0,0.0,0.0,0.0,0.0
2019-12-31,1218.0,0.0,1218.0,846.0,0.0,85.34,32.65,115.44,138.56,14.36,152.92,40.13,112.79,112.79,35.65,77.14,0.0,77.14,51.31,2431.94,3.01,3.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,1157.95,0.0,1157.95,822.53,0.0,62.32,32.36,116.78,123.95,15.94,139.9,31.64,108.26,108.26,32.18,76.08,0.0,76.08,51.31,2495.29,2.97,2.97,0.0,0.0,0.0,0.0,0.0
2020-06-30,905.26,0.0,905.26,655.21,0.0,43.72,27.01,86.56,92.76,19.12,111.88,25.28,86.59,86.59,26.47,60.12,0.0,60.12,51.31,2555.91,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2020-09-30,1053.46,0.0,1053.46,749.75,0.0,65.46,27.22,96.15,114.87,14.8,129.67,21.79,107.88,107.88,38.61,69.27,0.0,69.27,51.31,2625.69,2.7,2.7,0.0,0.0,0.0,0.0,0.0
2020-12-31,1322.42,0.0,1322.42,923.08,0.0,92.36,28.16,128.46,150.36,24.26,174.62,15.25,159.37,159.37,56.2,103.17,0.0,103.17,51.31,2729.37,4.02,4.02,0.0,0.0,0.0,0.0,0.0
2021-03-31,1644.28,0.0,1644.28,1168.49,0.0,77.55,29.99,165.88,202.38,17.07,219.44,14.78,204.67,204.67,75.28,129.39,0.0,129.39,51.31,0.0,5.04,5.04,0.0,0.0,0.0,0.0,0.0
2021-06-30,1251.19,0.0,1251.19,885.58,0.0,72.88,31.49,117.28,143.95,17.76,161.71,18.03,143.67,143.67,50.38,93.29,0.0,93.29,51.31,0.0,3.64,3.64,0.0,0.0,0.0,0.0,0.0
2021-09-30,1615.02,0.0,1615.02,1145.85,0.0,86.46,32.8,161.09,188.82,17.43,206.25,24.29,181.96,181.96,46.58,135.37,0.0,135.37,51.31,0.0,5.28,5.28,0.0,0.0,0.0,0.0,0.0
2021-12-31,1521.99,0.0,1521.99,1066.22,0.0,102.34,33.55,187.94,131.94,10.55,142.49,20.82,121.67,121.67,40.71,80.96,0.0,80.96,51.31,0.0,3.16,3.16,0.0,0.0,0.0,0.0,0.0
2022-03-31,1917.31,0.0,1917.31,1354.1,0.0,80.3,32.07,258.22,192.62,8.5,201.12,17.0,184.12,184.12,45.92,138.21,0.0,138.21,51.31,0.0,5.39,5.39,0.0,0.0,0.0,0.0,0.0
2022-06-30,1758.13,0.0,1758.13,1289.65,0.0,75.33,26.92,135.37,230.86,7.5,238.36,17.47,220.88,220.88,54.34,166.54,0.0,166.54,51.31,0.0,6.49,6.49,0.0,0.0,0.0,0.0,0.0
2022-09-30,1561.09,0.0,1561.09,1171.17,0.0,72.95,27.43,109.94,179.6,10.49,190.09,15.45,174.63,174.63,43.57,131.07,0.0,131.07,51.31,0.0,5.11,5.11,0.0,0.0,0.0,0.0,0.0
2022-12-31,1626.97,0.0,1626.97,1205.32,0.0,110.78,27.76,102.82,180.29,9.77,190.06,16.2,173.86,173.86,44.46,129.41,0.0,129.41,51.31,0.0,5.04,5.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,2114.65,0.0,2114.65,1596.22,0.0,76.83,27.88,160.58,253.14,10.51,263.65,14.68,248.98,248.98,64.52,184.46,0.0,184.46,51.31,0.0,7.19,7.19,0.0,0.0,0.0,0.0,0.0
2023-06-30,1861.43,0.0,1861.43,1400.72,0.0,83.3,24.96,132.35,220.1,7.77,227.87,16.35,211.52,211.52,54.94,156.59,0.0,156.59,51.31,0.0,6.1,6.1,0.0,0.0,0.0,0.0,0.0
2023-09-30,1693.01,0.0,1693.01,1258.33,0.0,87.47,25.66,119.56,201.99,5.74,207.73,18.72,189.01,189.01,49.24,139.78,0.0,139.78,51.31,0.0,5.45,5.45,0.0,0.0,0.0,0.0,0.0
2023-12-31,1802.74,0.0,1802.74,1350.16,0.0,86.43,26.09,126.69,213.37,4.23,217.61,17.2,200.41,200.41,49.33,151.08,0.0,151.08,51.31,0.0,5.89,5.89,0.0,0.0,0.0,0.0,0.0
2024-03-31,2342.01,0.0,2342.01,1539.24,0.0,98.45,26.58,139.09,538.66,10.01,548.67,13.55,535.12,535.12,132.78,402.34,0.0,402.34,51.31,0.0,15.68,15.68,0.0,0.0,0.0,0.0,0.0
2024-06-30,1744.42,0.0,1744.42,974.9,0.0,84.91,22.47,91.13,571.01,8.62,579.63,12.89,566.75,566.75,145.66,421.09,0.0,421.09,51.31,0.0,16.41,16.41,0.0,0.0,0.0,0.0,0.0
2024-09-30,1149.08,0.0,1149.08,850.98,0.0,88.22,22.55,76.29,111.04,12.92,123.97,15.16,108.8,108.8,27.9,80.91,0.0,80.91,51.31,0.0,3.16,3.16,0.0,0.0,0.0,0.0,0.0
2024-12-31,1205.06,0.0,1205.06,894.73,0.0,85.27,22.63,79.09,123.34,15.93,139.27,21.7,117.57,117.57,34.92,82.65,0.0,82.65,51.31,0.0,3.22,3.22,0.0,0.0,0.0,0.0,0.0
