Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Expenditure In Foreign Currency
2009-03-31,22.11,22.11,101.82,101.82,123.93,102.8,0.0,0.0,105.81,0.0,0.0,64.44,0.01,64.45,294.19,92.97,0.0,0.0,92.97,10.12,0.0,0.0,1.03,104.12,0.0,22.69,103.6,24.88,38.9,0.0,190.07,294.19,6.48,21.86,10.12,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2010-03-31,34.12,34.12,159.8,159.8,193.92,11.66,0.0,0.0,14.12,69.3,24.59,83.52,5.64,183.06,391.1,88.98,0.0,0.0,88.98,22.9,0.0,0.0,0.0,111.88,0.0,42.86,133.91,49.07,42.08,11.3,279.22,391.1,366.76,11.06,22.9,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,39.81,39.81,375.22,375.22,415.03,14.68,16.79,1.29,34.86,74.07,42.19,31.33,0.08,147.67,597.57,101.3,0.0,0.0,101.3,51.28,0.0,37.49,10.64,200.7,0.0,147.59,190.15,40.79,17.59,0.75,396.87,597.57,413.73,11.06,51.28,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,39.81,39.81,452.73,452.73,492.54,10.85,111.84,3.19,127.9,245.27,85.71,81.18,0.2,412.35,1032.79,110.76,0.05,5.78,116.59,167.25,0.0,72.92,8.29,365.05,0.0,148.39,415.68,37.97,64.09,1.61,667.74,1032.79,659.79,11.06,167.25,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.81,39.81,525.74,525.74,565.55,24.4,95.88,3.43,123.9,209.36,144.14,69.24,4.4,427.15,1116.59,113.5,0.04,12.28,125.82,271.21,0.0,73.48,2.91,473.42,0.0,105.14,398.14,38.18,100.05,1.68,643.17,1116.59,512.31,11.06,271.21,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,39.81,39.81,589.19,589.19,628.99,28.88,173.81,3.72,209.13,219.34,69.96,148.02,4.5,441.83,1279.95,152.83,0.01,1.58,154.42,350.99,0.0,94.55,3.76,603.72,0.0,104.83,343.56,99.91,126.62,1.31,676.23,1279.95,825.2,11.06,350.99,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,39.81,39.81,678.63,678.63,718.44,23.76,245.7,4.2,274.05,300.26,108.12,149.11,27.7,585.19,1577.68,210.34,0.13,5.66,217.45,423.54,0.0,103.57,7.05,751.6,0.0,222.53,366.74,21.16,214.31,1.35,826.08,1577.68,1289.37,11.06,423.54,0.0,0.39,1.31,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,51.31,51.31,1310.96,1310.96,1362.26,6.03,156.99,2.82,165.84,0.0,106.16,219.62,36.35,362.14,1890.25,210.59,1.93,1.87,214.39,464.36,2.99,234.39,5.53,921.66,0.0,236.38,376.3,97.05,257.68,1.18,968.59,1890.25,1306.3,11.06,464.36,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,51.31,51.31,1520.86,1520.86,1572.17,57.63,164.0,3.49,225.12,89.72,236.9,249.21,20.63,596.45,2393.74,345.9,1.99,7.82,355.7,467.57,2.25,0.0,429.71,1255.24,0.0,153.48,630.86,35.49,0.0,318.67,1138.5,2393.74,1642.35,11.06,467.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,51.31,51.31,1755.39,1755.39,1806.7,128.55,165.18,4.7,298.44,0.0,462.84,205.61,12.85,681.3,2786.44,404.81,1.6,11.14,417.55,494.79,2.03,0.0,466.32,1380.69,0.0,175.75,689.99,147.29,0.0,392.72,1405.75,2786.44,2336.37,11.06,494.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
