Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
2021-03-31,663.77,5.16,668.93,363.46,14.52,9.93,52.79,43.11,21.35,88.29,75.48,2.45,77.93,9.45,68.48,-12.94,55.54,16.95,38.59,38.59,15.93,3.69,3.69
2021-06-30,1099.35,6.08,1105.43,608.22,25.85,-40.63,87.39,72.42,30.61,107.46,214.11,5.92,220.03,16.76,203.27,0.0,203.27,65.1,138.17,138.17,15.93,8.67,8.67
2021-09-30,1231.37,5.5,1236.87,737.06,41.2,-30.76,103.5,66.34,29.56,105.81,184.16,6.96,191.12,10.97,180.15,0.0,180.15,57.59,122.56,122.56,15.93,7.69,7.69
2021-12-31,1252.8,3.44,1256.24,752.74,18.48,-36.56,134.01,79.64,29.63,109.08,169.22,9.3,178.52,8.62,169.9,0.0,169.9,52.86,117.04,117.04,15.93,7.35,7.35
2022-03-31,1247.69,14.19,1261.88,700.16,29.02,17.06,147.78,74.01,30.33,138.12,125.4,6.64,132.04,9.89,122.15,0.0,122.15,47.67,74.48,74.48,15.93,4.67,4.67
2022-06-30,1151.23,6.43,1157.66,683.64,22.59,-69.18,193.75,73.4,30.77,112.0,110.69,9.47,120.16,7.99,112.17,0.0,112.17,35.73,76.44,76.44,15.93,4.8,4.8
2022-09-30,1245.79,4.6,1250.39,702.02,28.3,-21.11,191.21,83.36,30.36,129.4,106.85,6.77,113.62,9.23,104.39,0.0,104.39,34.03,70.36,70.36,15.93,4.42,4.42
2022-12-31,1084.84,5.67,1090.51,617.52,24.48,-55.05,181.92,72.86,29.38,120.07,99.33,6.43,105.76,11.19,94.57,0.0,94.57,26.63,67.94,67.94,15.93,4.26,4.26
2023-03-31,1046.53,14.48,1061.01,544.58,38.06,20.97,153.0,76.26,29.23,140.99,57.92,8.36,66.28,9.83,56.45,0.0,56.45,17.78,38.67,38.67,15.93,2.43,2.43
2023-06-30,1024.36,6.36,1030.72,578.91,13.35,-55.63,162.39,83.65,31.69,133.91,82.45,9.61,92.06,15.28,76.78,0.0,76.78,21.96,54.82,54.82,15.93,3.44,3.44
2023-09-30,994.27,8.82,1003.09,472.68,7.99,32.6,135.65,92.53,33.29,140.7,87.65,8.03,95.68,15.9,79.78,0.0,79.78,22.46,57.32,57.32,15.93,3.6,3.6
2023-12-31,910.74,5.96,916.7,501.13,14.37,-12.2,115.02,90.05,33.64,134.33,40.36,8.11,48.47,18.46,30.01,0.0,30.01,10.68,19.33,19.33,15.93,1.21,1.21
2024-03-31,1022.77,13.97,1036.74,486.33,8.32,102.11,120.19,76.56,34.52,149.4,59.31,9.77,69.08,16.65,52.43,0.0,52.43,21.45,30.98,30.98,15.93,1.94,1.94
2024-06-30,955.28,13.81,969.09,530.32,7.4,-1.21,120.33,91.62,36.33,132.49,51.81,9.22,61.03,16.69,44.34,0.0,44.34,11.57,32.77,32.77,15.93,2.06,2.06
2024-09-30,989.16,16.23,1005.39,505.62,8.19,-3.85,130.51,101.77,37.02,135.29,90.84,8.97,99.81,17.31,82.5,0.0,82.5,22.32,60.18,60.18,15.93,3.78,3.78
2024-12-31,984.11,10.66,994.77,527.44,9.03,-12.93,120.43,93.73,37.18,126.21,93.68,27.22,120.9,15.33,105.57,0.0,105.57,24.97,80.6,80.6,15.93,5.06,5.06
2025-03-31,952.4,19.58,971.98,496.37,32.06,-10.52,106.45,86.25,36.79,133.49,91.09,35.6,126.69,15.74,110.95,0.0,110.95,21.08,89.87,89.87,15.93,5.64,5.64
