Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value
2020-03-31,0.05,0.05,-0.17,-0.17,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0
2021-03-31,15.93,15.93,1559.92,1559.92,1575.85,646.83,27.88,42.75,66.0,783.46,0.0,689.82,179.1,11.74,880.66,3239.97,1722.12,4.71,62.91,1.91,1791.65,134.89,2.36,16.04,1944.95,520.62,480.29,85.65,2.4,206.07,1295.02,3239.97,342.91,211.9,251.1,132.73
2022-03-31,15.93,15.93,1967.12,1967.12,1983.05,295.68,136.61,40.87,64.95,538.11,129.06,794.66,190.65,16.6,1130.97,3652.13,1724.64,2.94,161.71,4.96,1894.25,139.19,0.5,33.29,2067.24,762.63,585.08,24.42,0.41,212.36,1584.89,3652.13,487.63,1987.2,1774.7,139.19
2023-03-31,15.93,15.93,2142.65,2142.65,2158.57,337.25,189.95,40.34,62.88,630.42,263.47,810.05,176.05,19.83,1269.4,4058.39,1767.47,7.96,476.52,0.0,2251.94,171.89,0.44,36.93,2461.21,880.27,496.92,36.52,0.48,183.0,1597.19,4058.39,487.82,1545.0,1992.6,171.89
2024-03-31,15.93,15.93,2231.13,2231.13,2247.06,395.57,213.29,34.58,61.81,705.25,433.68,757.04,179.93,17.45,1388.09,4340.4,2278.08,13.58,180.33,0.68,2472.67,296.97,0.42,27.26,2797.32,775.32,563.22,19.52,0.37,184.66,1543.08,4340.4,433.12,1469.99,1584.05,296.97
