Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2766.22,2766.22,0.0,0.0,1096.06,103.84,644.13,922.19,39.92,962.11,19.66,942.45,0.0,942.45,217.73,724.72,724.72,138.91,7850.69,10.44,10.24,26.3,37.87,43.15,100.0,62.13
2013-03-31,2943.69,2943.69,0.0,0.0,1143.56,102.84,760.24,937.05,60.37,997.42,19.96,977.46,0.0,977.46,144.5,832.96,832.96,139.22,8677.47,11.99,11.75,26.46,38.01,43.15,100.0,61.99
2013-06-30,4111.19,4111.19,0.0,0.0,1275.59,134.66,1195.82,1505.12,174.51,1679.63,14.0,1665.63,93.54,1759.17,311.96,1447.21,1447.21,139.37,10093.36,20.78,20.47,26.54,38.08,43.15,100.0,61.92
2013-09-30,3843.81,3843.81,0.0,0.0,1286.78,124.31,934.01,1498.71,114.27,1612.98,18.47,1594.51,0.0,1594.51,303.54,1290.97,1290.97,139.56,10935.27,18.52,18.22,26.63,38.16,43.15,100.0,61.84
2013-12-31,3836.21,3836.21,0.0,0.0,1261.07,120.11,1012.66,1442.37,139.65,1582.02,21.54,1560.48,0.0,1560.48,262.61,1297.87,1297.87,139.77,12158.35,18.58,18.34,26.73,38.25,43.15,100.0,61.75
2014-03-31,4045.91,4045.91,0.0,0.0,1269.09,119.04,1065.65,1592.13,169.93,1762.06,19.18,1742.88,0.0,1742.88,330.34,1412.54,1412.54,139.88,13513.59,20.2,19.96,26.79,38.31,43.15,100.0,61.69
2014-06-30,4771.44,4771.44,0.0,0.0,1307.01,127.24,1050.21,2286.98,235.27,2522.25,22.46,2499.79,0.0,2499.79,516.55,1983.24,1983.24,140.0,15605.61,28.34,28.02,26.85,38.36,43.15,100.0,61.64
2014-09-30,4054.4,4054.4,0.0,0.0,1368.13,69.35,888.87,1728.05,365.08,2093.13,21.49,2071.64,0.0,2071.64,389.08,1682.56,1682.56,140.26,15866.07,24.02,23.8,26.98,38.47,43.15,100.0,61.53
2014-12-31,4247.59,4247.59,0.0,0.0,1457.59,72.28,924.99,1792.73,253.08,2045.81,12.47,2033.34,0.0,2033.34,369.87,1663.47,1663.47,140.47,16866.69,23.71,23.57,27.09,38.57,43.15,100.0,61.43
2015-03-31,4385.95,4385.95,0.0,0.0,1535.66,74.52,1101.37,1674.4,251.97,1926.37,12.21,1914.16,0.0,1914.16,349.42,1564.74,1564.74,281.14,17696.73,11.13,11.08,55.4,39.41,85.17,100.0,60.59
2015-06-30,4465.5,4465.5,111.33,-25.39,1563.24,83.77,1243.3,1489.25,204.61,1693.86,14.47,1679.39,0.0,1679.39,244.22,1435.17,1435.17,281.2,19124.53,10.21,10.15,55.43,39.42,85.17,100.0,60.58
2015-09-30,4350.15,4350.15,47.6,-28.09,1635.14,88.38,1115.68,1491.44,268.11,1759.55,16.65,1742.9,0.0,1742.9,343.61,1399.29,1399.29,281.25,0.0,9.95,9.9,0.0,0.0,0.0,0.0,0.0
2015-12-31,4471.85,4471.85,37.18,-16.08,1651.37,95.71,1010.95,1692.72,361.13,2053.85,14.74,2039.11,0.0,2039.11,389.45,1649.66,1649.66,281.86,0.0,11.72,11.68,0.0,0.0,0.0,0.0,0.0
2016-03-31,4612.64,4612.64,77.88,-2.62,1580.41,92.8,1131.49,1732.68,283.4,2016.08,14.43,2001.65,0.0,2001.65,330.14,1671.51,1671.51,282.08,0.0,11.86,11.83,0.0,0.0,0.0,0.0,0.0
2016-06-30,4608.8,4608.8,64.52,-38.35,1569.51,93.36,904.06,2015.7,220.01,2235.71,10.27,2225.44,0.0,2225.44,426.15,1799.29,1799.29,282.15,0.0,12.76,12.74,0.0,0.0,0.0,0.0,0.0
2016-09-30,4705.77,4705.77,14.51,9.0,1639.67,102.27,1080.12,1860.2,237.87,2098.07,2.49,2095.58,0.0,2095.58,404.86,1690.72,1690.72,282.18,0.0,11.98,11.97,0.0,0.0,0.0,0.0,0.0
2016-12-31,4889.26,4889.26,23.81,-8.78,1694.91,123.42,1153.58,1902.32,187.53,2089.85,9.43,2080.42,0.0,2080.42,418.88,1661.54,1661.54,282.24,0.0,11.78,11.76,0.0,0.0,0.0,0.0,0.0
2017-03-31,5114.48,5114.48,20.47,76.76,1939.29,159.84,1240.29,1677.83,230.64,1908.47,33.84,1874.63,0.0,1874.63,153.49,1721.14,1721.14,285.36,0.0,12.06,12.05,0.0,0.0,0.0,0.0,0.0
2017-06-30,5179.0,5179.0,37.0,35.0,1761.0,131.0,1234.0,1981.0,199.0,2180.0,6.0,2174.0,0.0,2174.0,412.0,1762.0,1762.0,285.36,0.0,12.35,12.28,0.0,0.0,0.0,0.0,0.0
2017-09-30,5460.0,5460.0,32.0,-4.0,1890.0,184.0,1243.0,2115.0,162.0,2277.0,5.0,2272.0,0.0,2272.0,482.0,1790.0,1790.0,278.41,0.0,12.84,12.83,0.0,0.0,0.0,0.0,0.0
2017-12-31,5723.0,5723.0,34.0,-1.0,1878.0,294.0,1271.0,2247.0,143.0,2390.0,6.0,2384.0,0.0,2384.0,415.0,1969.0,1969.0,278.41,0.0,14.14,14.13,0.0,0.0,0.0,0.0,0.0
2018-03-31,5711.0,5711.0,35.0,20.0,1836.0,284.0,1433.0,2103.0,198.0,2301.0,6.0,2295.0,0.0,2295.0,454.0,1841.0,1841.0,278.45,0.0,13.22,13.21,0.0,0.0,0.0,0.0,0.0
2018-06-30,6013.0,6013.0,10.0,31.0,1861.0,318.0,1626.0,2167.0,211.0,2378.0,5.0,2373.0,0.0,2373.0,387.0,1986.0,1986.0,278.45,0.0,14.26,14.26,0.0,0.0,0.0,0.0,0.0
2018-09-30,6485.0,6485.0,21.0,-6.0,2008.0,312.0,1773.0,2377.0,264.0,2641.0,4.0,2637.0,0.0,2637.0,483.0,2154.0,2154.0,279.0,0.0,15.47,15.43,0.0,0.0,0.0,0.0,0.0
2018-12-31,6556.0,6556.0,77.0,-8.0,2064.0,328.0,1825.0,2270.0,116.0,2386.0,5.0,2381.0,0.0,2381.0,367.0,2014.0,2014.0,271.25,0.0,14.81,14.8,0.0,0.0,0.0,0.0,0.0
2019-03-31,6958.0,6958.0,34.0,5.0,2146.0,318.0,2127.0,2328.0,214.0,2542.0,2.0,2540.0,0.0,2540.0,509.0,2031.0,2031.0,271.25,0.0,14.97,14.97,0.0,0.0,0.0,0.0,0.0
2019-06-30,6765.0,6765.0,45.0,-28.0,2329.0,393.0,1891.0,2135.0,209.0,2344.0,27.0,2317.0,0.0,2317.0,524.0,1793.0,1793.0,271.25,0.0,13.22,13.21,0.0,0.0,0.0,0.0,0.0
2019-09-30,8130.0,8130.0,2.0,27.0,2444.0,393.0,2486.0,2778.0,93.0,2871.0,72.0,2799.0,0.0,2799.0,567.0,2232.0,2232.0,271.0,0.0,16.46,16.45,0.0,0.0,0.0,0.0,0.0
2019-12-31,8654.0,8654.0,46.0,5.0,2521.0,566.0,2580.0,2936.0,127.0,3063.0,72.0,2991.0,0.0,2991.0,547.0,2444.0,2444.0,542.73,0.0,9.01,9.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,9057.0,9057.0,51.0,0.0,2622.0,600.0,2805.0,2979.0,158.0,3137.0,67.0,3070.0,0.0,3070.0,570.0,2500.0,2500.0,543.0,0.0,9.2,9.2,0.0,0.0,0.0,0.0,0.0
2020-06-30,8362.0,8362.0,31.0,-7.0,2650.0,651.0,2212.0,2825.0,316.0,3141.0,66.0,3075.0,0.0,3075.0,715.0,2360.0,2360.0,542.73,0.0,8.7,8.7,0.0,0.0,0.0,0.0,0.0
2020-09-30,8658.0,8658.0,34.0,-4.0,2835.0,659.0,2054.0,3080.0,181.0,3261.0,27.0,3234.0,0.0,3234.0,704.0,2530.0,2530.0,543.0,0.0,9.32,9.32,0.0,0.0,0.0,0.0,0.0
2020-12-31,9404.0,9404.0,60.0,1.0,2886.0,719.0,2250.0,3488.0,218.0,3706.0,64.0,3642.0,0.0,3642.0,245.0,3397.0,3397.0,542.73,0.0,12.52,12.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,9249.0,9249.0,17.0,7.0,3378.0,784.0,2834.0,2229.0,250.0,2479.0,20.0,2459.0,0.0,2459.0,2003.0,456.0,456.0,543.0,0.0,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2021-06-30,9556.0,9556.0,29.0,-13.0,3440.0,660.0,2358.0,3082.0,261.0,3343.0,30.0,3313.0,0.0,3313.0,641.0,2672.0,2672.0,543.0,0.0,9.84,9.85,0.0,0.0,0.0,0.0,0.0
2021-09-30,9786.0,9786.0,34.0,6.0,3751.0,644.0,2351.0,3000.0,177.0,3177.0,25.0,3152.0,0.0,3152.0,590.0,2562.0,2562.0,543.0,0.0,9.44,9.44,0.0,0.0,0.0,0.0,0.0
2021-12-31,10662.0,10662.0,59.0,-7.0,4200.0,728.0,2510.0,3172.0,187.0,3359.0,28.0,3331.0,0.0,3331.0,694.0,2637.0,2637.0,543.0,0.0,9.72,9.72,0.0,0.0,0.0,0.0,0.0
2022-03-31,10634.0,10634.0,33.0,9.0,4481.0,583.0,2285.0,3243.0,255.0,3498.0,26.0,3472.0,0.0,3472.0,469.0,3003.0,3003.0,543.0,0.0,11.09,11.09,0.0,0.0,0.0,0.0,0.0
2022-06-30,10817.0,10817.0,31.0,-5.0,4661.0,586.0,2363.0,3181.0,334.0,3515.0,27.0,3488.0,0.0,3488.0,810.0,2678.0,2678.0,543.0,0.0,9.89,9.89,0.0,0.0,0.0,0.0,0.0
2022-09-30,11424.0,11424.0,29.0,-3.0,4899.0,560.0,2546.0,3393.0,184.0,3577.0,33.0,3544.0,0.0,3544.0,803.0,2741.0,2741.0,543.0,0.0,10.12,10.12,0.0,0.0,0.0,0.0,0.0
2022-12-31,12398.0,12398.0,83.0,-7.0,5100.0,686.0,2666.0,3870.0,288.0,4158.0,33.0,4125.0,0.0,4125.0,929.0,3196.0,3196.0,543.0,0.0,11.8,11.79,0.0,0.0,0.0,0.0,0.0
2023-03-31,11637.0,11637.0,25.0,3.0,5139.0,599.0,2503.0,3368.0,225.0,3593.0,34.0,3559.0,0.0,3559.0,715.0,2844.0,2844.0,543.0,0.0,10.5,10.49,0.0,0.0,0.0,0.0,0.0
2023-06-30,11451.0,11451.0,30.0,7.0,5185.0,506.0,2547.0,3176.0,262.0,3438.0,29.0,3409.0,0.0,3409.0,813.0,2596.0,2596.0,543.0,0.0,9.59,9.57,0.0,0.0,0.0,0.0,0.0
2023-09-30,12059.0,12059.0,30.0,8.0,5305.0,583.0,2402.0,3731.0,252.0,3983.0,33.0,3950.0,0.0,3950.0,984.0,2966.0,2966.0,543.0,0.0,10.95,10.93,0.0,0.0,0.0,0.0,0.0
2023-12-31,12531.0,12531.0,26.0,-11.0,5173.0,678.0,2506.0,4159.0,261.0,4420.0,29.0,4391.0,0.0,4391.0,1042.0,3349.0,3349.0,543.0,0.0,12.37,12.34,0.0,0.0,0.0,0.0,0.0
2024-03-31,12077.0,12077.0,49.0,6.0,5302.0,604.0,2677.0,3439.0,301.0,3740.0,34.0,3706.0,0.0,3706.0,943.0,2763.0,2763.0,543.0,0.0,10.2,10.18,0.0,0.0,0.0,0.0,0.0
2024-06-30,11784.0,11784.0,31.0,14.0,5405.0,571.0,2636.0,3127.0,321.0,3448.0,47.0,3401.0,0.0,3401.0,922.0,2479.0,2479.0,543.0,0.0,9.14,9.14,0.0,0.0,0.0,0.0,0.0
2024-09-30,12615.0,12615.0,34.0,2.0,5501.0,559.0,2457.0,4062.0,284.0,4346.0,30.0,4316.0,0.0,4316.0,1100.0,3216.0,3216.0,543.0,0.0,11.87,11.86,0.0,0.0,0.0,0.0,0.0
2024-12-31,13274.0,13274.0,27.0,-1.0,5648.0,613.0,2613.0,4374.0,344.0,4718.0,38.0,4680.0,0.0,4680.0,1154.0,3526.0,3526.0,543.0,0.0,13.01,13.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,13432.0,13432.0,41.0,-2.0,5860.0,577.0,3123.0,3833.0,285.0,4118.0,41.0,4077.0,0.0,4077.0,1032.0,3045.0,3045.0,543.0,0.0,11.24,11.23,0.0,0.0,0.0,0.0,0.0
