Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,6151.31,36.31,6187.62,4401.57,0.0,183.83,198.24,283.23,625.33,495.42,90.1,585.52,2.96,582.56,0.0,582.56,94.67,487.89,0.0,487.89,39.94,24.43,24.43,9.54,47.79,10.11,97.0,50.65
2013-03-31,6072.47,73.28,6145.75,4415.54,0.0,23.98,225.9,265.53,630.55,584.25,104.51,688.76,3.07,685.69,0.0,685.69,111.46,574.23,0.0,574.23,39.94,28.75,28.75,9.54,47.79,10.43,100.0,52.21
2013-06-30,6126.84,32.68,6159.52,4470.29,0.0,-14.68,221.5,274.38,567.19,640.84,112.26,753.1,2.95,750.15,0.0,750.15,201.57,548.58,0.0,548.58,39.94,27.47,27.47,9.54,47.79,10.43,100.0,52.21
2013-09-30,5696.46,29.75,5726.21,4114.48,0.0,-18.95,228.99,286.91,568.99,545.79,115.46,661.25,2.96,658.29,0.0,658.29,176.88,481.41,0.0,481.41,39.94,24.11,24.11,12.0,60.08,7.97,100.0,39.92
2013-12-31,6845.91,30.87,6876.78,4978.67,0.0,20.27,243.86,273.24,736.01,624.73,95.68,720.41,2.98,717.43,0.0,717.43,192.77,524.66,0.0,524.66,39.94,26.27,26.27,12.0,60.08,7.97,100.0,39.92
2014-03-31,6455.7,57.26,6512.96,4658.09,0.0,21.72,235.69,272.84,703.29,621.33,122.98,744.31,2.93,741.38,0.0,741.38,186.95,554.43,0.0,554.43,39.94,27.76,27.76,12.0,60.08,7.97,100.0,39.72
2014-06-30,6999.4,37.44,7036.84,5056.31,0.0,54.85,267.81,291.52,710.67,655.68,112.75,768.43,2.98,765.45,0.0,765.45,202.69,562.76,0.0,562.76,39.94,28.18,28.18,12.0,60.08,7.97,100.0,39.92
2014-09-30,6863.5,51.84,6915.34,5005.44,0.0,-34.68,284.98,74.96,724.78,859.86,193.51,1053.37,4.94,1048.43,0.0,1048.43,285.06,763.37,0.0,763.37,39.94,38.23,38.23,12.0,60.08,7.97,100.0,39.92
2014-12-31,6792.51,46.74,6839.25,4961.29,0.0,-58.89,316.11,83.75,798.95,738.04,93.6,831.64,2.42,829.22,0.0,829.22,246.24,582.98,0.0,582.98,39.94,29.19,29.19,12.0,60.08,7.97,100.0,39.92
2015-03-31,6695.19,98.68,6793.87,4760.84,0.0,8.75,303.97,89.74,881.94,748.63,92.88,841.51,0.75,840.76,-155.04,685.72,209.19,476.53,0.0,476.53,39.94,23.86,23.86,13.05,65.36,6.92,100.0,34.64
2015-06-30,6805.13,99.63,6904.76,4869.43,0.0,-58.9,312.98,102.96,739.25,939.04,104.39,1043.43,1.21,1042.22,0.0,1042.22,294.68,747.54,0.0,747.54,39.94,37.44,37.44,13.05,65.36,6.92,100.0,34.64
2015-09-30,6715.76,93.5,6809.26,4630.17,0.0,36.02,308.41,109.05,739.08,986.53,111.52,1098.05,1.23,1096.82,0.0,1096.82,310.7,786.12,0.0,786.12,39.94,39.37,39.37,0.0,0.0,0.0,0.0,0.0
2015-12-31,7102.03,121.48,7223.51,4921.28,0.0,-37.97,343.08,113.94,866.31,1016.87,90.2,1107.07,1.23,1105.84,0.0,1105.84,312.61,793.23,0.0,793.23,39.94,39.72,39.72,0.0,0.0,0.0,0.0,0.0
2016-03-31,7505.17,0.0,7505.17,4900.84,0.0,62.73,351.47,114.74,1000.95,1074.44,116.76,1191.2,1.22,1189.98,0.0,1189.98,356.69,833.29,0.0,833.29,39.94,41.73,41.73,0.0,0.0,0.0,0.0,0.0
2016-06-30,7398.91,0.0,7398.91,5033.66,0.0,-68.25,336.19,115.24,867.23,1114.84,120.38,1235.22,1.5,1233.72,0.0,1233.72,350.62,883.1,0.0,883.1,39.94,44.22,44.22,0.0,0.0,0.0,0.0,0.0
2016-09-30,7669.53,126.75,7796.28,5119.06,0.0,64.19,357.48,119.25,886.68,1249.62,152.36,1401.98,1.55,1400.43,0.0,1400.43,396.21,1004.22,0.0,1004.22,39.94,50.29,50.29,0.0,0.0,0.0,0.0,0.0
2016-12-31,6245.9,118.7,6364.6,4227.2,0.0,-99.22,374.27,124.85,782.61,954.89,131.93,1086.82,1.52,1085.3,0.0,1085.3,313.25,772.05,0.0,772.05,39.94,38.66,38.66,0.0,0.0,0.0,0.0,0.0
2017-03-31,6915.2,0.0,6915.2,4568.72,0.0,167.4,328.07,135.3,893.45,822.26,118.23,940.49,1.48,939.01,0.0,939.01,221.26,717.75,-3.56,714.19,39.94,35.94,35.94,0.0,0.0,0.0,0.0,0.0
2017-06-30,7971.58,0.0,7971.58,5466.79,0.0,-72.7,373.67,132.95,907.91,1162.96,131.7,1294.66,1.58,1293.08,0.0,1293.08,379.04,914.04,0.0,914.04,39.94,45.77,45.77,0.0,0.0,0.0,0.0,0.0
2017-09-30,8361.99,0.0,8361.99,5625.83,0.0,72.23,383.66,136.03,824.57,1319.67,117.6,1437.27,1.56,1435.71,0.0,1435.71,425.22,1010.49,0.0,1010.49,39.94,50.6,50.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,7305.49,0.0,7305.49,5016.73,0.0,-94.71,401.94,138.28,823.54,1019.71,110.02,1129.73,1.57,1128.16,0.0,1128.16,322.73,805.43,0.0,805.43,39.94,40.33,40.33,0.0,0.0,0.0,0.0,0.0
2018-03-31,8564.04,0.0,8564.04,5721.05,0.0,72.03,380.86,148.34,1019.51,1222.25,166.5,1388.75,1.54,1387.21,0.0,1387.21,419.81,967.4,0.0,967.4,39.94,48.44,48.44,0.0,0.0,0.0,0.0,0.0
2018-06-30,8809.82,0.0,8809.82,6131.69,0.0,33.3,413.12,148.17,854.42,1229.12,115.73,1344.85,2.11,1342.74,0.0,1342.74,433.57,909.17,0.0,909.17,39.94,45.52,45.52,0.0,0.0,0.0,0.0,0.0
2018-09-30,9090.94,0.0,9090.94,6403.82,0.0,-104.14,434.13,151.78,978.42,1226.93,223.66,1450.59,2.14,1448.45,0.0,1448.45,472.17,976.28,0.0,976.28,39.94,48.88,48.88,0.0,0.0,0.0,0.0,0.0
2018-12-31,7864.82,0.0,7864.82,5475.0,0.0,-60.48,435.71,151.83,909.82,952.94,187.64,1140.58,2.16,1138.42,0.0,1138.42,369.32,769.1,0.0,769.1,39.94,38.52,38.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,7884.96,0.0,7884.96,5335.59,0.0,102.94,447.28,150.23,929.83,919.09,164.22,1083.31,2.19,1081.12,0.0,1081.12,350.8,730.32,0.0,730.32,39.95,36.57,36.57,0.0,0.0,0.0,0.0,0.0
2019-06-30,8030.27,0.0,8030.27,5671.74,0.0,-79.82,467.67,236.1,812.69,921.89,218.83,1140.72,4.37,1136.35,737.48,1873.83,616.49,1257.34,0.0,1257.34,39.95,62.95,62.95,0.0,0.0,0.0,0.0,0.0
2019-09-30,7570.7,0.0,7570.7,5378.71,0.0,-252.97,468.88,203.43,874.96,897.69,207.83,1105.52,7.67,1097.85,-60.11,1037.74,162.94,874.8,0.0,874.8,39.95,43.8,43.8,0.0,0.0,0.0,0.0,0.0
2019-12-31,6996.73,0.0,6996.73,4756.82,0.0,-97.02,469.73,203.73,828.23,835.24,182.21,1017.45,5.92,1011.53,0.0,1011.53,131.12,880.41,0.0,880.41,39.95,44.08,44.08,0.0,0.0,0.0,0.0,0.0
2020-03-31,6238.39,0.0,6238.39,4059.92,0.0,260.03,435.42,174.7,823.14,485.18,169.47,654.65,4.06,650.59,0.0,650.59,29.88,620.71,0.0,620.71,39.95,31.08,31.08,0.0,0.0,0.0,0.0,0.0
2020-06-30,2971.54,0.0,2971.54,1871.45,0.0,222.48,382.37,170.76,387.19,-62.71,148.46,85.75,6.26,79.49,0.0,79.49,18.18,61.31,0.0,61.31,39.95,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2020-09-30,9367.34,0.0,9367.34,6689.09,0.0,-29.14,511.24,173.15,909.74,1113.26,141.33,1254.59,4.64,1249.95,0.0,1249.95,296.5,953.45,0.0,953.45,39.95,47.73,47.73,0.0,0.0,0.0,0.0,0.0
2020-12-31,9775.77,0.0,9775.77,6983.14,0.0,-91.96,516.67,169.84,954.29,1243.79,202.68,1446.47,4.65,1441.82,0.0,1441.82,357.35,1084.47,0.0,1084.47,39.95,54.29,54.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,8685.97,0.0,8685.97,6331.65,30.46,-244.84,488.44,163.12,869.11,1048.03,87.38,1135.41,6.29,1129.12,0.0,1129.12,264.15,864.97,0.0,864.97,39.96,43.3,43.28,0.0,0.0,0.0,0.0,0.0
2021-06-30,5487.07,0.0,5487.07,4134.72,14.42,-169.53,435.67,162.98,556.96,351.85,138.59,490.44,6.09,484.35,0.0,484.35,118.91,365.44,0.0,365.44,39.96,18.29,18.29,0.0,0.0,0.0,0.0,0.0
2021-09-30,8453.4,0.0,8453.4,6069.65,13.83,26.88,505.44,163.87,771.24,902.49,156.93,1059.42,6.54,1052.88,0.0,1052.88,258.48,794.4,0.0,794.4,39.96,39.76,39.75,0.0,0.0,0.0,0.0,0.0
2021-12-31,7883.27,0.0,7883.27,5545.1,17.07,32.15,518.0,164.44,810.94,795.57,121.63,917.2,6.51,910.69,0.0,910.69,224.56,686.13,0.0,686.13,39.96,34.34,34.33,0.0,0.0,0.0,0.0,0.0
2022-03-31,7421.73,0.0,7421.73,4958.6,0.63,183.21,476.33,158.46,975.39,669.11,139.76,808.87,6.66,802.21,0.0,802.21,175.16,627.05,0.0,627.05,39.96,31.38,31.37,0.0,0.0,0.0,0.0,0.0
2022-06-30,8392.54,0.0,8392.54,6078.11,13.58,15.69,538.18,162.99,806.2,777.79,52.99,830.78,6.98,823.8,0.0,823.8,199.28,624.52,0.0,624.52,39.96,31.25,31.25,0.0,0.0,0.0,0.0,0.0
2022-09-30,9075.35,0.0,9075.35,6516.65,0.99,12.49,549.01,163.39,957.9,874.92,92.05,966.97,3.31,963.66,0.0,963.66,247.59,716.07,0.0,716.07,39.96,35.84,35.79,0.0,0.0,0.0,0.0,0.0
