Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,19.68,0.0,19.68,295.83,295.83,315.51,73.03,34.54,0.0,0.0,107.56,4.88,76.46,8.05,25.41,114.79,537.87,184.43,0.0,10.31,0.0,194.74,66.95,0.78,0.0,2.56,265.03,0.0,62.94,78.19,62.47,69.24,0.0,272.84,537.87,135.21,0.0,121.35,4.52,395.0,2.58,9.48,0.0,66.95,0.0,0.0,0.0,5.82,0.0,10.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,39.36,0.0,39.36,684.89,684.89,724.25,15.46,50.63,0.0,0.0,66.08,1.11,71.85,13.74,96.59,183.28,973.62,271.94,0.0,15.52,0.0,287.45,345.96,1.43,0.0,0.21,635.05,0.0,159.42,146.66,9.96,22.52,0.0,338.57,973.62,96.68,0.0,127.98,13.05,693.68,1.97,29.16,0.0,345.96,0.0,0.0,0.0,133.7,0.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,39.36,0.0,39.36,1044.76,1044.76,1084.13,9.62,50.0,0.0,0.0,59.62,0.21,101.27,21.71,137.97,261.15,1404.9,283.73,0.0,45.32,0.0,329.05,516.16,2.2,0.0,0.0,847.41,0.0,279.46,217.18,31.14,29.7,0.0,557.48,1404.89,159.37,0.0,122.3,70.26,1165.36,3.1,29.16,0.0,516.16,0.0,0.0,0.0,261.28,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,39.36,0.0,39.36,1467.0,1467.0,1506.36,0.0,56.13,0.0,0.0,56.13,0.0,90.79,16.94,129.55,237.27,1799.76,382.91,0.0,15.94,0.0,398.85,867.81,4.03,0.0,0.0,1270.69,0.0,255.01,227.14,14.43,32.5,0.0,529.07,1799.76,207.92,0.0,67.43,80.3,1393.95,1.13,29.16,0.0,867.81,0.0,0.0,0.0,204.62,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,39.36,0.0,39.36,2751.77,2751.77,2791.13,0.0,57.48,0.0,0.0,57.48,0.0,132.91,29.59,177.35,339.85,3188.46,398.09,0.0,15.85,0.0,413.94,2000.44,3.98,0.0,0.0,2418.36,0.0,263.52,443.07,13.16,50.35,0.0,770.1,3188.46,740.14,0.0,53.98,80.59,2851.18,1.78,29.16,0.0,2000.44,0.0,0.0,0.0,187.03,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,78.72,0.0,78.72,4439.06,4439.06,4517.78,0.0,61.87,0.0,0.0,61.87,1.91,285.92,28.01,239.32,555.16,5134.81,458.0,0.0,48.19,0.0,506.19,3019.68,9.34,0.0,0.0,3535.21,0.0,231.7,256.73,12.17,1099.0,0.0,1599.6,5134.81,1734.52,0.0,352.5,60.44,4077.69,5.38,68.52,0.0,3019.68,0.0,0.0,0.0,166.65,0.0,14.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,83.1,0.0,83.1,7125.61,7125.61,7208.71,1916.19,63.78,0.0,0.0,1979.97,9.61,595.93,109.12,375.03,1089.69,10278.37,512.15,0.0,68.01,0.0,580.16,5478.64,4.58,0.0,0.0,6063.38,0.0,408.66,278.46,2377.41,1111.19,39.27,4214.99,10278.37,2200.12,0.0,858.84,94.05,4027.77,8.73,68.52,0.0,5478.64,0.0,0.0,0.0,357.89,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,86.91,0.0,86.91,11501.9,11501.9,11588.81,968.01,63.1,77.51,4.33,1112.95,3.31,877.16,216.03,399.52,1496.02,14197.78,741.86,18.01,504.54,0.0,1264.41,1713.27,0.0,152.98,0.0,3130.66,7750.54,636.1,506.88,891.32,1268.16,14.12,11067.12,14197.78,319.16,0.0,970.5,155.71,6258.93,22.18,68.52,0.0,1713.27,0.0,7831.44,0.0,509.7,17.21,111.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,86.91,0.0,86.91,12826.28,12826.28,12913.19,1109.07,85.1,2.7,4.88,1201.75,2490.06,737.4,293.8,201.9,3723.16,17838.1,983.14,9.85,681.0,0.0,1673.99,14224.87,0.0,141.25,0.0,16040.11,195.75,757.29,462.19,72.01,310.75,0.0,1797.99,17838.1,145.29,0.0,750.22,263.51,5121.42,17.25,68.52,11724.58,2297.61,0.0,195.75,0.0,697.22,13.92,27.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,86.91,0.0,86.91,12936.88,12936.88,13023.79,1179.16,10.4,2.32,1.81,1193.69,3322.38,470.2,242.92,34.46,4069.96,18287.44,1468.57,86.02,363.3,0.0,1917.89,14598.82,0.0,421.93,0.0,16938.64,127.7,756.02,140.44,24.88,289.34,10.42,1348.8,18287.44,5365.64,0.0,348.26,95.82,1212.59,5.89,68.52,9566.82,2671.56,0.0,127.7,0.0,351.84,20.57,111.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
