Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,3222.44,73.61,3296.05,1880.98,302.59,215.76,263.8,98.41,298.83,235.68,23.87,259.54,103.64,155.91,0.0,155.91,13.31,142.6,142.6,266.07,0.54,0.54,130.42,49.02,111.94,82.52,42.07
2012-12-31,2322.5,58.01,2380.51,1646.42,308.94,-244.74,261.71,93.11,305.87,9.2,14.1,23.3,107.11,-83.81,156.26,72.45,-1.69,74.14,74.14,266.07,0.28,0.28,130.42,49.02,111.94,82.52,42.07
2013-03-31,3648.41,80.05,3728.46,1963.33,447.01,414.18,282.14,100.01,423.49,98.29,11.52,109.82,82.77,27.05,134.36,161.41,11.38,150.03,150.03,266.07,0.58,0.58,130.42,49.02,111.94,82.52,42.07
2013-06-30,2313.21,50.6,2363.81,1539.85,282.28,-38.44,258.19,95.17,298.68,-71.92,12.26,-59.66,100.68,-160.34,-6.51,-166.85,-25.1,-141.75,-141.75,266.07,-0.53,-0.53,130.42,49.02,88.23,65.05,33.16
2013-09-30,2498.28,51.34,2549.62,1456.7,311.8,177.22,254.57,90.08,293.06,-33.81,23.12,-10.7,124.41,-135.11,43.76,-91.35,-66.3,-25.05,-25.05,266.07,-0.09,-0.09,130.42,49.02,88.23,65.05,33.16
2013-12-31,1903.28,49.93,1953.21,1055.65,370.24,130.94,239.62,88.33,253.67,-185.24,15.41,-169.83,115.26,-285.09,92.32,-192.77,-25.56,-167.21,-167.21,266.07,-0.63,-0.63,124.35,46.73,94.31,66.55,35.45
2014-03-31,3020.96,55.82,3076.78,1857.5,304.7,154.16,247.29,103.45,329.19,80.49,15.74,96.23,112.57,-16.34,376.09,359.75,-3.64,363.39,363.39,266.07,1.37,1.37,122.68,46.11,95.97,66.93,36.07
2014-06-30,2434.62,43.18,2477.8,1714.84,273.14,-172.09,283.14,103.32,262.7,12.77,23.12,35.89,106.34,-70.45,0.0,-70.45,-22.5,-47.95,-47.95,266.07,-0.18,-0.18,122.68,46.11,95.97,66.93,36.07
2014-09-30,3150.37,67.31,3217.68,2057.42,400.0,-89.23,291.5,103.08,323.59,131.31,25.7,157.01,100.75,56.26,108.97,165.24,44.55,120.69,120.69,284.59,0.42,0.42,141.2,49.62,95.97,66.93,33.72
2014-12-31,3290.62,70.37,3361.0,2036.42,266.22,200.54,277.04,99.86,342.63,138.29,19.32,157.61,98.22,59.39,0.0,59.39,27.3,32.09,32.09,284.59,0.11,0.11,141.2,49.62,95.97,66.93,33.72
2015-03-31,4435.53,70.17,4505.7,2817.96,451.83,8.16,332.33,110.08,438.33,347.02,37.25,384.26,88.21,296.05,-8.04,288.02,58.04,229.97,229.97,284.59,0.81,0.81,141.2,49.62,129.36,90.22,45.46
2015-06-30,3775.3,107.83,3883.13,2549.24,354.94,-246.96,328.71,113.77,504.7,278.73,7.83,286.57,70.12,216.45,0.0,216.45,71.95,144.5,144.5,284.59,0.51,0.51,141.2,49.62,129.36,90.22,45.46
2015-09-30,4878.81,88.37,4967.18,3258.54,445.83,-243.08,376.32,123.11,505.56,500.91,37.49,538.4,63.05,475.35,-157.0,318.35,146.14,172.21,172.21,284.59,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2015-12-31,4029.46,84.38,4113.84,2612.66,511.6,-248.77,347.48,119.42,441.61,329.84,28.08,357.91,60.32,297.59,-5.0,292.59,78.89,213.7,213.7,284.59,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2016-03-31,5973.16,0.0,5973.16,3677.56,218.85,309.8,332.55,131.6,650.89,651.91,54.6,706.52,54.15,652.37,-653.22,-0.86,139.96,-140.81,-140.81,284.59,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2016-06-30,4175.79,83.05,4258.84,2728.39,356.94,-154.82,358.13,120.97,493.93,355.3,93.95,449.25,33.82,415.42,0.0,415.42,124.64,290.78,290.78,284.59,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2016-09-30,4503.17,119.24,4622.41,2566.77,411.16,155.74,369.2,126.11,583.04,410.38,38.18,448.56,33.92,414.63,0.0,414.63,120.22,294.41,294.41,284.59,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2016-12-31,4335.15,95.75,4430.9,3409.38,385.0,-660.69,361.6,119.28,481.33,335.0,-40.19,294.81,31.13,263.68,0.0,263.68,77.81,185.88,185.88,284.59,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2017-03-31,6617.89,0.0,6617.89,4356.58,454.55,-50.78,411.82,139.48,715.81,590.43,63.23,653.65,42.3,611.35,-350.85,260.51,-215.66,476.17,476.17,284.59,1.63,1.63,0.0,0.0,0.0,0.0,0.0
2017-06-30,4237.78,0.0,4237.78,2495.83,435.23,11.42,437.64,132.13,551.6,173.94,38.41,212.35,36.63,175.72,-15.24,160.48,49.24,111.24,111.24,292.65,0.38,0.38,0.0,0.0,0.0,0.0,0.0
