Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,145.84,145.84,45.42,4.5,0.0,37.8,58.12,-1.77,56.36,0.0,56.36,0.0,56.36,8.62,47.73,47.73,29.58,16.28,15.82,1.37,46.22,1.59,100.0,53.78
2013-03-31,145.87,145.87,46.52,4.06,0.0,37.27,58.01,-6.21,51.8,0.0,51.8,0.0,51.8,10.13,41.67,41.67,29.87,14.17,13.82,1.4,46.74,1.59,100.0,53.26
2013-06-30,158.01,158.01,50.45,3.39,0.0,38.74,65.43,10.2,75.63,0.0,75.63,0.0,75.63,15.66,59.96,59.96,29.95,20.05,19.83,1.4,46.87,1.59,100.0,53.13
2013-09-30,183.48,183.48,55.7,3.44,0.0,45.34,79.0,0.65,79.65,0.0,79.65,0.0,79.65,15.65,64.0,64.0,30.09,21.34,21.08,1.42,47.12,1.59,100.0,52.88
2013-12-31,186.32,186.32,57.33,3.73,0.0,53.17,72.09,4.49,76.58,0.0,76.58,0.0,76.58,15.27,61.31,61.31,30.05,20.43,19.99,1.41,47.05,1.59,100.0,52.95
2014-03-31,185.58,185.58,51.75,3.77,0.0,53.31,76.75,0.42,77.17,0.0,77.17,0.0,77.17,15.94,61.23,61.23,30.18,20.39,19.83,1.43,47.27,1.59,100.0,52.73
2014-06-30,189.02,189.02,63.85,5.49,0.0,56.77,62.9,0.94,63.84,0.0,63.84,0.0,63.84,12.82,51.02,51.02,30.29,16.89,16.55,1.44,47.47,1.59,100.0,52.53
2014-09-30,201.78,201.78,69.39,6.86,0.0,61.61,63.93,10.12,74.05,0.0,74.05,0.0,74.05,15.34,58.71,58.71,30.3,19.38,18.97,1.44,47.5,1.59,100.0,52.5
2014-12-31,211.92,211.92,72.97,7.33,0.0,70.17,61.44,11.36,72.8,0.0,72.8,0.0,72.8,15.42,57.39,57.39,30.34,18.96,18.55,1.44,47.56,1.59,100.0,52.44
2015-03-31,215.62,215.62,76.48,8.88,0.0,80.31,49.95,9.39,59.34,0.0,59.34,0.0,59.34,10.69,48.65,48.65,30.35,16.06,15.7,1.44,47.58,1.59,100.0,52.42
2015-06-30,247.11,247.11,93.25,7.44,0.0,75.3,71.11,18.25,89.36,0.0,89.36,0.0,89.36,23.66,65.7,65.7,30.39,21.63,21.27,1.45,47.65,1.59,100.0,52.35
2015-09-30,269.52,269.52,98.24,9.4,0.0,70.86,91.01,8.75,99.76,0.0,99.76,-25.91,73.85,21.18,52.68,52.68,30.46,17.32,16.98,1.45,47.76,1.59,100.0,52.24
2015-12-31,290.24,290.24,98.87,10.14,0.0,83.1,98.13,3.9,102.04,0.0,102.04,0.0,102.04,21.61,80.43,80.43,40.72,19.8,19.39,0.0,0.0,0.0,0.0,0.0
2016-03-31,298.85,298.85,90.27,10.42,0.0,77.95,120.21,5.08,125.29,0.0,125.29,0.0,125.29,26.46,98.84,98.84,40.79,24.31,23.78,0.0,0.0,0.0,0.0,0.0
2016-06-30,298.36,298.36,99.49,8.42,0.0,83.84,106.61,9.82,116.43,0.0,116.43,0.0,116.43,24.97,91.45,91.45,40.83,22.41,22.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,291.48,291.48,98.1,9.18,0.0,75.35,108.85,4.55,113.4,0.0,113.4,-7.93,105.47,18.84,86.63,86.63,40.88,21.22,20.95,0.0,0.0,0.0,0.0,0.0
2016-12-31,284.78,284.78,97.63,9.36,0.0,87.56,90.24,11.55,101.79,0.0,101.79,0.0,101.79,16.71,85.08,85.08,39.71,20.85,20.6,0.0,0.0,0.0,0.0,0.0
2017-03-31,287.4,287.4,99.35,9.46,49.24,50.1,79.26,2.56,81.82,0.0,81.82,-0.11,81.71,13.71,67.99,67.99,39.78,17.1,16.94,0.0,0.0,0.0,0.0,0.0
2017-06-30,288.95,288.95,106.66,6.9,54.66,40.13,80.61,9.75,90.36,0.0,90.36,0.0,90.36,17.74,72.62,72.62,39.84,18.24,18.15,0.0,0.0,0.0,0.0,0.0
2017-09-30,279.47,279.47,108.15,7.48,45.8,37.73,80.32,15.36,95.68,0.0,95.68,20.38,116.07,29.6,86.47,86.47,39.88,21.69,21.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,286.83,286.83,106.99,7.72,46.73,42.56,82.82,1.77,84.59,0.0,84.59,0.0,84.59,20.13,64.47,64.47,39.92,16.16,16.07,0.0,0.0,0.0,0.0,0.0
2018-03-31,288.77,288.77,115.32,7.5,64.63,48.73,52.6,16.94,69.54,0.0,69.54,0.88,70.42,15.86,54.56,54.56,38.63,13.76,13.68,0.0,0.0,0.0,0.0,0.0
2018-06-30,281.87,281.87,116.38,5.17,62.39,43.05,54.88,21.23,76.11,0.0,76.11,0.0,76.11,23.93,52.18,52.18,38.66,13.5,13.45,0.0,0.0,0.0,0.0,0.0
2018-09-30,284.85,284.85,115.45,5.82,60.78,43.61,59.18,21.87,81.05,0.0,81.05,0.0,81.05,19.19,61.87,61.87,38.69,16.0,15.97,0.0,0.0,0.0,0.0,0.0
2018-12-31,280.39,280.39,115.99,7.28,54.23,49.69,53.19,0.4,53.59,0.0,53.59,0.0,53.59,14.46,39.13,39.13,38.69,10.11,10.1,0.0,0.0,0.0,0.0,0.0
2019-03-31,292.7,292.7,113.58,7.88,61.79,48.18,61.28,12.34,73.62,0.0,73.62,0.0,73.62,17.18,56.44,56.44,38.71,14.58,14.56,0.0,0.0,0.0,0.0,0.0
2019-06-30,277.67,277.67,124.0,10.98,65.35,40.65,36.69,11.56,48.25,4.01,44.24,0.0,44.24,10.41,33.83,33.83,36.98,8.77,8.76,0.0,0.0,0.0,0.0,0.0
2019-09-30,275.89,275.89,121.44,11.24,61.37,34.43,47.42,10.27,57.69,4.46,53.23,-44.49,8.73,16.76,-8.03,-8.03,36.98,-2.17,-2.17,0.0,0.0,0.0,0.0,0.0
2019-12-31,288.37,288.37,117.5,11.0,59.64,36.28,63.96,12.35,76.3,4.53,71.77,0.0,71.77,17.73,54.04,54.04,36.98,14.61,14.61,0.0,0.0,0.0,0.0,0.0
2020-03-31,278.24,278.24,121.56,11.37,59.18,38.37,47.75,19.83,67.58,4.66,62.92,-4.35,58.58,14.85,43.73,43.73,36.98,11.82,11.82,0.0,0.0,0.0,0.0,0.0
2020-06-30,271.66,271.66,113.17,10.83,51.57,35.27,60.81,14.22,75.03,4.67,70.36,0.0,70.36,20.29,50.07,50.07,36.98,13.54,13.54,0.0,0.0,0.0,0.0,0.0
2020-09-30,287.09,287.09,116.78,13.01,0.0,87.91,69.39,7.17,76.56,4.71,71.85,0.0,71.85,18.49,53.37,53.37,34.89,15.13,15.1,0.0,0.0,0.0,0.0,0.0
2020-12-31,309.13,309.13,124.95,13.1,0.0,100.21,70.87,10.38,81.25,4.59,76.66,0.0,76.66,19.54,57.12,57.12,34.89,16.37,16.29,0.0,0.0,0.0,0.0,0.0
