Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-12-31,22.41,22.41,8.5,-3.57,13.28,1.47,3.73,-1.0,0.54,-0.46,3.86,-4.32,-4.32,0.08,-4.4,-4.4,1.7,0.0,-5.18,-0.94
2021-03-31,157.06,157.06,26.44,22.62,13.51,1.36,5.79,87.34,0.53,87.87,3.19,84.68,84.68,18.72,65.96,65.96,1.7,206.23,14.11,14.11
2021-06-30,37.23,37.23,7.97,-4.42,13.65,1.42,3.08,15.53,0.18,15.71,1.94,13.77,13.77,3.28,10.49,10.49,10.38,0.0,2.02,0.0
2021-09-30,59.24,59.24,18.25,-0.77,14.48,1.59,6.24,19.45,0.55,20.0,2.87,17.13,17.13,4.23,12.9,12.9,9.35,0.0,2.76,2.76
2021-12-31,43.84,43.84,12.76,-7.43,17.05,1.73,5.87,13.86,0.7,14.56,2.65,11.91,11.91,2.95,8.96,8.96,10.38,0.0,1.91,1.91
2022-03-31,170.54,170.54,52.61,7.1,17.17,1.89,6.2,85.57,2.53,88.1,3.53,84.57,84.57,22.95,61.62,61.62,10.38,564.13,12.77,12.77
2022-06-30,68.38,68.38,28.31,-4.15,17.5,1.98,5.47,19.27,1.7,20.97,1.55,19.42,19.42,5.16,14.26,14.26,10.38,578.08,2.75,2.75
2022-09-30,88.16,88.16,46.65,-15.68,19.14,2.13,7.89,28.03,1.85,29.88,1.22,28.66,28.66,7.61,21.05,21.05,10.38,0.0,4.06,1.06
2022-12-31,111.81,111.81,45.32,-7.7,18.49,2.11,8.66,44.93,1.85,46.78,2.14,44.64,44.64,11.32,33.32,33.32,10.38,0.0,6.42,6.42
2023-03-31,185.1,185.1,73.85,4.29,24.37,2.22,9.23,71.14,3.81,74.95,2.81,72.14,72.14,16.78,55.36,55.36,11.2,0.0,10.49,10.49
2023-06-30,89.69,89.69,40.24,-6.38,21.89,2.84,6.09,25.0,11.61,36.61,1.72,34.89,34.89,9.05,25.84,25.84,11.2,0.0,4.61,4.61
2023-09-30,108.31,108.31,48.36,-14.79,25.7,3.07,8.28,37.69,10.84,48.53,2.26,46.27,46.27,12.48,33.79,33.79,11.2,0.0,6.03,6.03
2023-12-31,139.51,139.51,41.51,3.56,26.22,3.3,8.18,56.74,11.3,68.04,2.32,65.72,65.72,14.75,50.97,50.97,11.2,0.0,9.1,9.1
2024-03-31,182.29,182.29,50.71,0.46,26.51,6.95,11.59,86.07,12.28,98.35,3.03,95.32,95.32,24.22,71.1,71.1,11.2,0.0,12.7,12.7
2024-06-30,104.08,104.08,41.51,-12.67,28.75,3.09,9.31,34.09,12.31,46.4,2.95,43.45,43.45,10.66,32.79,32.79,11.2,0.0,5.86,5.86
2024-09-30,91.02,91.02,49.59,-27.71,26.6,3.48,8.24,30.82,12.04,42.86,2.83,40.03,40.03,9.75,30.28,30.28,11.2,0.0,5.41,5.41
2024-12-31,117.04,117.04,78.51,-55.45,29.17,3.47,10.78,50.56,11.37,61.93,3.18,58.75,58.75,14.09,44.66,44.66,11.2,0.0,7.97,7.97
2025-03-31,396.21,396.21,181.66,20.66,29.54,3.88,14.86,145.61,10.62,156.23,3.12,153.11,153.11,39.03,114.08,114.08,11.2,0.0,20.38,20.38
