Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Intangible Assets Under Development,Current Investments,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,354.77,354.77,-303.78,-303.78,50.99,619.43,0.0,0.0,619.43,154.7,169.86,171.92,14.25,510.72,1181.15,661.62,0.0,7.98,0.0,669.6,0.55,0.0,0.0,30.92,701.06,196.86,228.15,24.66,30.41,0.0,480.09,1181.15,89.44,142.73,0.0,0.0,0.07,0.39,38.22,0.14,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,354.77,354.77,-505.25,-505.25,-150.47,690.8,0.0,0.0,690.8,176.57,163.52,111.62,16.4,468.11,1008.43,569.41,0.0,4.51,0.0,573.92,0.55,0.0,0.0,25.95,600.41,228.89,99.97,22.78,56.38,0.0,408.02,1008.43,90.15,192.8,0.0,0.0,0.0,0.6,128.38,0.01,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,354.77,354.77,-269.63,-269.63,85.14,52.01,0.0,0.0,52.01,238.47,235.47,135.4,19.4,628.74,1058.19,508.26,0.0,5.15,0.0,513.41,0.55,0.0,0.0,1.66,515.61,259.97,148.17,34.63,99.81,0.0,542.58,1058.19,72.64,286.73,0.0,0.0,0.0,0.65,63.4,0.0,0.0,0.54,0.0,0.0,0.0,292.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,354.77,354.77,-394.4,-394.4,-39.63,181.37,0.0,0.0,181.37,333.46,246.3,144.68,22.83,747.27,1181.31,447.63,0.0,12.68,0.0,460.31,0.55,0.0,0.0,0.15,461.01,346.16,192.34,77.82,100.86,3.12,720.3,1181.31,89.4,334.83,0.0,0.0,0.0,0.15,111.17,0.0,0.0,0.54,0.0,0.0,0.0,292.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,354.77,354.77,-394.26,-394.26,-39.49,178.41,0.0,0.0,178.41,290.06,99.76,154.39,35.97,580.17,1011.39,424.2,0.0,9.08,0.0,433.28,0.55,0.0,0.0,0.1,433.92,318.44,75.85,67.46,112.57,3.13,577.46,1011.39,1809.18,461.33,0.0,0.0,3.96,0.54,32.45,0.0,0.0,0.54,0.0,0.0,0.0,292.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,354.77,354.77,-351.35,-351.35,3.42,179.4,0.0,0.0,179.4,630.44,87.19,264.04,40.98,1022.64,1497.76,386.06,0.0,6.87,0.0,392.93,281.31,0.0,0.0,0.0,674.23,412.6,271.37,22.42,113.65,3.49,823.53,1497.76,1819.82,983.34,0.0,0.0,0.0,0.19,36.33,0.0,240.27,15.54,0.0,0.0,0.0,292.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,647.07,647.07,-455.22,-455.22,191.85,252.2,0.0,0.0,252.2,826.66,378.09,193.82,99.54,1498.12,1942.16,353.43,10.07,16.42,0.0,379.92,281.3,0.0,0.0,0.0,661.22,575.84,509.79,28.18,163.17,3.96,1280.95,1942.16,17.92,930.43,0.0,0.0,0.05,0.21,92.16,0.0,236.58,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,647.07,647.07,-504.59,-504.59,142.49,220.23,5.22,163.78,389.23,652.18,316.8,233.27,39.32,1241.57,1773.29,308.54,7.37,8.7,0.0,324.73,15.54,0.0,0.76,5.05,346.08,613.75,48.46,55.23,177.21,409.71,1427.21,1773.29,1900.32,770.69,1.48,0.0,0.63,1.74,134.17,0.27,0.0,15.54,122.86,0.11,122.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,647.07,647.07,-484.82,-484.82,162.25,218.03,0.0,177.4,395.43,438.58,535.37,326.66,47.79,1348.4,1906.08,271.92,5.62,23.03,0.0,300.57,18.23,0.0,2.12,5.55,326.47,759.62,11.25,70.17,184.36,554.2,1579.6,1906.08,1907.65,1129.23,1.94,0.0,0.02,2.8,153.89,0.0,0.0,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,647.07,647.07,-838.82,-838.82,-191.75,218.03,0.0,187.35,405.39,708.62,321.74,398.7,56.81,1485.86,1699.5,239.85,3.51,53.13,0.0,296.48,21.36,0.0,6.22,12.31,336.37,674.45,8.26,32.37,154.03,494.02,1363.13,1699.5,1920.24,706.01,7.66,75.3,2.37,1.39,39.52,0.0,0.0,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
