Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,712.4,6.74,719.14,504.23,35.25,-122.46,136.06,65.85,10.26,82.84,7.11,0.22,7.33,33.59,-26.26,0.0,-26.26,0.0,-26.26,-26.26,647.07,-0.41,-0.41,0.67,1.04,64.04,100.0,98.96
2012-12-31,676.72,0.76,677.48,399.63,51.84,33.09,86.96,70.25,11.46,67.24,-42.99,2.0,-40.99,38.82,-79.81,0.0,-79.81,0.0,-79.81,-79.81,647.07,-1.23,-1.23,0.67,1.04,64.04,100.0,98.96
2013-03-31,405.6,3.34,408.94,178.87,30.89,167.82,35.17,46.16,12.76,33.75,-96.48,0.34,-96.14,47.99,-144.13,0.39,-143.74,0.0,-143.74,-143.74,647.07,-2.22,-2.22,0.67,1.04,64.04,100.0,98.96
2013-06-30,303.66,3.31,306.97,192.45,5.42,34.26,29.03,61.15,10.95,45.79,-72.08,1.64,-70.44,29.45,-99.89,0.0,-99.89,0.0,-99.89,-99.89,647.07,-1.54,-1.54,0.67,1.04,64.04,100.0,98.96
2013-09-30,708.72,4.04,712.76,507.58,2.48,-20.36,97.06,63.29,10.99,82.23,-30.51,1.61,-28.9,54.2,-83.1,0.0,-83.1,0.0,-83.1,-83.1,647.07,-1.28,-1.28,6.47,10.0,58.24,100.0,90.0
2013-12-31,799.15,7.51,806.66,504.95,4.53,-10.56,88.46,66.24,10.74,86.45,55.85,1.64,57.49,42.22,15.27,0.0,15.27,0.0,15.27,15.27,647.07,0.24,0.24,6.47,10.0,58.24,100.0,90.0
2014-03-31,501.69,-3.51,498.18,319.92,54.87,-37.01,44.7,66.82,12.58,65.3,-29.0,-2.28,-31.28,65.97,-97.25,0.0,-97.25,0.0,-97.25,-97.25,647.07,-1.5,-1.5,6.47,10.0,58.24,100.0,90.0
2014-06-30,390.07,3.18,393.25,250.32,0.36,26.38,25.04,63.92,12.03,57.02,-41.82,1.17,-40.65,47.4,-88.05,0.0,-88.05,0.0,-88.05,-88.05,647.07,-1.36,-1.36,6.47,10.0,58.24,100.0,90.0
2014-09-30,558.25,4.78,563.03,314.52,69.43,36.98,31.28,66.89,-1.49,72.72,-27.3,0.85,-26.45,49.92,-76.37,8.8,-67.57,0.0,-67.57,-67.57,647.07,-1.04,-1.04,6.47,10.0,58.24,100.0,90.0
2014-12-31,552.83,5.41,558.24,413.03,0.57,13.27,33.85,65.95,3.9,91.06,-63.39,2.24,-61.15,46.92,-108.07,0.16,-107.91,0.0,-107.91,-107.91,647.07,-1.67,-1.67,6.47,10.0,58.24,100.0,90.0
2015-03-31,472.79,4.02,476.81,417.38,-1.08,-77.22,58.59,66.01,5.77,60.39,-53.03,1.74,-51.29,52.05,-103.34,-33.03,-136.37,0.0,-136.37,-136.37,647.07,-2.11,-2.11,6.47,10.0,58.24,100.0,90.0
