Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Long Term Borrowings,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,85.0,85.0,3622.74,3646.46,3731.46,105.07,5.76,20.38,131.21,652.96,248.52,192.47,1093.95,4956.62,976.83,21.19,50.98,0.0,1049.0,1594.6,0.0,64.19,1.2,2708.99,372.41,1185.57,516.64,119.95,53.06,0.0,2247.63,4956.62,0.0,20.78,66.46,170.0,1.76,54.15,27.8,1568.38,0.0,372.41,0.0,668.31,20.17,2.05,43.36,23.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,85.0,85.0,3946.99,3969.58,4054.58,125.92,5.09,27.92,158.93,647.87,272.79,250.9,1189.11,5402.62,1069.96,20.2,100.17,0.0,1190.33,1755.02,0.0,128.75,1.29,3075.39,140.65,1522.76,555.03,29.82,78.97,0.0,2327.23,5402.62,0.0,23.91,86.01,246.06,1.69,54.15,26.8,1728.8,0.0,140.65,17.55,725.93,18.28,28.33,102.68,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,85.0,85.0,4426.43,4426.43,4511.43,126.95,4.99,35.49,167.43,744.9,413.44,198.69,1459.54,6138.4,1242.44,22.97,185.81,0.0,1451.22,1769.97,0.0,12.43,60.17,3293.79,927.87,1133.51,603.94,73.83,10.33,95.13,2844.61,6138.4,0.0,26.97,89.92,232.38,2.01,54.15,21.16,1748.81,0.0,927.87,102.51,485.24,22.32,1.97,198.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,85.0,85.0,4878.59,4878.59,4963.59,155.18,5.8,42.54,203.52,767.85,448.28,222.13,1608.49,6775.6,1524.5,21.5,141.36,0.0,1687.36,1768.46,0.0,13.03,156.37,3625.22,905.48,1527.37,621.65,19.57,10.46,65.85,3150.38,6775.6,0.0,0.0,0.0,0.0,0.0,54.15,20.68,1747.78,10.03,895.45,170.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,85.0,85.0,5304.31,5304.31,5389.31,140.5,6.98,46.45,193.93,1078.71,502.07,232.86,1813.64,7396.88,1934.97,23.36,233.5,0.0,2191.83,1765.11,0.0,12.62,175.35,4144.91,203.89,1760.15,943.39,87.19,14.58,242.77,3251.97,7396.88,0.0,903.2,0.0,0.0,371.64,54.15,18.49,1746.62,10.03,193.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,85.0,85.0,5901.99,5901.99,5986.99,175.14,7.05,45.16,227.35,1142.79,546.82,268.47,1958.08,8172.42,2265.97,31.3,254.93,0.0,2552.2,1945.48,0.0,18.18,184.59,4700.45,253.91,1803.97,1081.04,73.55,13.98,245.52,3471.97,8172.42,987.38,1313.55,0.0,0.0,577.87,54.15,15.81,1929.67,10.03,243.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,85.0,85.0,6211.11,6211.11,6296.11,101.86,36.08,63.78,201.72,1030.32,417.51,296.42,1744.25,8242.08,2302.92,36.47,296.88,34.23,2670.5,2052.07,0.0,17.19,162.82,4902.58,18.73,2192.27,815.3,154.59,14.98,143.63,3339.5,8242.08,559.17,1045.83,0.0,0.0,576.79,54.15,7.35,2044.72,10.02,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,85.0,85.0,6808.51,6808.51,6893.51,77.05,289.68,53.68,420.41,1641.61,402.51,270.73,2314.85,9628.77,2601.79,36.06,200.75,33.77,2872.37,2176.09,0.0,23.64,161.78,5233.88,882.54,2346.19,887.37,91.35,14.65,172.79,4394.89,9628.77,789.26,983.88,0.0,0.0,645.11,54.15,14.04,2162.05,0.0,882.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,85.0,85.0,10520.58,10520.58,10605.58,0.0,284.02,55.32,339.34,1609.67,524.79,263.77,2398.23,13343.15,2732.95,35.63,312.37,33.06,3114.01,5340.64,58.37,0.0,107.58,8620.6,702.79,2458.48,1192.42,161.22,0.01,207.63,4722.55,13343.15,597.0,1091.18,0.0,0.0,1070.45,54.15,4692.99,647.65,0.0,702.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,85.0,85.0,11124.75,11124.75,11209.75,0.0,283.97,58.15,342.12,1525.94,693.13,280.1,2499.17,14051.04,2824.51,25.74,100.93,0.0,2951.18,5788.23,115.98,0.0,110.63,8966.02,553.12,2989.08,1274.14,74.48,0.0,194.2,5085.02,14051.04,308.58,1189.53,0.0,0.0,1061.72,54.15,4351.25,1436.98,0.0,553.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,85.0,85.0,13052.24,13052.24,13137.24,0.0,409.69,60.2,469.89,2309.64,631.75,317.82,3259.21,16866.34,2845.52,19.72,201.7,0.0,3066.94,8369.88,13.65,0.0,114.35,11564.82,250.67,3249.34,1264.41,222.67,100.0,214.43,5301.52,16866.34,520.99,1141.1,0.0,0.0,1155.85,54.15,5522.32,2847.56,0.0,250.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,85.0,85.0,14357.34,14357.34,14442.34,0.0,400.02,74.78,474.8,2831.19,677.2,393.56,3901.95,18819.09,2860.8,15.14,137.54,0.0,3013.48,9830.56,0.0,0.0,60.63,12904.67,141.37,3827.43,1576.59,115.88,0.0,253.15,5914.42,18819.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
