Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Long Term Borrowings,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,71.22,71.22,263.7,325.34,396.56,63.98,0.0,0.0,203.51,167.77,8.72,33.4,269.33,869.39,474.99,1.0,1.51,0.0,477.5,19.87,6.48,0.0,0.0,503.85,0.0,212.33,132.35,1.26,19.61,0.0,365.55,869.39,32.24,7.23,7.48,49.0,0.0,54.15,0.0,19.87,0.0,0.0,59.44,167.12,0.0,0.0,21.39,61.64,139.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,75.0,75.0,354.09,410.06,485.06,61.57,0.0,0.0,185.04,166.2,3.91,50.21,387.04,1057.14,479.46,1.0,3.79,0.0,484.25,111.62,2.87,0.0,0.0,598.74,0.0,227.58,164.36,36.19,30.27,0.0,458.41,1057.14,18.88,6.7,15.27,56.33,0.62,54.15,0.0,111.62,0.0,0.0,166.72,257.31,0.0,0.0,18.65,55.97,123.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,75.0,75.0,429.16,478.94,553.94,56.14,0.0,0.0,289.72,210.79,7.84,62.95,337.85,1181.51,450.24,1.0,6.21,0.0,457.45,278.53,5.04,0.0,0.0,741.02,0.0,241.72,152.84,17.37,28.56,0.0,440.49,1181.51,10.36,8.41,10.65,69.4,0.64,54.15,0.0,278.53,0.0,0.0,56.27,330.74,0.0,0.0,6.91,49.78,233.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,75.0,75.0,552.98,595.47,670.47,56.68,0.0,0.0,303.51,310.7,12.41,84.12,485.11,1459.09,464.83,1.0,31.01,0.0,496.84,378.01,12.03,0.0,0.0,886.88,0.0,396.61,148.39,1.42,25.79,0.0,572.21,1459.09,34.88,9.13,12.51,82.39,1.3,54.15,0.0,378.01,0.0,0.0,77.87,462.96,0.0,0.0,30.68,42.48,246.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,80.0,80.0,909.45,946.35,1026.35,60.22,0.0,0.0,337.63,454.57,12.49,105.39,644.86,2008.84,554.11,1.0,46.67,0.0,601.77,518.28,12.32,0.0,0.0,1132.37,0.0,570.74,259.21,1.68,44.84,0.0,876.47,2008.84,2.03,10.79,15.25,135.97,1.05,54.15,0.0,518.28,0.0,0.0,72.4,559.03,0.0,0.0,58.78,36.9,277.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,80.0,80.0,1137.75,1170.35,1250.35,65.16,0.0,0.0,302.72,334.27,46.46,105.91,566.26,2119.33,667.0,1.0,17.31,0.0,685.31,668.18,23.96,0.0,0.0,1377.45,0.0,438.47,231.02,33.71,38.68,0.0,741.88,2119.33,9.96,9.41,31.28,120.05,1.64,54.15,55.21,613.18,0.0,0.0,79.62,635.96,0.0,0.0,82.58,32.6,237.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,85.0,85.0,2104.51,2134.77,2219.77,66.37,0.0,0.0,156.19,438.23,56.1,98.54,593.04,2969.0,675.68,1.0,37.76,0.0,714.44,1335.37,7.37,0.0,0.0,2057.18,0.0,606.77,254.58,2.88,47.59,0.0,911.82,2969.0,59.75,9.61,31.28,107.56,1.18,54.15,625.6,706.22,0.0,0.0,0.17,530.07,0.0,0.0,25.34,30.26,89.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,85.0,85.0,2630.25,2657.45,2742.45,67.5,3.27,46.48,117.25,483.51,174.05,89.68,747.3,3607.0,835.22,0.62,47.48,0.0,883.32,874.78,0.0,31.2,0.31,1789.61,503.2,858.94,366.22,14.74,63.47,10.82,1817.39,3607.0,0.0,11.8,50.83,139.02,1.75,54.15,10.67,848.56,25.24,477.96,0.06,539.42,15.91,46.69,93.05,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,85.0,85.0,2946.64,2972.32,3057.32,82.5,4.14,54.24,140.88,576.51,209.29,110.37,896.17,4094.37,954.75,11.8,26.64,0.0,993.19,906.55,0.0,17.51,0.89,1918.14,648.07,968.12,402.3,57.67,95.65,4.42,2176.23,4094.37,0.0,12.81,58.65,184.98,8.53,54.15,17.99,880.33,100.99,548.07,0.0,724.78,12.62,2.28,91.5,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,85.0,85.0,3313.87,3338.59,3423.59,97.65,7.14,20.59,125.38,560.41,262.5,176.47,999.38,4548.35,977.57,16.84,58.77,0.0,1053.18,1459.4,0.0,51.62,1.45,2565.65,180.73,1167.1,509.19,74.79,48.2,2.69,1982.7,4548.35,0.0,17.73,62.55,157.32,4.17,54.15,29.42,1433.18,0.0,180.73,0.0,745.77,21.07,12.41,56.56,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
