Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,293.45,293.45,0.0,119.63,5.01,21.92,29.88,53.55,63.46,16.97,80.43,10.21,70.22,70.22,8.61,61.61,61.61,132.77,2.32,2.32
2021-03-31,317.96,317.96,0.0,131.07,12.18,29.35,29.89,57.15,58.32,10.03,68.35,12.47,55.88,55.88,11.07,44.81,44.81,132.77,1.69,1.69
2021-06-30,126.15,126.15,0.0,84.91,-32.02,22.49,31.43,34.62,-15.27,15.87,0.59,11.24,-10.65,-10.65,-0.39,-10.26,-10.26,132.77,-0.39,0.0
2021-09-30,314.34,314.34,0.0,152.63,-17.8,27.84,33.53,60.13,58.01,17.33,75.34,12.24,63.1,63.1,12.89,50.21,50.21,132.77,1.89,1.89
2021-12-31,476.05,476.05,0.0,244.03,-51.19,31.86,34.26,84.11,132.97,11.93,144.9,12.31,132.58,132.58,32.44,100.15,100.15,135.75,3.76,3.75
2022-03-31,395.87,395.87,0.0,202.44,-33.43,33.85,34.61,64.64,93.76,13.26,107.02,14.52,92.5,92.5,24.96,67.54,67.54,135.75,2.52,2.52
2022-06-30,497.23,497.23,0.0,258.0,-58.94,37.83,38.91,79.44,141.99,9.16,151.15,13.44,137.71,137.71,34.54,103.17,103.17,135.75,3.8,3.79
2022-09-30,463.29,463.29,0.0,285.57,-88.89,40.95,41.32,82.61,101.73,11.64,113.37,14.82,98.55,98.55,24.78,73.77,73.77,135.78,2.72,2.71
2022-12-31,577.29,577.29,0.0,274.86,-41.98,46.04,49.04,94.45,154.88,14.88,169.76,16.53,153.23,153.23,38.6,114.63,114.63,135.86,4.22,4.2
2023-03-31,514.03,514.03,0.0,198.59,21.4,46.43,45.95,95.11,106.55,19.07,125.62,16.81,108.81,108.81,27.2,81.61,81.61,135.87,3.0,2.99
2023-06-30,555.57,555.57,0.0,323.51,-101.25,47.62,50.34,91.27,144.07,16.14,160.21,17.83,142.38,142.38,36.19,106.2,106.2,135.87,3.91,3.89
2023-09-30,532.01,532.01,200.14,28.21,0.0,49.97,53.61,93.02,107.06,18.18,125.24,19.35,105.89,105.89,26.43,79.46,79.46,135.87,2.92,2.91
2023-12-31,616.39,616.39,0.0,307.39,-62.94,55.77,56.24,106.93,153.0,16.45,169.45,20.33,149.12,149.12,37.93,111.2,111.2,135.93,4.09,4.07
2024-03-31,577.58,577.58,0.0,203.24,42.83,56.38,57.64,109.05,108.44,24.7,133.14,20.31,112.83,112.83,-51.74,164.57,164.57,135.96,6.05,6.03
2024-06-30,563.22,563.22,0.0,201.25,24.19,56.7,59.73,100.58,120.77,22.98,143.74,20.78,122.97,122.97,30.62,92.35,92.35,135.96,3.4,3.38
2024-09-30,566.73,566.73,0.0,275.74,-20.65,56.84,62.13,105.74,86.93,22.49,109.42,21.78,87.64,87.64,21.97,65.67,65.67,135.97,2.41,2.4
2024-12-31,687.86,687.86,0.0,261.52,20.03,60.19,65.3,122.18,158.64,22.56,181.2,23.47,157.73,157.73,63.61,94.12,94.12,136.03,3.46,3.45
