Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,243.28,5.25,248.53,156.36,6.37,12.83,20.73,17.03,4.54,18.74,11.92,0.66,12.58,1.01,11.57,-0.95,10.62,3.45,7.17,7.17,10.45,6.86,6.86,0.46,44.07,0.58,100.0,55.93
2012-12-31,249.16,2.91,252.07,168.91,11.27,-5.71,23.7,13.55,4.68,22.54,13.12,0.33,13.46,2.85,10.61,0.0,10.61,1.48,9.13,9.13,10.45,8.73,8.73,0.46,44.07,0.58,100.0,55.93
2013-03-31,305.08,5.45,310.53,195.85,21.8,9.17,24.68,16.54,4.98,21.74,15.76,0.24,16.0,2.57,13.44,0.0,13.44,4.02,9.42,9.42,10.45,9.0,9.0,0.46,44.07,0.58,100.0,55.93
2013-06-30,257.98,3.74,261.72,172.41,9.36,-10.45,24.05,19.48,6.75,29.52,10.59,0.36,10.96,5.52,5.44,0.0,5.44,1.79,3.64,3.64,10.45,3.48,3.48,0.46,44.07,0.58,100.0,55.93
2013-09-30,310.92,3.66,314.58,211.0,0.0,-6.63,31.04,20.95,7.43,33.04,17.76,0.42,18.18,7.47,10.71,0.0,10.71,3.24,7.48,7.48,10.45,0.72,0.72,0.45,43.44,0.59,100.0,56.56
2013-12-31,333.82,4.62,338.44,227.47,1.87,-6.63,26.83,23.39,7.51,34.49,23.53,0.27,23.8,7.03,16.77,0.0,16.77,5.42,11.35,11.35,10.45,1.09,1.09,0.45,43.44,0.59,100.0,56.56
2014-03-31,354.65,5.96,360.61,237.67,6.91,-11.23,28.66,23.44,7.97,36.94,30.25,0.71,30.96,5.73,25.23,0.0,25.23,9.37,15.86,15.86,10.45,15.16,15.16,0.45,43.44,0.59,100.0,56.56
2014-06-30,320.13,4.52,324.65,207.68,0.81,8.94,28.71,24.45,8.57,26.21,19.29,0.33,19.62,7.19,12.44,0.0,12.44,2.76,9.67,9.67,20.91,0.93,0.93,4.54,43.44,5.91,100.0,56.56
2014-09-30,359.67,4.05,363.72,255.74,1.26,-24.21,31.56,25.95,9.01,34.55,29.85,0.29,30.13,10.05,20.08,0.0,20.08,4.28,15.81,15.81,20.91,1.51,1.51,4.54,43.44,5.91,100.0,56.56
2014-12-31,302.01,4.32,306.34,195.1,0.0,-2.62,28.51,25.38,9.22,24.93,25.8,0.26,26.06,11.09,14.97,0.0,14.97,2.24,12.73,12.73,20.91,1.22,1.22,4.54,43.44,5.91,100.0,56.56
2015-03-31,330.06,2.42,332.48,184.93,0.0,29.42,27.14,24.31,9.21,29.34,28.13,0.2,28.33,8.08,20.25,0.0,20.25,5.02,15.23,15.23,20.91,1.46,1.46,4.47,42.72,5.99,100.0,57.28
2015-06-30,336.37,1.95,338.32,217.27,0.0,-11.22,31.19,27.81,9.49,35.31,28.49,0.2,28.69,10.02,18.67,0.0,18.67,5.31,13.36,13.36,20.91,1.28,1.28,4.47,42.72,5.99,100.0,57.28
2015-09-30,334.45,3.53,337.98,204.06,0.0,0.56,31.55,29.65,9.8,31.33,31.02,0.3,31.32,10.58,20.74,0.0,20.74,5.96,14.78,14.78,20.91,1.41,1.41,4.47,42.72,5.99,100.0,57.28
2015-12-31,313.7,4.97,318.67,189.46,0.0,-6.79,27.86,29.24,9.9,37.65,31.36,0.25,31.61,9.07,22.54,0.0,22.54,6.09,16.45,16.45,20.91,1.57,1.57,0.0,0.0,0.0,0.0,0.0
2016-03-31,335.83,4.92,340.75,185.5,0.0,10.9,27.55,29.39,10.27,40.78,36.36,0.79,37.15,7.78,29.38,0.0,29.38,8.81,20.56,20.56,23.26,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2016-06-30,310.13,3.57,313.7,190.13,0.0,-9.64,26.76,32.02,10.51,35.37,28.53,2.29,30.82,8.37,22.44,70.77,93.22,25.36,67.86,67.86,23.26,5.84,5.84,0.0,0.0,0.0,0.0,0.0
