Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,5.75,5.75,66.27,68.31,74.06,15.98,0.0,0.0,79.06,38.4,31.84,7.28,17.48,95.0,248.35,116.08,0.0,6.46,122.54,1.56,0.0,1.37,125.48,0.0,39.37,44.63,2.45,31.95,4.48,122.87,248.35,6.88,1.29,105.1,0.0,1.98,0.36,1.34,2.03,63.08,0.0,24.01,0.0,0.53,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.98,5.98,71.18,73.11,79.09,18.36,0.0,0.0,84.94,63.89,41.36,7.53,19.26,132.04,296.07,129.08,0.0,3.39,132.47,1.56,0.0,0.12,134.16,0.0,45.73,73.16,5.15,34.8,3.07,161.91,296.07,18.26,2.6,132.76,0.0,1.98,0.38,1.34,1.93,66.57,0.0,24.38,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.98,5.98,81.22,83.07,89.06,19.42,0.0,0.0,99.52,53.83,22.91,6.55,8.25,91.54,281.15,132.79,0.0,3.61,136.4,1.56,0.0,4.33,142.29,0.0,46.12,58.68,3.97,27.85,2.25,138.86,281.15,14.41,3.61,164.76,0.0,1.98,0.39,1.34,1.85,80.1,0.0,62.36,0.0,0.87,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,8.96,8.96,154.44,156.22,165.18,21.69,0.0,0.0,100.83,91.31,60.43,8.72,9.68,170.14,436.16,176.52,2.34,2.64,181.49,2.09,0.0,2.71,186.29,0.0,65.92,109.17,6.05,59.07,9.66,249.87,436.16,12.46,1.52,177.9,0.0,1.98,0.37,1.86,1.78,79.14,0.0,83.03,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,8.96,8.96,156.96,158.68,167.65,23.49,0.0,0.0,95.42,63.09,47.27,13.34,5.61,129.32,392.39,163.15,2.34,2.68,168.16,2.09,0.0,0.69,173.8,0.0,64.23,95.31,6.55,41.81,10.69,218.58,392.39,15.41,3.83,202.56,0.0,1.98,0.49,1.86,1.72,71.93,0.0,95.39,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,8.96,8.96,179.99,181.67,190.64,21.9,0.0,0.0,78.26,33.19,42.85,4.97,9.58,90.58,359.48,162.34,2.34,7.73,172.41,1.33,0.0,0.0,177.76,0.0,64.2,68.37,3.88,36.55,8.72,181.72,359.48,23.46,2.77,300.99,0.0,1.98,0.36,1.11,1.68,56.35,0.0,79.97,0.0,0.09,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.45,10.45,207.32,208.98,219.44,22.78,0.0,0.0,88.96,26.38,73.23,7.88,11.28,118.77,427.17,163.74,2.34,1.97,168.04,27.33,0.0,0.0,200.11,0.0,63.96,102.25,5.18,46.02,9.65,227.06,427.17,5.45,4.86,245.91,0.0,1.98,26.95,1.11,1.67,66.18,0.0,32.42,0.0,0.24,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.45,10.45,225.82,227.46,237.91,16.08,1.75,3.12,52.96,13.62,64.71,37.79,8.23,124.35,415.21,161.63,1.23,7.09,169.94,1.33,23.27,0.0,194.55,0.0,59.07,127.98,5.87,27.41,0.32,220.67,415.21,13.29,5.07,276.31,0.0,1.98,1.36,1.11,1.64,32.01,0.0,69.43,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.45,10.45,240.8,242.32,252.78,16.8,2.02,3.12,243.42,24.97,132.17,40.19,8.03,205.36,701.56,179.93,1.39,101.67,282.99,1.33,45.85,0.27,330.44,0.0,85.44,157.49,93.54,33.67,0.98,371.12,701.56,38.83,15.25,346.39,0.0,1.98,1.12,1.11,1.52,221.48,0.0,139.37,0.16,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.45,10.45,268.78,270.14,280.6,23.35,2.18,3.62,268.49,70.74,204.21,54.21,10.44,339.6,888.68,324.28,1.14,117.55,442.97,1.33,0.0,22.06,466.36,0.0,104.36,242.25,9.5,63.43,2.78,422.32,888.68,42.76,20.61,443.42,0.0,1.98,0.99,1.11,1.37,239.34,0.0,224.39,1.21,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
