Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,129.51,27.42,156.94,0.0,59.97,13.77,18.96,36.69,27.55,2.14,29.7,21.12,8.58,0.0,8.58,1.95,6.63,0.0,6.63,112.25,0.0,0.59,0.59,4.76,42.42,6.46,100.0,57.58
2013-03-31,270.01,28.6,298.61,0.0,31.92,21.88,18.67,173.54,52.6,0.77,53.37,19.48,33.89,0.0,33.89,5.5,28.39,0.0,28.39,112.25,1095.86,2.53,2.53,4.76,42.42,6.46,100.0,57.58
2013-06-30,120.34,34.86,155.2,0.0,15.72,12.07,18.65,82.62,26.14,2.07,28.21,17.53,10.68,0.0,10.68,4.01,6.67,0.0,6.67,112.25,0.0,0.59,0.59,4.76,42.42,6.46,100.0,57.58
2013-09-30,135.21,36.35,171.56,0.0,21.35,18.02,19.29,84.9,28.0,9.27,37.27,19.81,17.46,0.0,17.46,1.25,16.21,2.81,19.02,112.25,0.0,1.69,1.69,4.75,42.33,6.47,100.0,57.67
2013-12-31,143.14,38.83,181.97,0.0,25.03,14.84,20.04,77.96,44.1,1.51,45.61,19.06,26.55,0.0,26.55,11.71,14.84,0.02,14.86,112.25,0.0,1.32,1.32,4.75,42.33,6.47,100.0,57.67
2014-03-31,345.11,41.4,386.51,0.0,20.5,20.87,19.69,255.35,70.1,7.68,77.78,12.4,65.38,0.0,65.38,16.21,49.17,0.08,49.25,112.25,0.0,4.39,4.38,4.75,42.33,6.47,100.0,57.67
2014-06-30,121.71,40.67,162.38,0.0,-0.98,16.01,22.33,105.19,19.83,5.85,25.68,14.23,11.45,0.0,11.45,4.05,7.4,-0.01,7.39,112.25,0.0,0.66,0.66,4.75,42.33,6.47,100.0,57.67
2014-09-30,276.35,49.02,325.37,44.06,14.41,23.97,24.94,154.06,63.93,3.81,67.74,27.96,39.78,0.0,39.78,18.27,21.51,0.0,21.51,112.25,0.0,1.92,1.89,4.75,42.33,6.47,100.0,57.67
2014-12-31,187.84,9.9,197.74,22.17,-136.0,18.6,25.92,234.41,32.64,5.9,38.54,28.31,10.23,0.0,10.23,-1.12,11.35,0.0,11.35,112.65,0.0,1.01,1.0,4.79,42.54,6.47,100.0,57.46
2015-03-31,294.5,7.36,301.86,39.45,-70.57,26.68,19.08,212.79,74.43,5.1,79.53,32.33,47.2,0.0,47.2,17.46,29.74,0.0,29.74,112.74,0.0,2.65,2.62,4.8,42.58,6.47,100.0,57.42
