Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,Trade/Other Goods,Capital Goods,Employees Stock Options,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,3.59,3.59,22.29,22.29,25.88,31.07,0.0,0.0,31.07,0.0,0.0,66.7,2.19,68.89,125.83,17.73,0.0,10.9,0.0,28.63,0.83,0.0,0.0,29.57,0.0,37.72,3.07,1.41,54.06,0.0,96.26,125.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.77,10.77,32.28,32.28,43.04,109.27,0.0,0.0,109.27,0.0,0.0,189.88,4.7,194.58,346.89,36.27,0.0,18.21,0.0,54.48,0.46,0.0,0.0,56.02,0.0,212.89,9.77,12.73,55.48,0.0,290.87,346.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,26.92,26.92,51.67,51.67,78.59,102.52,0.0,0.0,102.52,0.0,50.81,205.29,6.41,262.51,443.62,209.87,0.0,43.1,0.0,252.97,1.8,0.0,0.0,255.21,0.0,90.01,5.3,19.63,73.47,0.0,188.41,443.62,0.16,2.74,8.36,23.83,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,26.92,26.92,120.27,120.27,147.19,240.2,0.0,0.0,240.2,0.0,105.67,186.49,35.4,327.56,714.95,75.87,0.0,47.79,0.0,123.66,1.54,0.0,0.0,126.88,0.0,398.44,16.95,17.5,155.18,0.0,588.08,714.95,293.4,4.64,16.33,23.83,0.02,1.53,0.0,2.57,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,112.25,112.25,815.39,815.39,927.65,297.49,0.0,0.0,297.49,0.0,138.97,173.42,60.56,372.95,1598.09,74.23,0.0,404.35,0.0,478.59,405.22,0.0,29.89,915.21,0.0,302.25,2.0,11.96,366.67,0.0,682.88,1598.09,845.44,6.09,17.62,67.29,404.67,1.54,0.0,2.5,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,112.25,112.25,882.67,882.67,994.92,428.6,0.0,0.0,428.6,0.0,139.34,146.52,34.17,320.02,1743.55,122.26,1.79,664.53,0.0,788.59,34.78,0.0,24.3,849.19,0.0,484.88,6.0,36.02,367.45,0.0,894.36,1743.55,744.88,25.75,6.01,67.29,524.5,34.77,0.0,22.16,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,112.25,112.25,913.14,913.14,1025.39,654.74,0.0,0.0,654.74,0.0,158.87,124.54,24.49,307.9,1988.02,150.06,2.28,898.16,0.0,1050.51,14.67,0.0,16.2,1082.65,0.0,509.53,4.35,30.67,360.82,0.0,905.37,1988.02,555.94,14.21,2.27,67.29,0.0,14.67,0.0,10.65,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,112.25,112.25,1012.78,1012.78,1125.03,575.61,23.19,53.8,674.93,0.0,99.75,482.54,0.0,582.29,2382.24,351.2,6.42,820.18,0.0,1177.8,19.7,347.77,170.95,1716.22,0.0,484.48,11.61,35.9,122.0,12.04,666.03,2382.24,319.39,2.86,11.39,67.29,0.0,26.35,22.33,0.0,46.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,112.25,112.25,1050.31,1050.31,1162.56,683.47,20.19,122.45,829.98,9.98,111.21,488.46,54.37,664.02,2656.55,440.42,8.53,925.0,0.0,1373.94,20.65,370.95,154.45,1919.99,0.0,507.56,33.17,39.31,155.39,1.12,736.56,2656.55,742.64,2.21,4.57,67.29,0.0,27.34,3.87,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,112.25,112.25,1095.85,1095.85,1208.1,779.58,26.46,96.08,902.54,29.74,78.2,496.12,37.65,641.71,2752.35,984.75,7.91,356.23,0.0,1348.89,92.29,350.51,3.36,1795.05,0.0,602.98,15.57,35.07,301.5,2.18,957.3,2752.35,1053.44,11.86,69.96,67.29,0.0,92.29,0.42,0.0,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,112.25,112.25,1159.45,1159.45,1272.98,634.91,35.5,104.29,776.95,16.39,96.15,742.23,50.8,905.57,2955.5,1160.53,7.37,187.93,0.0,1355.83,133.0,307.38,3.37,1799.58,0.0,712.45,35.01,40.53,366.96,0.97,1155.92,2955.5,396.83,11.25,42.39,67.29,0.0,133.0,2.25,0.0,0.64,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,112.74,112.74,1203.81,1203.81,1316.55,556.63,36.49,41.84,635.42,9.59,248.01,1320.82,32.33,1610.75,3562.72,1085.61,1.4,377.17,0.0,1464.18,192.15,645.39,75.21,2376.93,0.0,977.89,16.15,22.41,86.62,82.72,1185.79,3562.72,641.28,17.44,66.27,67.29,0.0,192.15,0.46,0.0,29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,113.18,113.18,1330.59,1330.59,1443.77,974.95,36.02,57.68,1069.33,3.12,342.41,1489.2,18.25,1852.98,4366.08,1139.57,1.73,422.54,0.0,1563.84,557.71,630.19,77.08,2828.82,0.0,1283.03,45.86,30.31,94.48,83.58,1537.26,4366.08,216.33,17.97,76.27,67.29,0.0,557.71,0.68,34.89,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,113.66,113.66,1580.61,1580.61,1694.27,858.62,86.68,41.83,987.13,88.24,358.79,1587.84,5.18,2040.05,4721.45,27.17,1.34,249.79,946.91,1225.21,827.07,251.58,524.68,2828.54,0.0,1525.74,55.55,42.71,8.76,260.15,1892.91,4721.45,0.0,16.01,73.45,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,136.07,136.07,2192.03,2192.03,2328.1,1318.82,101.66,45.02,1465.5,237.91,403.36,1316.58,5.04,1962.89,5756.49,30.51,1.03,432.27,983.45,1447.26,1186.83,368.71,561.05,3563.85,165.69,1475.93,148.07,44.46,21.87,336.62,2192.64,5756.49,111.61,2.63,0.71,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,136.18,136.18,2170.87,2170.87,2307.05,1586.06,38.52,51.2,1675.78,54.71,380.91,3035.23,6.1,3476.95,7459.78,25.94,1.03,179.25,1252.7,1458.92,1477.53,366.69,186.42,3489.56,20.2,3048.41,358.59,111.94,165.56,265.52,3970.22,7459.78,449.51,3.98,1.94,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,204.38,204.38,2339.15,2339.15,2543.53,1510.54,52.4,55.36,1618.3,13.6,299.94,3184.02,6.49,3504.05,7665.88,25.8,0.99,74.65,1378.2,1479.64,1776.6,453.9,197.26,3907.4,16.2,2975.69,282.88,137.43,3.48,342.8,3758.48,7665.88,2208.56,9.6,0.22,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,210.91,210.91,2566.38,2566.38,2777.29,1423.27,39.07,45.59,1507.93,68.1,315.7,3434.73,4.82,3823.35,8108.57,23.62,1.27,3.98,1360.31,1389.18,1999.55,383.04,152.43,3924.2,51.29,3069.78,324.72,185.28,224.35,328.95,4184.37,8108.57,1187.22,3.9,0.2,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,230.26,230.26,3334.25,3334.25,3564.51,1392.01,89.0,38.99,1520.0,237.86,356.82,3110.47,4.95,3710.1,8794.61,22.2,1.01,3.28,1386.69,1413.18,2135.46,541.84,159.69,4250.17,459.8,2973.19,279.55,289.3,162.93,379.67,4544.44,8794.61,1183.34,6.48,0.26,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,230.73,230.73,3698.29,3698.29,3929.02,1298.08,102.09,38.2,1438.37,126.79,358.53,3282.76,6.57,3774.65,9142.04,23.12,0.81,16.18,1341.12,1381.23,2291.27,603.0,145.05,4420.55,56.18,3362.58,252.04,598.53,141.92,310.24,4721.49,9142.04,1013.79,6.06,0.55,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,231.1,231.1,3989.23,3989.23,4220.33,1667.63,98.23,42.75,1808.61,78.43,346.07,4088.1,6.38,4518.98,10547.92,26.33,0.27,669.95,1313.56,2010.11,2496.7,677.95,187.48,5372.24,47.05,3955.91,225.21,657.79,99.42,190.3,5175.68,10547.92,1326.1,10.55,0.94,67.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
