Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,39.6,39.6,612.09,612.09,651.69,26.61,0.0,0.0,26.97,20.78,191.88,7.32,77.41,297.38,976.04,172.55,0.0,5.29,0.0,0.0,177.84,324.99,0.0,519.84,0.0,169.96,223.14,7.05,0.0,456.2,976.04,39.05,17.54,60.59,222.47,4.93,38.1,116.07,221.84,0.0,0.0,0.0,56.04,149.34,0.0,0.0,0.55,0.36,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,39.6,39.6,659.29,659.29,698.89,22.94,0.0,0.0,23.13,31.08,216.6,9.94,80.86,338.48,1060.5,152.55,21.43,3.63,0.0,0.0,177.62,216.2,0.0,410.32,0.0,239.41,294.55,1.78,0.0,650.18,1060.5,50.72,45.48,40.39,396.32,6.07,38.1,137.72,112.87,0.0,0.0,0.0,114.45,234.79,0.0,0.0,2.05,0.19,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,39.6,39.6,744.68,744.68,784.28,20.03,0.0,0.0,20.18,8.59,247.72,7.11,87.15,350.57,1155.04,131.63,21.43,9.02,0.0,0.0,162.08,248.89,0.0,429.25,0.0,233.41,361.4,5.63,0.0,725.79,1155.04,55.92,31.5,40.39,531.25,13.65,38.1,110.11,159.55,0.0,0.0,0.0,125.35,283.73,0.0,0.0,0.3,0.16,18.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,39.6,39.6,889.95,889.95,929.55,16.57,0.0,0.0,16.69,2.41,281.22,25.63,121.93,431.19,1377.43,126.36,21.43,33.86,0.0,0.0,181.65,282.58,0.0,490.69,0.0,281.44,418.52,38.85,0.0,886.75,1377.43,56.5,47.59,40.39,605.04,14.7,38.1,156.71,203.85,0.0,0.0,0.0,147.93,326.18,0.0,0.0,6.13,0.12,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,39.6,39.6,1064.09,1064.09,1103.69,17.59,0.0,0.0,17.68,28.72,470.47,31.66,145.83,676.68,1798.04,193.67,30.42,30.76,0.0,0.0,254.85,432.15,0.0,717.96,0.0,321.46,550.45,12.3,0.0,1080.08,1798.04,75.93,58.33,40.39,723.87,18.18,38.1,134.14,355.65,0.0,0.0,0.0,195.87,373.79,0.0,0.0,8.07,0.09,30.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,39.6,39.6,1355.05,1355.05,1394.65,21.55,0.0,0.0,21.59,21.2,538.71,60.63,173.17,793.7,2209.94,220.38,30.62,58.01,0.0,0.0,309.02,399.27,0.0,752.9,0.0,467.97,682.1,32.32,0.0,1457.04,2209.94,103.51,69.09,90.88,1312.9,29.58,38.1,65.75,354.17,0.0,0.0,0.0,274.64,586.22,0.0,0.0,26.11,0.04,44.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,39.6,39.6,1521.4,1521.4,1561.0,32.95,0.0,0.0,32.97,8.62,455.27,62.5,263.42,789.82,2383.78,263.58,30.85,39.22,0.0,0.0,333.66,732.92,0.0,1116.52,0.0,409.67,522.9,55.93,0.0,1267.26,2383.78,122.42,46.33,86.84,488.33,19.3,38.1,117.05,699.63,0.0,0.0,0.0,278.76,315.73,0.0,0.0,30.53,0.01,49.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,39.6,39.6,1766.67,1766.67,1806.27,0.0,19.79,100.48,120.27,0.0,569.43,110.84,258.85,939.12,2865.66,348.25,8.12,64.67,0.0,0.0,421.04,58.65,0.0,688.3,666.81,518.96,718.16,103.73,1.98,2177.36,2865.66,168.53,94.17,131.28,1060.43,29.32,38.1,153.11,25.35,0.0,666.81,189.88,167.72,120.84,1.0,436.83,20.12,0.0,18.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,55.44,55.44,1987.71,1987.71,2043.15,0.0,14.7,98.7,113.4,0.0,518.56,151.65,274.93,945.14,3101.69,458.95,5.96,49.67,0.0,0.0,514.58,75.51,0.0,939.98,522.04,567.61,678.34,223.5,4.97,2161.71,3101.69,640.17,102.07,151.47,1190.76,45.4,53.94,143.33,46.35,3.96,517.9,342.94,165.25,57.65,1.12,394.28,14.46,0.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,55.44,55.44,2331.29,2331.29,2386.73,32.78,15.04,129.35,177.17,0.0,576.52,180.38,348.82,1105.72,3669.62,489.58,3.85,120.79,0.0,0.0,614.22,53.39,0.0,1140.24,574.17,530.35,854.99,354.65,9.03,2529.38,3669.62,565.72,108.21,155.51,1270.35,45.62,53.94,66.7,31.35,4.96,569.17,472.63,206.19,65.88,1.83,447.19,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
