,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2024-12-31,AMZN,USD,0001018724,2025-02-07,2025-02-06 18:40:29,2024,FY,78779000000,22423000000,101202000000,55451000000,34214000000,0,190867000000,328806000000,23074000000,0,23074000000,0,0,82147000000,434027000000,0,624894000000,94363000000,0,0,18103000000,66965000000,179431000000,135611000000,0,0,28593000000,159493000000,0,77297000000,338924000000,0,111000000,172866000000,-34000000,113027000000,285970000000,285970000000,624894000000,0,624894000000,22423000000,130900000000,52121000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
1,2023-12-31,AMZN,USD,0001018724,2024-02-02,2024-02-01 18:48:30,2023,FY,73387000000,13393000000,86780000000,52253000000,33318000000,0,172351000000,276690000000,22789000000,7687000000,30476000000,2206000000,748000000,46131000000,355503000000,0,527854000000,84981000000,0,0,15227000000,64709000000,164917000000,135611000000,0,0,25451000000,161062000000,0,77297000000,325979000000,0,109000000,113618000000,-3040000000,91188000000,201875000000,201875000000,527854000000,0,527854000000,15599000000,135611000000,62224000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
2,2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,53888000000,16138000000,70026000000,42360000000,34405000000,0,146791000000,252838000000,20288000000,6097000000,20288000000,2107000000,6097000000,34554000000,315884000000,0,462675000000,79600000000,0,0,13227000000,62566000000,155393000000,140118000000,2900000000,-2900000000,21121000000,161239000000,0,72968000000,316632000000,0,108000000,83193000000,-4487000000,67229000000,146043000000,146043000000,462675000000,0,462675000000,18245000000,140118000000,86230000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
3,2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,36220000000,59829000000,96049000000,32891000000,32640000000,0,161580000000,216363000000,15371000000,5107000000,15371000000,3415000000,5107000000,18713000000,258969000000,0,420549000000,78664000000,0,0,11827000000,51775000000,142266000000,116395000000,2200000,-2200000,23643000000,140038000000,0,67651000000,282304000000,0,5000000,85915000000,-1376000000,53701000000,138245000000,138245000000,420549000000,0,420549000000,63244000000,116395000000,80175000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
4,2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,42122000000,42274000000,84396000000,24542000000,23795000000,0,132733000000,150667000000,15017000000,4981000000,15017000000,3022000000,4981000000,14775000000,188462000000,0,321195000000,72539000000,0,0,9708000000,44138000000,126385000000,84389000000,1900000000,-1900000000,17017000000,101406000000,0,52573000000,227791000000,0,5000000,52551000000,-180000000,41028000000,93404000000,93404000000,321195000000,0,321195000000,45296000000,84389000000,42267000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm
