,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Quartz India'}",Francisco Velasquez,Best Buy joins Amazon and Walmart in the influencer game,Best Buy has big plans to keep up with Amazon (AMZN) and Walmart — which include tapping into the lucrative creator economy.Read more...,https://qz.com/best-buy-amazon-walmart-influencer-program-trump-tariff-1851769085,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/5095474ada080841ca12db8d8c6218d5.jpg",2025-03-11T16:05:00Z,"In This Story
Best Buy has big plans to keep up with Amazon (AMZN+1.59%
) and Walmart which include tapping into the lucrative creator economy.
The electronics giant is stepping into the influence… [+2941 chars]"
1,"{'id': None, 'name': 'Quartz India'}",Kevin Williams,"Boycott Amazon, Walmart and others for a day, group says: What to know about Economic Blackout Day","There will be no shopping at Amazon (AMZN), Walmart (WMT), or Target (TGT) on February 28 — at least, if you’re complying with “Economic Blackout Day.”Read more...",https://qz.com/blackout-day-amazon-walmart-fast-food-boycott-1851766358,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/2aa45ba80b0a51564f4da3ba7243c796.jpg",2025-02-25T19:03:00Z,"In This Story
There will be no shopping at Amazon (AMZN-0.91%
), Walmart (WMT+3.81%
), or Target (TGT+1.08%
) on February 28 at least, if youre complying with Economic Blackout Day.
Peoples Unio… [+2324 chars]"
2,"{'id': None, 'name': 'Quartz India'}",Francisco Velasquez,Walmart's bold bet to beat Amazon and win favor with Trump,"Walmart (WMT) is betting big it can win over affluent shoppers, outpace Amazon (AMZN), and gain favor with President Donald Trump. Read more...",https://qz.com/walmart-donald-trump-amazon-e-commerce-retail-2025-1851766334,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/f97595bee7939de6c5602751d8230fa1.jpg",2025-02-25T17:06:00Z,"In This Story
Walmart (WMT+3.53%
) is betting big it can win over affluent shoppers, outpace Amazon (AMZN-2.32%
), and gain favor with President Donald Trump. 
To do this, CEO Doug McMillon is fo… [+2947 chars]"
3,"{'id': None, 'name': 'Quartz India'}",Ece Yildirim,Meta doesn't want you to read this book. So of course it's a best-seller,Meta (META) prohibited a whistleblower from promoting her tell-all memoir. The book climbed all the way to number three on Amazon’s (AMZN) bestsellers list shortly after.Read more...,https://qz.com/meta-sarah-wynn-williams-memoir-joel-kaplan-1851770794,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/6c2d90e10094c79e3fc12718102a0aab.jpg",2025-03-18T20:10:00Z,"In This Story
Meta (META-3.97%
) prohibited a whistleblower from promoting her tell-all memoir. The book climbed all the way to number three on Amazons (AMZN-1.39%
) bestsellers list shortly after… [+1982 chars]"
4,"{'id': None, 'name': 'Quartz India'}",Britney Nguyen,Amazon is entering the race for practical quantum computing with its new chip,Amazon (AMZN) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.Read more...,https://qz.com/amazon-unveil-quantum-computing-chip-ocelot-aws-qubits-1851766663,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/4440ed74a48c00b188bb07e2f47b0020.jpg",2025-02-27T11:00:00Z,"In This Story
Amazon (AMZN+0.40%
) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.
The tech giant said … [+2808 chars]"
5,"{'id': None, 'name': 'Quartz India'}",Britney Nguyen,Amazon execs trash talk Microsoft's big quantum computing breakthrough,"Last month, Microsoft (MSFT) announced that it created a new state of matter for its first quantum computing chip — a claim that Amazon (AMZN) is reportedly not convinced by.Read more...",https://qz.com/amazon-executive-doubt-microsoft-quantum-computing-chip-1851768401,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/afa7aed2e30b86d8d02dcc9b4e21fc45.jpg",2025-03-07T16:36:00Z,"In This Story
Last month, Microsoft (MSFT-2.52%
) announced that it created a new state of matter for its first quantum computing chip a claim that Amazon (AMZN-3.28%
) is reportedly not convinced… [+2715 chars]"
6,"{'id': None, 'name': 'Quartz India'}",Ece Yildirim,Amazon is testing out AI-dubbing movies and series,"Amazon’s (AMZN) Prime Video streaming platform will begin dubbing some movies and TV series using artificial intelligence in a bid to increase viewership globally, the company announced on Wednesday. Read more...",https://qz.com/amazon-is-testing-out-ai-dubbing-movies-and-series-1851767918,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/52e310e96bcf23f4b918d8439bf738fe.jpg",2025-03-05T20:53:00Z,"In This Story
Amazons (AMZN+2.32%
) Prime Video streaming platform will begin dubbing some movies and TV series using artificial intelligence in a bid to increase viewership globally, the company a… [+1131 chars]"
7,"{'id': None, 'name': 'Quartz India'}",Ece Yildirim,Amazon keeps finding ways to give Donald Trump money,"Amazon (AMZN) said Monday that its Prime Video will be the sole streaming service to show ‘The Apprentice,” the reality TV series that helped skyrocket its host Donald Trump to political stardom — and to the the presidency.Read more...",https://qz.com/amazon-prime-video-streaming-apprentice-donald-trump-1851768876,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/4fa4ab6759a8ab2f8f78c3fc753faff4.jpg",2025-03-10T18:48:00Z,"In This Story
Amazon (AMZN-3.98%
) said Monday that its Prime Video will be the sole streaming service to show The Apprentice, the reality TV series that helped skyrocket its host Donald Trump to p… [+1585 chars]"
8,"{'id': None, 'name': 'Quartz India'}",Harri Weber,Amazon's buzzing delivery drones drove a Texas town to fight back,"Prime Air, Amazon’s (AMZN) drone program, is still struggling to get off the ground more than 11 years after Jeff Bezos first teased half-hour deliveries in a publicity stunt on 60 Minutes.Read more...",https://qz.com/amazon-prime-air-delivery-drone-college-station-texas-1851767405,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/8449ecc285374dcf9cc81c30253b3fc9.jpg",2025-03-03T19:46:00Z,"In This Story
Prime Air, Amazons (AMZN-3.31%
) drone program, is still struggling to get off the ground more than 11 years after Jeff Bezos first teased half-hour deliveries in a publicity stunt on… [+2513 chars]"
9,"{'id': None, 'name': 'Quartz India'}",Francisco Velasquez,Amazon's super-cheap Haul is struggling to keep up with Temu and Shein,"Amazon’s (AMZN) Haul, the retail giant’s attempt at offering low-cost products, has yet to capture the attention of U.S. consumers in the way it bargained for. Read more...",https://qz.com/amazon-haul-temu-shein-budget-chinese-retail-1851770405,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/deb475e7574c7f4518bfc48c1d6c1b1e.png",2025-03-17T16:18:28Z,"In This Story
Amazons (AMZN-1.48%
) Haul, the retail giants attempt at offering low-cost products, has yet to capture the attention of U.S. consumers in the way it bargained for. 
Despite Amazons … [+2026 chars]"
