Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,603.91,603.91,362.74,1.02,-16.36,24.44,55.05,0.0,113.72,63.3,0.82,64.12,16.1,48.02,48.02,-5.96,53.98,53.98,233.61,2.31,2.31
2020-06-30,493.16,493.16,299.72,0.0,31.69,16.35,34.29,0.0,57.14,53.97,0.74,54.71,14.0,40.71,40.71,-8.93,49.64,49.64,233.61,2.12,2.12
2020-09-30,663.34,663.34,419.53,1.74,2.03,21.88,34.59,0.0,89.03,94.54,1.65,96.19,10.84,85.35,85.35,-5.95,91.3,91.3,233.61,3.91,0.0
2020-12-31,791.57,791.57,526.8,2.83,-38.25,31.68,34.59,0.0,109.5,124.42,2.23,126.65,9.13,117.52,117.52,34.34,83.18,83.18,233.61,3.56,3.56
2021-03-31,1075.67,1075.67,558.66,22.45,42.94,31.98,46.19,0.0,128.41,245.04,45.6,290.64,4.75,285.89,285.89,71.11,214.78,214.78,233.61,9.19,9.19
2021-06-30,1186.09,1186.09,735.22,2.1,-55.25,32.43,28.4,0.0,139.83,303.36,1.59,304.95,3.69,301.26,301.26,76.38,224.88,224.88,255.08,9.54,9.54
2021-09-30,1157.61,1157.61,743.4,0.0,-29.33,32.52,28.25,0.0,127.0,255.77,74.17,329.94,1.52,328.42,328.42,68.78,259.64,259.64,255.08,10.2,10.2
2021-12-31,1132.6,1132.6,738.74,0.0,-43.54,29.42,28.45,0.0,132.28,247.25,10.27,257.52,1.7,255.82,255.82,46.18,209.64,209.64,255.08,8.17,8.17
2022-03-31,1182.11,1182.11,716.9,0.0,24.05,33.46,34.51,0.0,153.51,219.68,9.14,228.82,2.05,226.77,226.77,110.66,116.11,116.11,255.08,4.47,4.47
2022-06-30,1442.86,1442.86,983.51,0.0,10.27,42.03,40.57,0.0,206.96,159.52,15.3,174.82,3.29,171.53,171.53,23.26,148.27,148.27,255.08,5.81,5.81
2022-09-30,1410.03,1410.03,1131.78,0.16,4.7,44.04,43.61,0.0,186.44,-0.7,8.44,7.74,4.03,3.71,3.71,-0.02,3.73,3.73,255.08,0.15,0.15
2022-12-31,1600.83,1600.83,1169.86,171.45,-83.84,45.98,64.38,0.0,213.11,19.89,25.05,44.94,14.61,30.33,30.33,6.31,24.02,24.02,255.08,0.94,0.94
2023-03-31,1789.49,1789.49,1436.2,0.0,-55.09,56.41,59.26,0.0,199.25,93.46,14.2,107.66,15.86,91.8,91.8,-31.21,123.01,123.01,255.08,4.82,4.82
2023-06-30,1692.63,1692.63,1166.01,120.57,-2.27,56.55,46.84,0.0,183.19,121.74,22.38,144.12,13.48,130.64,130.64,20.31,110.33,110.33,255.08,4.33,4.33
2023-09-30,1455.85,1455.85,979.89,71.39,13.17,51.37,57.62,0.0,217.56,64.85,17.36,82.21,16.96,65.25,65.25,14.53,50.72,50.72,255.08,1.99,1.99
2023-12-31,1764.09,1764.09,1089.12,318.56,-47.43,55.01,59.07,0.0,184.15,105.61,23.51,129.12,17.6,111.52,111.52,31.48,80.04,80.04,255.08,3.14,3.13
2024-03-31,1758.92,1758.92,1198.12,130.74,22.42,49.66,55.15,0.0,181.0,121.83,36.69,158.52,9.89,148.63,148.63,38.32,110.31,110.31,278.04,3.98,3.97
2024-06-30,1558.67,1558.67,1107.47,38.87,-64.52,51.7,48.45,0.0,183.34,193.36,44.22,237.58,13.21,224.37,224.37,61.51,162.86,162.86,278.04,5.86,5.83
2024-09-30,1694.43,1694.43,1078.78,167.65,44.63,47.75,53.46,0.0,184.88,117.28,43.24,160.52,13.32,147.2,147.2,38.84,108.36,108.36,278.04,3.9,3.89
2024-12-31,1621.39,1621.39,1145.21,104.56,-74.36,50.21,53.86,0.0,202.62,139.29,28.06,167.35,10.58,156.77,156.77,37.9,118.87,118.87,278.04,4.28,4.26
2025-03-31,1599.08,1599.08,1051.37,30.49,94.05,48.53,55.23,-0.72,204.86,115.27,29.62,144.89,12.77,132.12,132.12,32.59,99.53,99.53,278.22,3.58,3.57
