Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1453.33,14.25,1467.58,825.82,167.38,-73.37,40.16,14.92,122.75,292.43,77.49,11.4,88.89,9.14,79.75,0.0,79.75,22.79,56.96,56.96,23.91,0.0,4.77,4.76,5.87,49.08,6.09,100.0,50.92
2013-03-31,1486.63,15.79,1502.42,648.37,206.0,82.53,28.44,14.89,124.4,280.81,116.98,21.13,138.11,10.38,127.73,0.0,127.73,39.88,87.85,87.85,23.91,0.0,7.35,7.3,5.87,49.08,6.09,100.0,50.92
2013-06-30,1403.44,12.87,1416.31,664.81,164.53,8.08,48.63,15.3,126.53,274.08,114.35,13.87,128.22,3.35,124.87,0.0,124.87,38.58,86.29,86.29,23.94,0.0,7.21,7.21,5.88,49.15,6.09,100.0,50.85
2013-09-30,1594.45,15.55,1610.0,846.59,162.93,-42.91,41.82,15.66,131.36,317.0,137.55,4.38,141.93,1.14,140.79,0.0,140.79,45.11,95.68,95.68,23.97,0.0,7.99,7.98,5.9,49.2,6.09,100.0,50.8
2013-12-31,1614.43,13.6,1628.03,848.48,159.22,-19.17,42.76,16.02,132.07,316.04,132.61,5.64,138.25,0.57,137.68,0.0,137.68,41.35,96.33,96.33,23.99,0.0,8.04,8.04,5.91,49.25,6.09,100.0,50.75
2014-03-31,1619.77,33.28,1653.05,805.65,170.1,41.42,39.24,16.4,112.95,319.05,148.24,11.42,159.66,0.38,159.28,-20.0,139.28,47.75,91.53,91.53,23.99,0.0,7.63,7.63,5.91,49.25,6.09,100.0,50.75
2014-06-30,1618.37,15.86,1634.23,820.6,179.69,3.04,44.07,24.55,117.58,311.47,133.23,19.57,152.8,0.28,152.52,0.0,152.52,44.71,107.81,107.81,23.99,0.0,8.99,8.99,5.91,49.25,6.09,100.0,50.75
2014-09-30,1801.23,16.18,1817.41,926.1,208.78,-32.19,42.81,25.1,123.62,351.84,171.35,18.52,189.87,0.35,189.52,159.92,349.44,96.4,253.04,253.04,23.99,0.0,21.1,21.1,5.91,49.25,6.09,100.0,50.75
2014-12-31,1834.31,18.02,1852.33,930.59,223.11,-35.08,44.62,25.52,139.98,354.87,168.72,20.52,189.24,0.32,188.92,-12.12,176.8,56.28,120.52,120.52,23.99,0.0,10.05,10.05,5.91,49.25,6.09,100.0,50.75
2015-03-31,1846.55,25.47,1872.02,915.7,137.75,38.75,47.03,42.1,169.48,342.1,179.11,29.0,208.11,0.26,207.85,-4.0,203.85,62.81,141.04,141.04,23.99,0.0,11.76,11.76,5.91,49.25,6.09,100.0,50.75
