Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Government/Other Grants,Raw Materials,Capital Goods,Equity Share Application Money,Long Term Provisions,"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,25.11,25.11,405.91,405.91,0.0,431.03,0.0,20.25,0.0,20.25,39.19,154.84,1.1,59.48,254.61,705.88,96.77,30.68,0.86,0.0,128.3,291.32,13.14,0.0,46.3,479.06,0.0,122.25,19.92,7.08,77.13,0.44,226.82,705.88,58.55,0.64,12.17,4.8,0.64,23.16,1.41,291.28,0.0,0.0,0.0,8.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.89,23.89,419.63,419.63,0.0,443.52,0.0,17.06,0.0,17.06,6.14,73.64,132.34,97.34,309.45,770.04,95.91,0.05,31.7,0.0,127.65,330.08,13.71,0.0,34.24,505.67,0.0,134.22,44.31,16.31,69.33,0.18,264.36,770.04,61.24,0.54,13.39,7.16,32.81,21.94,2.02,228.56,0.0,0.0,0.0,26.11,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.89,23.89,525.2,525.2,0.0,549.09,1.62,15.19,0.0,16.81,7.74,86.36,138.34,78.33,310.77,876.67,140.51,0.05,11.08,0.0,151.64,359.86,13.5,0.0,16.06,541.06,0.0,184.8,20.85,35.34,94.07,0.56,335.61,876.67,67.24,1.54,17.04,11.17,0.1,21.94,2.88,392.33,0.0,0.0,0.0,2.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.89,23.89,590.93,590.93,0.0,614.82,1.53,0.0,0.0,1.53,3.25,85.82,152.29,84.91,326.27,942.63,197.02,1.35,16.03,0.0,214.4,320.05,1.24,0.0,25.58,561.26,0.0,214.94,28.61,48.65,89.0,0.17,381.37,942.63,102.63,1.77,18.26,14.53,0.09,21.94,2.12,352.55,0.0,0.0,0.0,4.26,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,23.89,23.89,731.92,731.92,0.0,755.81,1.94,22.64,0.0,24.58,104.16,93.27,153.75,100.65,451.83,1232.22,239.33,1.66,9.69,0.0,250.68,380.83,25.02,0.0,23.23,679.76,0.0,301.53,46.33,43.77,160.83,0.01,552.46,1232.22,169.55,1.47,18.26,11.2,0.36,21.94,2.93,380.81,0.0,0.0,0.0,3.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.89,23.89,800.65,800.65,0.0,824.54,25.16,24.26,0.0,49.42,0.0,2.55,263.25,147.48,413.29,1287.25,273.24,4.6,6.02,0.0,283.86,423.1,14.31,0.0,26.64,747.91,0.0,253.63,49.61,40.8,195.3,0.0,539.34,1287.25,329.05,2.78,21.91,38.62,30.55,21.94,2.15,423.07,0.0,0.0,0.0,4.48,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,23.89,23.89,372.36,372.36,0.0,396.25,429.62,24.59,0.0,454.21,0.0,133.12,187.37,165.02,485.51,1335.97,276.0,5.5,11.64,0.0,293.14,490.64,31.18,0.0,0.0,814.95,0.0,268.34,39.49,23.36,189.83,0.0,521.02,1335.97,318.67,3.53,48.69,36.51,4.34,21.94,4.29,566.76,0.0,0.0,0.0,63.25,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,23.89,23.89,427.41,427.41,0.0,451.3,430.57,6.24,15.99,575.48,0.0,239.68,119.38,96.65,455.71,1482.49,298.68,5.02,11.7,0.0,315.4,308.94,0.0,142.13,12.12,778.59,236.06,311.2,57.26,28.75,70.63,0.0,703.9,1482.49,425.14,1.57,30.43,47.42,4.12,21.94,143.42,171.18,0.0,236.06,0.0,100.93,4.74,0.0,122.68,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,23.89,23.89,496.15,496.15,0.0,520.04,28.15,8.16,19.91,173.04,0.0,336.2,518.26,124.8,979.26,1672.34,370.63,8.46,79.73,0.0,458.82,218.4,0.0,125.02,12.12,814.36,210.54,382.28,52.14,30.94,182.08,0.0,857.98,1672.34,327.87,1.97,39.57,64.69,6.2,21.94,37.27,186.94,106.12,104.42,0.0,14.48,2.21,0.0,116.82,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,23.91,23.91,612.5,612.5,0.0,636.41,0.41,13.62,19.18,171.77,189.24,333.61,210.49,134.4,867.74,1683.03,437.76,13.92,128.44,0.0,580.12,234.1,0.0,141.31,12.12,967.65,45.5,331.49,77.12,64.48,196.79,0.0,715.38,1683.03,351.2,1.98,51.74,87.23,9.21,21.94,39.49,202.64,0.0,45.5,4.82,7.35,12.3,2.29,138.56,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
