Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,0.95,0.0,0.95,-0.01,-0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.95,0.0,0.95,-0.01,-0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.95,0.0,0.95,-0.01,-0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.01,2.86,13.65,0.18,0.0,12.13,12.31,0.0,0.0,0.0,0.0,12.31,0.0,0.0,0.0,0.27,1.07,0.0,1.34,13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,260.69,0.0,260.69,-2.3,-2.3,258.39,0.0,144.27,0.0,0.0,0.0,144.27,0.0,0.0,230.79,0.18,230.98,653.64,1.05,0.0,601.87,602.91,0.0,0.0,0.0,0.0,602.91,0.0,0.0,0.0,49.7,1.02,0.0,50.73,653.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,552.08,150.0,702.08,694.15,694.15,1396.23,0.0,1011.17,0.0,0.0,0.0,1011.17,0.0,0.0,409.06,0.59,409.65,2853.12,7.48,0.0,2395.56,2403.03,83.23,0.0,0.0,0.0,2486.26,0.0,0.0,0.0,191.79,175.07,0.0,366.86,2853.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1841.98,0.0,1841.98,448.85,448.85,2290.82,0.0,4989.69,0.0,0.0,0.0,4989.69,0.0,498.5,45.89,0.92,545.31,7825.88,323.65,2.05,6250.01,6575.71,272.14,0.0,0.0,9.67,6857.52,0.0,0.0,0.0,494.16,474.19,0.0,968.36,7825.88,12490.87,129.28,787.31,0.0,272.14,0.0,0.0,0.0,0.0,2155.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2180.04,0.0,2180.04,3619.6,3619.6,5799.63,0.0,9571.38,32.7,0.0,0.0,9604.08,177.72,1157.43,96.65,3.09,1434.89,16838.61,2650.83,2.05,10783.45,13436.34,746.58,20.71,0.0,0.0,14203.63,0.0,9.52,256.3,1026.67,1342.5,0.0,2634.98,16838.61,7302.69,220.07,787.31,0.0,746.58,0.0,0.0,0.0,0.0,6164.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,2180.04,0.0,2180.04,4142.67,4142.67,6322.71,0.0,14573.51,312.01,944.42,73.85,15903.79,2004.23,354.92,967.36,75.8,3402.31,25628.81,7808.39,0.91,12260.37,20069.67,1670.58,0.0,1794.73,230.6,23765.58,0.0,276.33,44.98,626.26,471.83,443.83,1863.23,25628.81,5392.23,23.74,787.31,10.0,1660.58,0.0,0.0,1000.03,119.42,6458.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2180.04,0.0,2180.04,3848.75,3848.75,6028.79,0.0,18545.44,602.31,0.0,217.47,19365.22,6258.04,551.52,3392.42,512.15,10714.13,36108.14,14693.54,1.58,9487.5,24182.62,2325.04,0.0,4164.81,156.7,30829.17,0.0,816.42,449.19,3030.23,408.68,574.45,5278.97,36108.14,4797.94,100.79,787.31,10.0,2315.04,0.0,0.0,2919.68,23.53,944.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2393.27,0.0,2393.27,2256.5,2256.5,4649.77,0.0,20752.8,1060.63,0.0,291.52,22104.95,3941.26,2642.86,4433.52,479.15,11496.79,38251.51,24149.73,1.39,613.1,24764.22,4916.08,0.0,4355.34,16.74,34052.38,12.36,1263.25,674.58,1486.01,247.32,515.61,4199.13,38251.51,4600.78,444.76,787.31,10.0,4906.08,0.0,12.36,3469.72,25.25,287.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
