Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-06-30,283.0,283.0,51.0,23.0,0.0,111.0,98.0,24.0,122.0,0.0,122.0,122.0,40.0,82.0,82.0,11.52,71.18,0.0
2016-09-30,313.0,313.0,46.0,95.0,0.0,62.0,110.0,37.0,147.0,0.0,147.0,147.0,48.0,99.0,99.0,11.52,1.68,1.68
2016-12-31,319.63,319.63,38.56,-110.15,0.0,269.92,121.31,29.8,151.11,0.0,151.11,151.11,49.54,101.57,101.57,42.0,24.18,0.0
2017-03-31,354.0,354.0,46.0,10.0,0.0,176.0,122.0,40.0,162.0,0.0,162.0,162.0,39.0,123.0,123.0,42.0,2.09,2.09
2017-06-30,354.0,354.0,37.0,115.0,0.0,81.0,121.0,25.0,146.0,0.0,146.0,146.0,42.0,104.0,104.0,11.52,1.77,1.77
2017-09-30,372.0,372.0,52.0,119.0,0.0,78.0,123.0,51.0,174.0,0.0,174.0,174.0,54.0,120.0,120.0,588.0,2.04,2.04
2017-12-31,394.0,394.0,56.0,9.0,77.0,127.0,125.0,61.0,186.0,0.0,186.0,186.0,58.0,128.0,128.0,612.0,2.15,2.15
2018-03-31,412.0,412.0,70.0,8.0,0.0,210.0,124.0,77.0,201.0,0.0,201.0,201.0,48.0,153.0,153.0,612.0,2.57,2.56
2018-06-30,378.0,378.0,64.0,8.0,0.0,179.0,127.0,32.0,159.0,0.0,159.0,159.0,50.0,109.0,109.0,612.0,1.78,1.78
2018-09-30,379.32,379.32,69.87,8.69,0.0,171.21,129.55,31.86,161.41,0.0,161.41,161.41,50.33,111.08,111.08,612.0,1.81,1.81
2018-12-31,334.13,334.13,71.35,8.96,0.0,147.59,106.23,53.92,160.15,0.0,160.15,160.15,49.94,110.21,110.21,612.0,1.8,1.8
2019-03-31,323.94,323.94,72.53,-16.38,0.0,117.32,150.47,56.16,206.63,0.0,206.63,206.63,61.7,144.93,144.93,612.0,2.37,2.37
