Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Revaluation Reserves,Share Capital Suspense,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-09-30,33.14,33.14,573.02,573.02,606.16,0.0,0.0,21.01,0.0,661.01,194.2,63.21,918.43,1545.59,186.67,0.0,6.19,0.0,192.86,121.52,32.94,0.0,0.0,347.32,169.82,417.26,430.99,180.2,0.0,1198.27,1545.59,108.91,42.37,14.48,84.71,69.05,11.1,0.0,121.52,558.69,2.78,0.0,0.0,2.89,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-30,33.14,33.14,747.62,747.62,780.76,0.0,0.0,21.45,0.0,943.96,331.95,747.46,2023.36,2825.57,179.2,17.82,36.78,0.0,233.8,330.26,33.92,0.0,0.0,597.97,328.4,731.98,485.51,681.71,0.0,2227.6,2825.57,155.84,74.54,17.2,261.51,157.23,11.1,0.0,330.26,879.23,9.21,0.0,0.0,2.57,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-30,33.72,33.72,1051.8,1053.37,1087.09,0.0,0.0,19.99,0.0,1692.41,735.09,896.29,3323.79,4430.87,230.95,31.16,154.16,0.0,416.28,463.97,45.65,0.0,0.0,925.91,484.22,1109.77,939.44,971.52,0.0,3504.96,4430.87,122.83,419.59,18.1,880.73,174.53,11.1,0.07,463.96,1375.81,68.15,1.57,0.0,2.0,17.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-30,33.72,33.72,1555.68,1557.16,1590.88,0.0,0.0,25.03,0.0,2151.48,848.87,1184.04,4184.39,5800.3,439.79,23.96,93.29,0.0,557.04,467.59,50.83,0.0,0.0,1075.45,749.05,2381.05,463.62,1131.12,0.0,4724.85,5800.3,157.89,843.53,35.35,2556.69,114.72,11.1,0.06,467.58,1783.23,22.59,1.49,0.0,1.53,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-30,67.43,67.43,2000.25,2001.65,2069.08,0.0,0.0,30.66,0.0,3600.16,586.66,1744.95,5931.78,8031.52,533.21,23.96,87.01,0.0,644.18,523.65,120.62,0.0,0.0,1288.45,762.11,3432.8,913.09,1635.07,0.0,6743.07,8031.52,147.52,1189.65,44.65,2921.66,174.02,44.82,0.04,523.64,2438.21,17.45,1.4,0.0,1.06,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-30,67.43,67.43,2847.87,2849.19,2916.62,0.0,0.0,34.35,0.0,2445.61,1612.92,2688.01,6746.55,9697.52,605.55,23.96,105.7,0.0,735.2,476.97,145.67,0.0,0.0,1357.85,972.2,3458.31,1444.9,2464.26,0.0,8339.67,9697.52,162.2,531.19,55.81,805.63,1248.12,44.82,0.04,476.96,2639.78,52.86,1.32,0.0,0.59,33.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,67.43,67.43,3409.11,3410.35,3477.78,0.0,0.0,32.01,0.0,2918.86,1470.37,3437.38,7826.6,11336.39,710.04,23.96,246.52,0.0,980.51,388.46,163.07,0.0,0.0,1532.04,1533.52,3302.34,1853.44,3115.05,0.0,9804.35,11336.39,272.34,739.82,93.02,199.6,1402.09,44.82,0.0,388.46,3396.03,88.9,1.23,0.0,0.24,31.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,68.1,68.1,3746.9,3748.1,3816.2,110.5,300.4,410.9,0.0,2257.3,2185.4,1503.5,5946.2,10173.3,1104.8,24.3,219.5,0.0,1348.6,40.5,188.9,471.3,547.1,2596.4,807.8,3628.8,1275.0,899.5,965.8,7576.9,10173.3,316.2,1357.5,94.9,373.3,2260.1,44.82,0.0,40.5,3487.0,92.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-30,68.1,68.1,3891.1,3892.2,3960.3,104.8,307.5,412.3,0.0,2654.2,2207.9,1407.7,6269.8,10644.7,1390.1,22.1,85.0,0.0,1497.2,41.0,317.6,534.1,777.3,3167.2,943.1,3912.4,976.8,569.0,1076.2,7477.5,10644.7,383.8,1080.5,153.1,328.3,1553.4,44.82,0.0,41.0,3985.9,103.1,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,71.2,71.2,3958.1,3959.1,4030.3,83.7,253.5,337.2,0.0,2551.8,1570.0,1354.7,5476.5,9844.0,1355.9,23.0,88.9,0.0,1467.8,43.2,429.7,616.4,670.5,3227.6,933.4,3766.8,603.8,490.9,821.5,6616.4,9844.0,305.3,1028.6,194.5,510.1,1037.0,44.82,0.0,43.2,3486.9,44.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
