Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2016-06-30,240.31,1.33,0.0,50.71,17.72,124.19,40.11,38.52,107.25,15.84,693.71,785.11,194.32,590.79,590.79,44.08,23.97,22.34,22.05,122.64,92.65,1.92,1.46,0.66
2016-09-30,252.92,3.92,0.0,67.02,36.18,128.38,34.71,39.22,157.73,21.82,-23.41,112.5,42.15,70.35,70.35,45.73,24.47,2.64,2.6,154.1,112.06,2.43,1.78,0.89
2016-12-31,250.34,5.22,0.0,70.53,27.14,125.39,47.12,35.75,144.97,17.58,0.05,127.45,44.53,82.92,82.92,284.25,26.62,3.02,2.98,167.0,115.51,2.75,1.92,0.82
2017-03-31,237.41,2.55,0.0,101.81,48.05,121.19,70.85,43.71,154.06,35.78,0.0,118.28,40.36,77.91,77.91,284.25,23.04,2.74,2.69,124.51,80.46,1.89,1.22,0.95
2017-06-30,241.3,24.14,15.03,80.51,57.87,177.51,71.05,45.83,124.46,29.1,0.0,95.35,33.52,61.83,61.83,284.25,19.87,2.18,2.12,216.63,154.74,2.98,2.15,0.43
2017-09-30,282.53,29.16,14.13,84.47,97.42,190.63,100.01,73.06,144.02,40.96,0.0,103.06,34.82,68.24,68.24,284.25,20.6,2.4,2.34,265.81,178.66,3.08,2.09,0.45
2017-12-31,329.51,34.17,9.05,91.44,106.03,213.75,118.29,85.26,152.92,32.89,0.0,120.03,41.11,78.92,78.92,285.62,20.96,2.77,2.7,286.23,187.22,2.83,1.87,0.6
2018-03-31,397.53,40.98,3.47,89.74,134.45,244.85,135.55,131.25,154.52,29.62,0.0,124.91,41.86,83.04,83.04,285.7,19.31,2.91,2.84,269.74,169.34,2.01,1.27,0.5
2018-06-30,471.93,50.35,9.91,68.09,103.05,313.91,140.54,96.5,152.37,35.11,0.0,117.26,40.44,76.82,76.82,290.03,20.72,2.69,2.62,333.5,210.64,2.17,1.38,0.39
2018-09-30,538.96,59.05,11.48,73.89,122.51,362.34,149.77,118.59,175.19,34.98,0.0,140.21,48.79,91.42,91.42,292.11,17.77,3.15,3.08,371.04,231.56,2.03,1.28,0.4
2018-12-31,630.33,73.91,14.51,69.59,105.92,440.37,151.23,123.99,178.67,32.46,0.0,146.21,50.88,95.33,95.33,292.23,19.02,3.26,3.21,420.73,262.65,2.09,1.31,0.36
2019-03-31,709.03,90.79,10.18,66.86,130.55,489.96,159.57,142.2,215.68,39.23,0.0,176.44,58.21,118.24,118.24,292.36,19.31,4.05,3.98,470.14,294.5,2.04,1.29,0.39
2019-06-30,768.74,143.24,4.21,41.2,210.94,561.82,185.89,129.78,290.84,31.51,0.0,259.33,69.01,190.32,190.32,292.4,18.56,6.51,6.41,485.7,289.0,2.08,1.25,0.57
2019-09-30,810.13,155.67,4.61,63.02,150.79,581.84,182.13,142.55,277.7,61.01,0.0,216.69,44.75,171.94,171.94,293.43,17.87,5.87,5.79,503.84,282.85,2.01,1.14,0.49
2019-12-31,883.25,154.59,5.67,68.1,161.22,604.78,187.11,168.1,312.85,40.11,0.0,272.74,82.54,190.2,190.2,303.69,19.28,6.43,6.35,504.0,268.14,1.88,1.01,0.51
2020-03-31,952.72,159.96,11.31,59.46,183.15,628.51,204.49,217.82,315.79,150.57,0.0,165.21,42.89,122.32,122.32,304.12,21.99,4.03,3.97,457.78,217.3,1.68,0.81,0.3
2020-06-30,953.8,198.1,21.81,10.41,225.8,668.26,179.34,116.72,445.59,181.25,0.0,264.34,63.53,200.81,200.81,306.41,21.72,6.58,6.52,447.12,163.19,1.69,0.62,0.46
2020-09-30,944.78,206.54,23.59,37.54,285.69,651.82,224.21,155.81,466.31,57.4,0.0,408.91,87.03,321.88,321.88,306.54,21.47,10.5,10.47,423.17,122.83,1.54,0.45,0.73
2020-12-31,1006.51,186.1,21.01,47.5,663.41,627.99,239.81,183.88,872.85,283.62,0.0,589.23,110.21,479.02,479.02,306.76,18.84,15.62,15.54,302.74,72.69,0.99,0.24,1.06
2021-03-31,1042.28,182.3,18.6,49.19,276.65,636.54,336.83,221.84,373.81,177.78,0.0,196.03,27.06,168.98,168.98,312.21,23.37,5.49,5.45,1502.83,755.45,4.25,2.18,0.34
2021-06-30,1135.41,172.48,14.67,30.93,184.19,629.48,282.62,174.34,451.25,176.59,0.0,274.66,71.46,203.2,203.2,312.94,23.07,6.5,6.43,1495.94,765.99,4.31,2.26,0.39
