Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,90.13,0.0,90.13,3.13,0.0,-0.4,1.83,80.54,1.58,5.17,181.52,-183.24,2067.91,1884.67,91.56,1793.11,0.0,1793.11,96.19,1696.92,1696.92,6316.36,2.83,2.83,63.16,10.0,568.47,100.0,90.0
2013-03-31,121.93,0.0,121.93,3.05,0.0,-5.11,1.35,89.03,0.29,1.52,34.22,-2.42,2679.65,2677.23,94.1,2583.13,0.0,2583.13,262.52,2320.61,2320.61,6316.36,3.67,3.67,63.16,10.0,568.47,100.0,90.0
2013-06-30,42.92,0.0,42.92,2.19,0.0,-2.21,1.59,83.54,1.43,7.05,85.77,-136.44,3851.69,3715.25,84.65,3630.6,0.0,3630.6,80.0,3550.6,3550.6,6316.36,5.62,5.62,63.16,10.0,568.47,100.0,90.0
2013-09-30,25.87,0.0,25.87,2.81,0.0,-5.31,1.91,89.51,1.44,0.47,53.81,-118.77,1498.51,1379.74,75.71,1304.03,0.0,1304.03,90.0,1214.03,1214.03,6316.36,1.92,1.92,63.16,10.0,568.47,100.0,90.0
2013-12-31,84.77,0.0,84.77,3.29,0.0,11.09,1.58,84.82,1.38,12.42,96.89,-126.7,9885.09,9758.39,45.62,9712.77,0.0,9712.77,115.0,9597.77,9597.77,6316.36,15.2,15.2,63.16,10.0,568.47,100.0,90.0
2014-03-31,160.69,0.0,160.69,4.07,0.0,-28.6,1.8,97.13,2.16,20.35,92.71,-28.93,854.56,825.63,52.56,773.07,0.0,773.07,126.93,646.14,646.14,6316.36,1.02,1.02,65.37,10.35,566.27,100.0,89.65
2014-06-30,66.55,0.0,66.55,3.27,0.0,-12.28,1.58,87.12,1.61,0.89,47.49,-63.13,1383.0,1319.87,77.85,1242.02,0.0,1242.02,40.0,1202.02,1202.02,6316.36,1.9,1.9,65.37,10.35,566.27,100.0,89.65
2014-09-30,62.07,0.0,62.07,3.77,0.0,27.07,2.3,85.52,1.59,11.62,47.54,-117.34,2073.1,1955.76,67.44,1888.32,0.0,1888.32,32.0,1856.32,1856.32,6316.36,2.94,2.94,65.37,10.35,566.27,100.0,89.65
2014-12-31,73.59,0.0,73.59,4.78,0.0,-2.47,1.96,87.17,1.65,0.88,85.17,-105.55,907.64,802.09,58.27,743.82,0.0,743.82,48.0,695.82,695.82,6316.36,1.1,1.1,65.37,10.35,566.27,100.0,89.65
2015-03-31,179.78,2.03,181.81,5.21,0.0,-30.55,2.19,92.93,2.32,0.86,72.84,36.01,9782.76,9818.77,40.26,9778.51,-0.78,9777.73,148.5,9629.23,9629.23,6316.36,15.24,15.24,128.53,20.35,503.11,100.0,79.65
2015-06-30,37.22,0.52,37.74,2.4,0.0,-2.7,2.55,98.08,3.89,0.05,37.33,-103.86,647.58,543.72,30.75,512.97,0.0,512.97,25.87,487.1,487.1,6316.36,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2015-09-30,48.08,0.6,48.68,2.41,0.0,14.97,2.93,89.41,4.34,0.0,68.19,-133.57,1432.91,1299.34,31.52,1267.82,0.0,1267.82,22.05,1245.77,1245.77,6316.36,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2015-12-31,35.55,0.65,36.2,2.6,0.0,-2.41,2.72,94.13,5.74,0.0,72.86,-139.44,843.86,704.42,31.33,673.09,0.0,673.09,1.56,671.53,671.53,6316.36,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2016-03-31,42.26,0.65,42.91,2.91,0.0,-104.41,2.69,79.1,2.44,52.48,115.82,-108.12,14205.04,14096.92,-217.4,14314.32,0.0,14314.32,125.72,14188.6,14188.6,6316.36,22.46,22.46,0.0,0.0,0.0,0.0,0.0
2016-06-30,22.84,0.32,23.16,1.5,0.0,30.36,2.7,87.4,4.2,0.0,32.82,-135.82,164.27,28.45,23.83,4.62,0.0,4.62,0.94,3.68,3.68,6316.36,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2016-09-30,79.91,1.33,81.24,1.74,0.0,58.79,3.17,120.14,4.19,0.0,61.42,-168.21,1290.82,1122.61,25.98,1096.63,0.0,1096.63,-0.94,1097.57,1097.57,6316.36,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2016-12-31,98.52,1.74,100.26,2.33,0.0,42.7,2.93,104.55,4.35,0.0,92.8,-149.4,156.91,7.51,46.54,-39.03,0.0,-39.03,0.0,-39.03,-39.03,6207.41,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0
2017-03-31,83.93,1.29,85.22,2.65,0.0,-48.36,2.7,103.54,4.78,0.36,195.43,-175.88,13392.75,13216.87,-232.58,13449.45,0.0,13449.45,11.14,13438.31,13438.31,6207.41,21.65,21.65,0.0,0.0,0.0,0.0,0.0
2017-06-30,81.91,1.34,83.25,1.36,0.0,49.01,3.17,97.26,4.94,0.0,58.82,-131.31,98.72,-32.59,-64.77,32.18,0.0,32.18,0.0,32.18,32.18,6207.41,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2017-09-30,32.48,0.51,32.99,1.3,0.0,5.51,3.18,108.45,3.51,0.0,42.36,-131.32,198.38,67.06,-65.35,132.41,0.0,132.41,13.53,118.88,118.88,6207.41,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2017-12-31,78.95,1.33,80.28,1.8,0.0,-6.35,3.02,98.0,4.19,0.0,84.42,-104.8,196.91,92.11,-63.97,156.08,0.0,156.08,34.94,121.14,121.14,6207.41,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2018-03-31,163.72,4.26,167.98,2.47,0.0,-6.08,2.74,221.33,5.5,-10.35,99.0,-146.63,9077.02,8930.39,-63.77,8994.16,0.0,8994.16,-27.06,9021.22,9021.22,6207.41,14.53,14.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,59.37,1.8,61.17,1.86,0.0,15.34,2.68,110.86,4.16,0.97,65.8,-140.5,148.17,7.67,-66.09,73.76,0.0,73.76,5.55,68.21,68.21,6207.41,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2018-09-30,30.45,0.92,31.37,1.52,0.0,-6.16,3.12,105.27,4.22,1.39,69.09,-147.08,768.8,621.72,6.26,615.46,0.0,615.46,3.95,611.51,611.51,6207.41,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2018-12-31,80.81,2.04,82.85,2.06,0.0,-16.41,2.76,132.04,4.25,0.39,79.41,-121.65,5602.25,5480.6,2.81,5477.79,0.0,5477.79,3.5,5474.29,5474.29,6207.41,8.82,8.82,0.0,0.0,0.0,0.0,0.0
2019-03-31,143.79,202.15,345.94,2.14,0.0,-2.18,2.25,126.49,13.62,-3.29,177.88,29.03,4367.16,4396.19,0.78,4395.41,0.0,4395.41,79.75,4315.66,4315.66,6162.73,6.96,6.96,0.0,0.0,0.0,0.0,0.0
2019-06-30,194.57,0.0,194.57,1.05,0.0,14.74,2.66,127.13,4.24,0.74,43.33,0.68,88.2,88.88,1.39,87.49,0.0,87.49,4.26,83.23,83.23,6162.73,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2019-09-30,26.64,105.99,132.63,1.11,0.0,9.17,3.01,122.58,4.17,0.22,105.41,-113.04,180.0,66.96,1.97,64.99,0.0,64.99,-42.32,107.31,107.31,6162.73,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2019-12-31,39.13,149.83,188.96,1.33,0.0,-0.03,2.55,136.66,4.29,-0.61,53.52,-8.75,400.65,391.9,1.23,390.67,0.0,390.67,-68.02,458.69,458.69,6162.73,0.74,0.74,0.0,0.0,0.0,0.0,0.0
