Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods
2004-03-31,6316.36,6316.36,3380.81,3380.81,9697.17,2524.43,0.0,0.0,0.0,2524.43,0.0,3961.07,265.18,4226.25,16447.85,134.06,0.0,1.85,0.0,0.0,135.91,11113.52,0.0,0.0,11249.43,0.0,34.82,0.42,1107.2,3424.01,5198.42,16447.85,0.0,0.0,0.0,0.0,0.0,0.0,631.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6316.36,6316.36,4561.72,4561.72,10878.08,2372.4,0.0,0.0,0.0,2372.4,0.0,4173.22,255.45,4428.67,17679.15,114.7,0.0,0.58,0.0,0.0,115.28,12763.41,0.0,0.0,12878.69,0.0,47.34,0.16,2532.64,0.0,4800.46,17679.15,0.0,0.0,0.0,0.0,0.0,0.0,2220.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6316.36,6316.36,5025.23,5025.23,11341.59,1899.01,0.0,0.0,0.0,1899.01,0.0,4541.45,312.04,4853.49,18094.09,103.71,0.0,0.12,0.0,0.0,103.83,10591.15,0.0,0.0,10694.98,0.0,31.3,0.81,2863.15,0.0,7399.11,18094.09,0.0,0.0,0.0,0.0,0.0,0.0,4503.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6316.36,6316.36,6338.28,6338.28,12654.64,1646.1,0.0,0.0,0.0,1646.1,0.64,4516.79,222.64,4740.06,19040.8,93.15,0.0,0.08,0.0,0.0,93.24,6316.36,0.0,0.0,6409.6,0.0,23.67,0.01,3728.98,0.04,12631.2,19040.8,0.0,0.0,0.0,0.0,0.0,0.0,8878.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,6316.36,6316.36,7052.93,7052.93,13369.3,1510.83,0.0,0.0,0.0,1510.83,0.64,4362.66,472.65,4835.95,19716.08,88.7,0.0,1.07,0.0,0.0,89.77,6316.36,0.0,0.0,6406.14,0.0,10.44,0.0,4663.96,0.0,13309.95,19716.08,0.0,0.0,0.0,0.0,0.0,0.0,8635.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,6316.36,6316.36,8920.86,8920.86,15237.22,1786.62,0.0,0.0,0.0,1786.62,8.49,4512.77,708.85,5230.11,22253.96,94.97,0.0,5.99,0.0,0.0,100.96,6316.36,0.0,0.0,6417.32,0.0,19.52,0.02,6462.76,0.01,15836.64,22253.96,190.86,46.32,6.99,6316.36,0.0,0.0,9354.32,0.0,16.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,6316.36,6316.36,10744.36,10744.36,17060.72,1464.3,0.0,0.0,0.0,1464.3,8.45,4755.33,679.14,5442.93,23967.95,93.4,0.0,17.84,0.0,0.0,111.24,6316.57,0.0,0.0,6427.81,0.0,26.59,0.0,9133.36,0.01,17540.14,23967.95,164.74,29.11,7.26,6316.57,0.0,0.0,8380.18,0.0,31.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,6316.36,6316.36,11499.65,11499.65,17816.01,1187.98,0.0,1621.99,140.78,2950.75,2.3,5969.01,937.91,6909.22,27675.98,98.44,0.27,46.58,9.14,0.0,154.43,6319.17,3171.51,0.0,9645.11,0.0,35.69,0.0,11659.52,175.46,18030.87,27675.98,1790.28,24.64,7.74,6319.17,0.0,0.0,6160.2,0.0,59.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,6316.36,6316.36,13248.39,13248.39,19564.75,1173.54,0.0,1977.15,141.64,3292.33,2.55,6549.57,1303.0,7855.12,30712.2,100.65,0.25,60.75,12.66,0.0,174.31,6319.19,3138.12,0.0,9631.62,222.0,18.51,0.01,15302.72,562.99,21080.58,30712.2,2306.44,56.84,0.09,6319.19,0.0,222.0,4974.35,53.28,101.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,6316.36,6316.36,14199.8,14199.8,20516.16,914.39,0.0,2306.23,161.53,3382.15,2.41,5964.79,4171.61,10138.81,34037.12,96.41,0.22,107.46,14.43,0.0,218.52,8858.19,1815.75,0.0,10892.46,167.88,15.66,1.48,18104.28,788.05,23144.66,34037.12,2749.56,118.03,0.03,8858.19,0.0,167.88,4067.31,43.56,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
