Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,59.97,59.97,1193.9,1204.08,0.0,1264.05,65.95,0.0,0.0,245.93,30.6,177.65,197.7,304.24,710.19,2220.17,547.56,0.0,56.01,0.0,0.0,603.57,180.37,0.0,0.0,783.94,0.0,568.94,498.23,6.24,362.82,0.0,1436.23,2220.17,448.57,55.27,812.28,58.33,58.39,180.37,0.0,10.18,179.99,0.0,232.01,0.0,52.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,59.97,59.97,1483.6,1493.66,0.0,1553.64,88.95,0.0,0.0,243.62,40.37,238.68,255.77,283.99,818.81,2616.07,738.91,0.0,105.96,0.0,0.0,844.87,18.3,0.0,0.0,863.18,0.0,745.68,587.32,15.38,404.51,0.0,1752.89,2616.07,503.88,81.74,1053.21,44.74,58.39,18.3,0.0,10.06,154.67,0.0,358.01,0.0,89.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,59.97,59.97,1913.98,1923.3,0.0,1983.27,97.95,0.0,0.0,515.59,51.27,371.27,264.62,272.31,959.47,3458.33,1056.61,0.0,87.01,0.0,0.0,1143.62,22.43,0.0,0.0,1166.05,0.0,957.0,875.96,44.48,414.84,0.0,2292.28,3458.33,1600.75,80.47,1513.64,51.99,58.39,22.43,0.0,9.32,417.64,0.0,468.41,0.0,106.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,155.46,155.46,3071.84,3080.81,0.0,3236.27,112.65,0.0,0.0,228.96,7.25,305.93,225.2,410.13,948.51,4413.74,1388.07,0.0,73.19,0.0,0.0,1461.26,117.8,0.0,0.0,1579.06,0.0,978.6,1028.78,131.49,695.81,0.0,2834.68,4413.74,1586.64,115.13,1780.44,84.63,151.66,117.8,0.0,8.97,116.31,0.0,555.27,0.0,94.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,155.46,155.46,3591.39,3600.36,0.0,3755.82,149.15,0.0,0.0,712.7,16.98,533.51,297.39,416.81,1264.69,5733.21,1661.36,0.0,233.12,0.0,0.0,1894.48,94.75,0.0,0.0,1989.23,0.0,1120.49,1393.91,79.28,1150.3,0.0,3743.98,5733.21,1664.58,121.15,2101.74,153.47,151.66,94.75,0.0,8.97,563.55,0.0,743.62,0.0,202.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,155.46,155.46,4186.32,4195.29,0.0,4350.75,164.15,0.0,0.0,237.63,866.76,456.63,556.22,391.71,2271.32,6859.7,1992.49,0.0,366.32,0.0,0.0,2358.81,81.32,0.0,0.0,2440.13,0.0,1398.32,1837.15,53.0,1131.1,0.0,4419.57,6859.7,730.75,173.2,2742.69,217.47,151.66,81.32,0.0,8.97,73.48,0.0,983.22,0.0,256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,160.58,160.58,5744.54,5753.51,0.0,5914.09,179.15,0.0,0.0,183.81,0.41,805.61,192.35,1347.66,2346.03,8443.93,2011.17,0.0,684.24,0.0,0.0,2695.41,265.1,0.0,0.0,2960.51,0.0,1512.58,1552.71,60.84,2357.29,0.0,5483.42,8443.93,423.87,161.32,2900.58,157.1,151.66,265.1,0.0,8.97,4.66,0.0,873.6,0.0,167.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,160.58,160.58,6443.4,6452.37,0.0,6612.95,212.45,0.0,21.0,236.37,437.56,661.67,300.4,198.88,1598.51,8447.83,2867.65,0.0,253.07,0.0,0.0,3120.72,347.06,435.5,0.15,3903.43,223.59,1883.16,1497.04,83.98,771.3,85.33,4544.4,8447.83,1110.96,171.59,3361.49,56.18,151.66,346.69,223.59,8.97,2.92,0.0,1170.77,41.74,179.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,160.58,160.58,7380.73,7389.7,0.0,7550.28,232.45,0.0,29.12,263.77,10.0,600.39,357.94,211.41,1179.74,8993.79,3002.66,0.0,343.45,0.0,0.0,3346.11,461.83,385.65,0.24,4193.83,573.32,1824.5,1519.31,55.06,773.79,53.98,4799.96,8993.79,1320.07,195.94,3692.03,36.14,151.66,461.47,573.32,8.97,2.2,0.0,954.34,32.42,146.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,160.58,160.58,8699.97,8708.94,0.0,8869.52,281.2,30.0,47.34,359.09,965.26,827.09,242.62,229.63,2264.6,11493.21,3418.29,0.0,339.99,10.35,0.0,3768.63,514.36,373.72,0.31,4657.02,2087.46,2343.37,1645.22,105.07,652.79,2.28,6836.19,11493.21,3993.66,274.34,4426.16,68.56,151.66,514.01,2087.46,8.97,0.55,0.0,1206.78,26.23,83.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
