Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2021-03-31,309.26,309.26,141.5,103.42,-25.25,12.28,10.11,38.22,28.98,0.31,29.29,3.54,25.75,25.75,34.42,-8.67,-8.67,151.87,116.95,-0.29,-0.29
2021-06-30,155.54,155.54,81.63,57.53,-40.04,12.91,10.42,36.98,-3.9,1.16,-2.74,3.99,-6.74,-6.74,-2.37,-4.37,-4.37,151.87,0.0,-0.14,-0.14
2021-09-30,304.14,304.14,138.83,118.68,-46.61,14.74,12.16,49.07,17.26,-0.33,16.93,4.62,12.31,12.31,4.2,8.11,8.11,152.16,0.0,0.27,0.0
2021-12-31,462.57,462.57,164.32,131.11,15.59,15.4,13.16,87.47,35.51,1.28,36.79,4.63,32.17,32.17,8.64,23.53,23.53,152.16,148.23,0.77,0.77
2022-03-31,392.41,392.41,176.94,131.72,-43.91,19.07,14.82,62.65,31.11,0.29,31.41,4.94,26.47,26.47,10.39,16.08,16.08,152.16,166.32,0.53,0.53
2022-06-30,368.96,368.96,170.43,116.76,-46.99,20.57,14.01,71.74,22.47,0.56,23.02,5.48,17.54,17.54,6.46,11.09,11.09,152.16,0.0,0.36,0.36
2022-09-30,333.17,333.17,254.27,4.06,-84.6,21.94,16.97,94.05,26.47,0.74,27.21,7.65,19.56,19.56,5.02,14.54,14.54,152.31,0.0,0.48,0.48
2022-12-31,465.62,465.62,199.06,2.09,37.95,22.74,19.56,111.88,72.36,0.88,73.23,8.23,65.0,65.0,16.68,48.31,48.31,152.33,0.0,1.59,1.58
2023-03-31,347.75,347.75,187.93,4.49,-23.4,13.88,19.98,108.31,36.56,0.58,37.14,7.23,29.91,29.91,6.96,22.95,22.95,152.34,0.0,0.75,0.75
2023-06-30,353.76,353.76,167.45,5.5,-7.96,23.74,17.07,98.83,49.13,0.21,49.34,6.94,42.4,42.4,10.92,31.48,31.48,152.4,0.0,1.03,1.03
2023-09-30,258.66,258.66,157.41,4.21,-43.54,23.95,18.08,92.16,6.39,0.44,6.83,6.46,0.37,0.37,0.05,0.32,0.32,152.61,0.0,0.01,0.01
2023-12-31,472.01,472.01,170.89,5.1,53.99,26.66,18.36,159.12,37.89,1.36,39.25,5.78,33.47,33.47,8.58,24.89,24.89,152.63,0.0,0.82,0.81
2024-03-31,363.86,363.86,168.91,5.14,8.36,27.15,18.6,90.42,45.28,2.53,47.81,4.02,43.79,43.79,11.04,32.75,32.75,152.63,0.0,1.07,1.07
2024-06-30,339.16,339.16,140.06,3.72,15.72,28.68,16.24,99.24,35.5,2.27,37.77,3.68,34.09,34.09,8.71,25.38,25.38,152.65,0.0,0.83,0.83
2024-09-30,333.29,333.29,185.58,7.83,-34.6,29.23,17.55,107.08,20.62,3.43,24.05,4.45,19.6,19.6,5.3,14.3,14.3,152.65,0.0,0.47,0.47
2024-12-31,514.8,514.8,195.44,11.71,45.92,30.57,18.93,148.99,63.24,3.7,66.94,4.3,62.64,62.64,16.17,46.47,46.47,152.7,0.0,1.52,1.52
