Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,164.03,0.47,164.5,105.33,-12.99,13.09,4.79,4.12,19.64,30.51,0.0,30.51,3.52,26.99,26.99,9.89,17.09,17.09,13.3,12.85,12.85,0.8,60.24,0.53,100.0,39.76
2013-03-31,157.12,0.49,157.6,88.85,11.41,9.39,4.91,3.78,15.72,23.55,0.0,23.55,2.77,20.79,20.79,6.78,14.0,14.0,13.3,10.53,10.53,0.8,60.24,0.53,100.0,39.76
2013-06-30,127.22,0.0,127.22,72.13,-5.78,7.59,4.73,3.49,20.86,24.2,0.1,24.3,2.14,22.16,22.16,6.86,15.3,15.3,13.3,11.5,11.5,0.8,60.24,0.53,100.0,39.76
2013-09-30,154.64,0.0,154.64,87.4,2.18,9.2,4.67,3.5,17.68,30.01,0.21,30.22,1.79,28.43,28.43,7.12,21.31,21.31,26.61,1.6,1.6,7.41,55.68,5.9,100.0,44.32
2013-12-31,164.76,0.0,164.76,96.46,4.09,10.44,4.96,3.55,14.77,30.49,0.2,30.69,1.94,28.75,28.75,10.05,18.7,18.7,26.61,1.41,1.41,7.38,55.48,5.92,100.0,44.52
2014-03-31,164.48,0.0,164.48,101.27,-2.56,11.48,7.51,2.41,14.49,29.88,0.4,30.27,1.41,28.87,28.87,10.92,17.95,17.95,26.61,1.35,1.35,7.38,55.46,5.92,100.0,44.54
2014-06-30,132.6,0.0,132.6,84.08,-2.68,7.85,5.07,2.41,13.02,22.85,0.38,23.23,1.85,21.38,21.38,5.68,15.7,15.7,26.61,1.18,1.18,7.38,55.46,5.92,100.0,44.54
2014-09-30,195.35,0.0,195.35,118.82,5.01,10.34,5.63,2.37,18.13,35.05,0.39,35.44,1.19,34.25,34.25,12.8,21.45,21.45,26.61,1.61,1.61,7.38,55.46,5.92,100.0,44.54
2014-12-31,171.22,0.0,171.22,105.66,-3.64,9.76,5.91,2.34,20.76,30.43,0.56,30.99,1.21,29.78,29.78,10.29,19.49,19.49,26.61,1.46,1.46,7.38,55.46,5.92,100.0,44.54
2015-03-31,172.8,0.0,172.8,102.58,1.86,8.58,6.63,2.34,20.59,30.22,0.0,30.22,1.38,28.84,28.84,10.81,18.03,18.03,26.61,1.35,1.35,7.38,55.46,5.92,100.0,44.54
2015-06-30,157.84,0.0,157.84,94.24,2.16,6.01,5.78,2.33,16.72,30.6,0.13,30.73,0.89,29.84,29.84,9.62,20.21,20.21,26.61,1.52,1.52,7.38,55.46,5.92,100.0,44.54
2015-09-30,178.09,0.0,178.09,111.39,-4.45,8.6,6.48,2.53,20.78,32.76,0.29,33.04,1.18,31.86,31.86,10.68,21.18,21.18,26.61,1.59,1.59,7.35,55.27,5.95,100.0,44.73
2015-12-31,160.29,0.59,160.88,93.81,-0.66,9.42,6.8,2.5,18.7,30.31,0.18,30.5,1.06,29.43,29.43,10.47,18.96,18.96,26.61,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2016-03-31,179.91,0.47,180.38,96.02,8.12,8.48,7.91,2.47,21.36,36.02,0.27,36.29,1.16,35.13,35.13,13.55,21.58,21.58,26.61,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2016-06-30,173.03,0.23,173.26,105.03,-8.02,8.72,7.23,2.46,20.71,37.12,0.38,37.5,1.6,35.89,35.89,11.21,24.68,24.68,26.61,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2016-09-30,95.95,4.06,100.01,58.22,-1.42,4.71,5.32,2.79,15.16,15.22,0.36,15.58,1.11,14.47,14.47,5.3,9.16,9.16,26.61,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2016-12-31,217.13,8.68,225.81,109.48,3.33,9.48,12.17,2.71,29.41,59.22,0.19,59.41,1.18,58.23,58.23,20.33,37.9,37.9,26.61,2.85,2.85,0.0,0.0,0.0,0.0,0.0
