Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments,Trade/Other Goods
2004-03-31,13.3,13.3,42.94,42.94,56.25,4.23,0.0,0.0,0.0,4.23,6.01,1.28,1.96,5.25,14.51,74.98,28.62,0.0,2.02,30.64,7.74,0.0,38.38,7.45,9.47,9.35,0.0,36.61,74.98,2.15,0.18,0.0,72.28,0.0,0.0,0.0,7.6,0.0,10.34,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,13.3,13.3,68.76,68.76,82.07,23.68,0.0,0.0,0.0,23.68,18.25,2.76,2.37,4.67,28.05,133.79,30.39,0.0,48.64,79.03,7.65,0.0,86.67,12.49,18.55,6.57,0.0,47.12,133.79,3.61,0.19,0.0,104.37,0.46,0.0,0.0,7.63,0.0,9.51,64.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,13.3,13.3,94.2,94.2,107.5,69.76,4.95,0.0,0.0,74.71,26.21,2.64,3.98,5.46,38.28,220.49,103.81,0.0,26.1,129.91,7.65,0.0,137.56,15.94,29.22,14.65,0.0,82.93,220.49,9.99,2.59,0.0,143.97,0.14,0.0,0.0,7.63,0.0,23.12,68.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,13.3,13.3,123.99,123.99,137.3,155.64,7.2,0.0,0.0,162.85,38.17,7.98,6.28,10.67,63.1,363.24,119.0,0.0,120.7,239.7,7.65,0.0,247.35,42.64,39.85,7.68,0.0,115.89,363.24,3.64,4.83,0.0,2.07,0.63,0.0,0.0,7.65,0.0,25.73,148.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,13.3,13.3,151.4,151.4,164.71,130.99,9.75,0.0,0.0,140.74,56.28,6.04,18.26,12.51,93.08,398.52,231.53,0.0,20.68,252.22,7.65,0.0,259.86,51.87,36.3,6.99,0.0,138.66,398.52,0.32,5.36,0.0,233.63,0.13,0.0,0.0,7.65,0.0,43.51,118.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,13.3,13.3,162.36,162.36,175.66,119.42,14.38,0.0,0.0,133.8,71.85,7.2,6.03,8.6,93.68,403.14,229.8,0.0,30.49,260.28,18.04,0.0,278.32,47.24,46.81,7.13,0.0,124.82,403.14,0.32,3.48,0.0,238.91,0.12,0.0,0.0,18.02,0.0,23.63,131.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,13.3,13.3,187.03,187.03,200.34,63.32,17.44,0.0,0.0,80.76,92.76,10.67,7.18,11.15,121.76,402.85,211.15,0.0,30.68,241.84,18.04,0.0,259.88,64.0,42.03,2.56,0.0,142.98,402.85,0.32,1.54,0.0,273.04,0.12,0.0,0.0,18.02,0.0,34.38,125.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,13.3,13.3,210.93,210.93,224.24,24.95,19.88,0.0,0.0,44.83,108.42,10.2,28.35,4.33,151.3,420.37,228.0,0.0,0.0,228.0,37.55,0.0,266.98,81.27,51.2,4.53,0.25,153.39,420.37,137.93,1.07,0.0,337.04,0.12,0.0,0.0,37.54,1.43,16.14,104.4,3.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,13.3,13.3,239.73,239.73,253.04,5.22,21.69,0.0,0.0,26.91,125.41,17.48,24.36,7.96,175.21,455.16,213.96,0.0,0.23,214.19,37.55,0.0,254.9,107.36,66.22,4.36,0.46,200.26,455.16,190.74,0.63,0.0,461.86,0.13,0.0,0.0,37.54,3.16,21.86,221.15,4.58,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,13.3,13.3,286.59,286.59,299.9,15.65,22.87,0.0,0.0,38.53,122.89,25.09,20.62,7.89,176.5,514.92,180.76,0.0,0.0,180.76,80.04,0.0,289.96,125.61,71.76,2.4,0.27,224.96,514.92,189.02,0.17,0.73,528.74,0.11,0.0,0.94,80.02,29.16,24.92,300.72,3.29,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,26.61,26.61,327.87,327.87,354.48,4.47,23.32,0.0,0.0,27.79,105.48,16.97,19.39,21.46,163.29,545.56,174.77,0.0,0.21,174.98,138.62,0.0,316.33,113.85,74.48,4.98,0.4,229.23,545.56,194.81,0.11,0.48,554.18,0.16,13.3,0.03,138.61,2.73,35.52,260.71,5.46,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.61,26.61,378.18,378.18,404.79,0.0,24.32,0.0,0.0,24.32,93.31,34.45,15.13,24.29,167.18,596.29,168.77,0.0,6.75,175.52,150.96,0.0,331.4,128.8,89.98,3.03,0.49,264.9,596.29,159.2,0.31,1.03,601.85,0.2,13.3,0.04,150.95,4.92,42.6,333.97,5.24,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,26.61,26.61,420.1,420.1,446.7,0.0,28.47,0.58,0.0,29.05,114.47,7.12,18.5,19.42,159.52,635.27,209.18,0.14,0.0,209.32,150.96,0.0,399.37,95.02,91.74,3.85,0.65,235.91,635.27,321.54,0.8,2.17,636.14,0.13,13.3,0.52,150.95,39.09,44.64,325.74,3.36,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.61,26.61,510.95,510.95,537.55,0.0,38.24,0.0,0.0,38.24,98.45,6.22,21.38,3.09,129.14,704.94,214.82,0.08,0.16,215.06,153.92,39.32,408.3,137.15,104.47,5.56,49.46,296.64,704.94,154.68,360.73,0.0,639.09,0.14,13.3,0.0,153.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.61,26.61,568.05,568.05,594.66,181.75,39.21,0.0,0.0,220.96,126.61,7.96,31.62,0.0,166.2,981.82,211.6,0.03,213.43,425.06,157.89,40.11,623.06,144.98,124.98,8.03,80.77,358.76,981.82,93.42,424.68,0.0,737.96,0.07,13.3,0.0,157.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,26.61,26.61,622.44,622.44,649.04,192.65,39.87,3.12,0.0,235.63,168.46,54.31,105.38,0.0,328.15,1212.82,220.43,0.01,424.13,644.56,158.58,41.92,845.06,145.19,148.91,38.98,34.68,367.76,1212.82,77.1,374.32,0.0,689.74,29.4,13.3,0.0,158.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,26.61,26.61,765.81,765.81,792.41,219.46,47.05,8.75,0.0,275.25,142.7,17.15,120.42,0.0,280.27,1347.93,567.12,0.01,97.1,664.23,158.59,47.78,870.59,187.54,215.55,18.45,55.81,477.34,1347.93,77.05,323.42,0.0,720.18,131.29,13.3,0.0,158.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,26.61,26.61,901.78,901.78,928.38,131.91,49.73,4.86,0.77,187.27,191.5,15.67,142.66,0.3,350.14,1465.79,661.66,0.01,77.9,739.57,157.11,48.46,945.13,249.63,136.63,68.8,65.6,520.66,1465.79,70.65,313.86,0.0,660.53,62.18,13.3,0.0,157.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
