Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1029.02,17.8,1046.83,668.13,30.29,-0.23,98.13,13.26,138.63,98.61,12.37,110.99,1.98,109.01,0.0,109.01,32.65,76.36,0.0,76.36,23.83,6.41,6.41,4.53,38.02,7.39,100.0,61.98
2013-03-31,1448.73,19.47,1468.2,962.37,35.35,4.97,107.78,14.51,190.47,152.73,24.43,177.16,0.47,176.69,0.0,176.69,61.37,115.32,0.0,115.32,23.83,9.68,9.68,4.53,38.02,7.39,100.0,61.98
2013-06-30,851.02,11.8,862.82,484.74,19.57,-1.7,99.12,14.24,179.68,67.18,8.14,75.32,0.79,74.53,0.0,74.53,24.28,50.25,0.0,50.25,23.83,4.22,4.22,4.53,38.02,7.39,100.0,61.98
2013-09-30,1029.64,13.63,1043.27,648.57,23.94,-0.85,100.76,14.0,177.19,79.66,7.54,87.2,1.9,85.3,0.0,85.3,55.14,30.17,0.0,30.17,23.83,2.53,2.53,4.53,38.02,7.39,100.0,61.98
2013-12-31,1001.85,11.92,1013.77,643.76,37.67,-1.14,103.88,14.72,138.75,76.13,22.91,99.04,2.28,96.76,0.0,96.76,30.11,66.65,0.0,66.65,23.83,5.59,5.59,4.53,38.02,7.39,100.0,61.98
2014-03-31,1357.45,25.07,1382.53,881.95,28.63,-0.39,118.87,14.81,219.59,119.06,35.12,154.18,3.88,150.3,0.0,150.3,44.39,105.91,0.0,105.91,23.83,8.89,8.89,4.53,38.02,7.39,100.0,61.98
2014-06-30,830.71,8.7,839.41,503.06,20.89,-8.18,102.73,14.95,163.18,42.78,19.1,61.87,2.97,58.91,0.0,58.91,17.5,41.41,0.0,41.41,23.83,3.47,3.47,4.53,38.02,7.39,100.0,61.98
2014-09-30,1181.31,9.45,1190.77,728.29,43.29,3.4,113.75,18.21,179.81,104.02,23.2,127.21,2.41,124.8,0.0,124.8,38.79,86.01,0.0,86.01,23.83,7.22,7.22,4.53,38.02,7.39,100.0,61.98
2014-12-31,1135.5,11.06,1146.56,714.77,34.99,-9.55,107.82,15.65,167.15,115.73,7.09,122.82,1.9,120.92,0.0,120.92,44.71,76.21,0.0,76.21,23.83,6.4,6.4,4.53,38.02,7.39,100.0,61.98
2015-03-31,1498.36,22.32,1520.68,935.78,52.51,22.83,125.97,15.3,226.35,141.94,62.89,204.83,12.41,192.42,0.0,192.42,60.1,132.31,0.0,132.31,23.83,11.1,11.1,4.53,38.02,7.39,100.0,61.98
2015-06-30,1009.49,7.82,1017.31,566.37,25.11,-6.69,110.07,15.76,243.64,63.05,21.02,84.07,1.15,82.92,0.0,82.92,27.08,55.84,0.0,55.84,23.83,4.69,4.69,4.53,38.02,7.39,100.0,61.98
2015-09-30,1071.98,10.95,1082.93,603.27,3.02,26.0,101.29,15.65,258.66,75.04,19.45,94.49,1.19,93.3,0.0,93.3,31.5,61.8,0.0,61.8,23.83,5.18,5.18,0.0,0.0,0.0,0.0,0.0
2015-12-31,1020.22,15.19,1035.41,598.56,9.9,-4.68,117.14,16.01,233.86,64.62,24.76,89.38,1.19,88.19,0.0,88.19,24.46,63.73,0.0,63.73,23.83,5.35,5.35,0.0,0.0,0.0,0.0,0.0
2016-03-31,1291.96,0.0,1291.96,739.93,27.15,-21.02,121.71,13.47,300.16,110.56,48.79,159.35,1.07,158.28,0.0,158.28,42.16,116.12,0.0,116.12,23.83,9.75,9.75,0.0,0.0,0.0,0.0,0.0
2016-06-30,791.44,0.0,791.44,357.14,14.95,19.07,116.33,16.81,220.23,46.91,21.09,68.0,0.67,67.33,0.0,67.33,22.11,45.22,0.0,45.22,23.83,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2016-09-30,845.06,25.72,870.78,457.68,14.71,-5.86,102.59,16.64,224.34,60.68,28.86,89.54,0.71,88.83,0.0,88.83,29.17,59.66,0.0,59.66,23.83,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,784.72,0.0,784.72,395.9,18.73,-4.81,109.58,15.73,184.66,64.93,20.59,85.52,0.55,84.97,0.0,84.97,28.31,56.66,0.0,56.66,23.83,4.76,4.76,0.0,0.0,0.0,0.0,0.0
2017-03-31,1342.84,0.0,1342.84,772.34,22.66,-2.2,130.42,16.25,267.53,135.84,32.11,167.95,1.66,166.29,-132.84,33.45,50.16,-16.71,0.0,-16.71,23.83,-1.4,-1.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,713.38,0.0,713.38,372.04,13.25,-16.23,111.59,14.95,189.81,27.97,22.23,50.2,0.46,49.74,0.0,49.74,17.3,32.44,0.0,32.44,23.83,2.72,2.72,0.0,0.0,0.0,0.0,0.0
2017-09-30,863.87,0.0,863.87,478.65,16.54,-8.98,113.85,14.97,177.72,71.12,21.87,92.99,3.83,89.16,0.0,89.16,32.32,56.84,0.0,56.84,23.83,4.77,4.77,0.0,0.0,0.0,0.0,0.0
