Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,23.83,23.83,2001.16,2001.16,2024.99,159.32,0.0,173.56,188.71,841.22,1387.4,237.97,2655.3,4853.85,609.85,30.57,23.5,0.0,663.92,462.08,0.0,20.87,173.15,1320.02,633.44,252.85,1352.36,320.14,187.9,787.14,3533.83,4853.85,278.79,65.04,1014.55,23.84,3.42,0.11,480.09,266.15,367.3,0.6,175.37,93.23,6.98,11.12,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.83,23.83,2242.99,2242.99,2266.82,46.16,0.0,46.88,31.03,863.46,1366.59,277.86,2538.94,4852.64,583.8,25.51,39.17,0.0,648.48,474.19,17.76,15.78,204.66,1360.87,783.07,226.23,1526.77,222.24,155.76,577.7,3491.77,4852.64,1286.16,103.81,993.09,33.0,3.42,0.44,488.11,783.38,0.0,0.72,167.08,109.18,5.91,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.83,23.83,2463.29,2463.29,2487.12,62.08,3.51,66.14,90.75,826.88,1195.96,292.3,2405.89,4959.15,563.72,21.88,26.71,32.21,644.52,667.18,54.56,217.81,63.33,1647.4,838.69,224.77,1390.93,178.36,175.14,503.86,3311.75,4959.15,1912.11,89.21,1414.12,23.26,3.42,0.47,681.1,0.0,838.69,0.55,101.63,133.64,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.83,23.83,2385.93,2385.93,2409.76,59.47,9.74,69.21,66.22,924.51,995.69,130.21,2116.63,4595.6,520.59,34.04,126.28,2.83,683.74,639.73,103.73,11.72,296.45,1735.37,764.73,228.65,955.37,70.93,39.03,801.52,2860.23,4595.6,422.67,0.0,0.0,0.0,3.42,0.0,81.63,0.0,764.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.83,23.83,2541.73,2541.73,2565.56,60.42,9.84,70.26,116.49,943.12,1531.51,148.19,2739.31,5375.13,645.54,25.94,92.33,0.0,763.81,639.29,104.17,13.59,282.84,1803.7,1156.51,298.3,1139.3,119.35,5.29,852.68,3571.43,5375.13,547.0,631.0,0.0,545.0,3.42,0.0,84.13,0.0,1156.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,23.83,23.83,2712.02,2712.02,2735.85,51.11,7.49,58.6,40.0,798.94,2434.33,71.13,3344.4,6138.85,697.97,14.91,29.17,0.0,742.05,767.48,49.35,12.09,240.86,1811.83,656.92,230.44,836.9,118.76,12.54,2471.46,4327.02,6138.85,2005.33,0.0,0.0,1010.0,3.42,0.18,121.68,0.0,656.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,23.83,23.83,2713.66,2713.66,2737.49,61.16,11.13,72.29,72.38,602.59,836.47,88.62,1600.06,4409.84,732.94,15.14,55.42,0.0,803.5,772.36,40.38,232.5,238.03,2086.77,637.14,255.01,753.36,230.12,90.41,357.03,2323.07,4409.84,2784.41,0.0,0.0,898.0,3.42,0.08,118.91,0.0,637.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,23.83,23.83,2855.55,2855.55,2879.38,104.44,11.79,116.23,140.75,841.26,949.01,105.84,2036.86,5032.47,753.88,16.8,20.26,3.1,794.04,788.17,53.28,11.61,301.0,1948.1,114.94,245.94,823.52,1386.78,78.83,434.36,3084.37,5032.47,2687.04,0.0,0.0,610.0,3.42,119.0,64.07,114.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,23.83,23.83,2977.17,2977.17,3001.0,86.17,18.06,104.23,180.0,975.34,1037.31,127.59,2320.24,5425.47,718.57,27.53,14.97,0.0,761.07,1460.95,48.64,2.74,434.68,2708.08,534.3,370.35,953.37,441.57,1.49,416.31,2717.39,5425.47,2580.18,256.0,0.0,942.0,3.42,561.78,209.82,452.17,82.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,23.83,23.83,3193.93,3193.93,3217.76,36.96,24.08,61.04,220.0,1038.08,1502.85,111.58,2872.51,6151.31,692.87,20.93,44.91,0.0,758.71,1086.01,47.86,2.68,345.81,2241.07,1183.88,390.78,1210.22,408.48,171.87,545.01,3910.24,6151.31,3028.22,442.0,0.0,1437.0,3.42,0.0,72.46,662.64,521.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,23.83,23.83,3512.87,3512.87,3536.7,48.12,26.15,74.27,307.8,1072.83,1561.49,194.28,3136.4,6747.37,727.81,21.7,107.23,4.38,861.12,1427.46,52.49,7.98,352.88,2701.93,965.79,397.33,1501.64,346.76,183.8,650.12,4045.44,6747.37,1650.9,455.0,0.0,1296.0,3.42,0.0,149.31,682.18,283.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
