Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,23.83,71.49,319.17,319.17,390.66,0.0,0.0,16.19,0.0,73.19,115.22,38.11,226.52,633.37,80.8,0.0,2.33,0.0,83.13,276.08,8.42,0.0,1.12,368.75,0.0,71.05,117.99,18.63,50.12,6.83,264.62,633.37,55.2,15.41,111.57,1.51,3.42,241.74,39.5,0.0,0.0,0.0,61.17,0.0,0.0,0.73,16.19,47.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.83,71.49,338.6,338.6,410.09,0.0,0.0,16.1,0.0,137.3,189.28,41.64,368.22,794.41,92.12,0.52,9.42,0.0,102.06,316.16,7.9,0.0,0.71,426.83,0.0,105.57,172.86,11.15,69.52,8.48,367.58,794.41,54.29,16.68,178.92,1.95,3.42,278.67,49.27,0.0,0.0,0.0,91.51,0.0,0.0,6.87,16.1,47.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.83,23.83,454.76,454.76,478.59,0.0,0.0,19.1,0.0,162.49,381.66,60.34,604.49,1102.18,129.87,3.37,4.91,0.0,138.15,420.7,9.81,0.0,0.2,568.86,0.0,162.28,226.3,36.11,86.2,22.43,533.32,1102.18,99.01,31.7,240.4,1.6,3.42,393.94,32.01,0.0,0.0,0.0,155.9,0.0,0.0,1.17,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.83,23.83,555.36,555.36,579.19,0.0,0.0,19.68,0.0,308.03,722.47,76.98,1107.48,1706.35,153.23,4.65,22.23,0.0,180.11,598.0,9.29,0.0,0.1,787.5,0.0,275.56,382.51,62.47,176.39,21.92,918.85,1706.35,227.93,36.19,303.98,1.65,3.42,573.82,33.89,0.0,0.0,0.0,251.93,0.0,0.0,6.39,19.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,23.83,23.83,712.31,712.31,736.14,0.0,0.0,31.07,0.0,437.95,589.65,136.48,1164.08,1931.29,267.66,10.94,56.25,0.0,334.85,579.74,15.99,0.0,0.0,930.58,0.0,199.52,505.31,27.91,181.81,86.16,1000.71,1931.29,184.2,62.56,343.44,9.04,3.42,111.93,64.02,0.0,0.0,0.0,305.41,0.0,0.0,21.85,31.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.83,23.83,938.06,938.06,961.89,0.0,0.0,36.21,0.0,415.15,759.73,115.3,1290.18,2288.28,422.08,17.83,21.05,0.0,460.96,196.84,18.16,0.0,0.0,675.96,0.0,266.42,540.78,340.78,198.78,265.56,1612.32,2288.28,221.38,61.35,627.57,17.03,3.42,22.72,74.07,0.0,0.0,0.0,270.99,0.0,0.0,35.64,36.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,23.83,23.83,1026.96,1026.96,1050.79,0.0,0.0,43.63,0.0,753.9,1192.89,97.45,2044.24,3138.66,471.93,21.92,13.84,0.0,507.69,378.16,26.42,0.0,0.0,912.27,0.0,246.36,747.05,605.55,298.75,328.68,2226.39,3138.66,227.72,225.95,700.86,12.63,3.42,10.7,88.64,0.0,0.0,0.0,292.32,0.0,0.0,23.06,43.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,23.83,23.83,1268.51,1268.51,1292.34,11.07,0.0,31.28,48.04,844.55,1154.59,259.72,2306.9,3630.52,471.75,14.86,29.73,0.0,516.34,260.91,0.0,26.08,169.33,972.66,143.45,282.32,961.17,595.69,183.11,492.12,2657.86,3630.52,408.89,64.37,612.2,5.4,3.42,0.19,281.41,54.45,89.0,0.08,325.43,142.39,8.46,1.52,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,23.83,23.83,1577.35,1577.35,1601.18,21.96,0.0,45.02,166.36,895.44,1016.0,245.73,2323.53,3969.73,498.79,32.83,41.97,0.0,573.59,350.97,0.0,30.15,102.0,1056.71,201.72,279.22,1245.63,569.75,158.12,458.58,2913.02,3969.73,364.83,96.02,725.73,6.14,3.42,0.18,369.97,70.38,131.34,0.08,464.97,116.78,6.32,3.17,22.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,23.83,23.83,1845.44,1845.44,1869.27,41.89,0.0,67.04,11.91,888.05,1012.13,255.74,2167.83,4104.14,527.55,27.06,90.9,0.0,645.51,393.69,0.0,26.17,198.3,1263.67,410.29,210.33,1423.89,222.62,125.05,448.29,2840.47,4104.14,285.53,67.67,656.72,14.0,3.42,0.11,411.7,229.38,183.68,0.43,131.19,70.8,5.12,14.62,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
