Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,184.43,184.43,0.0,31.92,35.86,235.26,-118.61,480.09,361.48,435.67,-74.19,0.0,-74.19,-32.08,-42.11,0.0,0.0,-42.11,339.73,0.0,-0.25,-0.25,36.39,21.42,133.48,100.0,78.58
2013-03-31,817.19,817.19,0.0,39.19,34.83,239.91,503.26,186.84,690.1,420.32,269.78,0.0,269.78,61.37,208.41,-12.35,0.0,196.06,339.74,0.0,1.15,1.15,36.39,21.42,133.48,100.0,78.58
2013-06-30,766.66,766.66,0.0,25.41,35.8,264.17,441.28,271.17,712.45,427.09,285.36,-68.0,217.36,67.2,150.16,0.0,0.0,150.16,355.96,0.0,0.86,0.86,44.5,25.0,133.48,100.0,75.0
2013-09-30,484.22,484.22,0.0,33.78,14.28,368.59,67.57,393.22,460.79,419.63,41.16,92.61,133.77,50.74,83.03,0.0,0.0,83.03,356.16,0.0,0.47,0.47,44.6,25.05,133.48,100.0,74.95
2013-12-31,702.53,702.53,0.0,22.46,12.96,192.9,474.21,132.21,606.42,417.5,188.92,-411.39,-222.47,-106.81,-115.66,0.0,0.0,-115.66,356.29,0.0,-0.65,-0.65,44.66,25.07,133.48,100.0,74.93
2014-03-31,432.53,432.53,0.0,26.83,14.94,218.3,172.46,643.34,815.8,402.59,413.21,-3.38,409.83,-2.31,412.14,0.0,-2.83,409.31,356.29,16284.73,2.3,2.29,44.66,25.07,133.48,100.0,74.93
2014-06-30,537.9,537.9,0.0,24.04,14.88,217.76,281.22,224.48,505.7,377.9,127.8,-29.49,98.31,25.67,72.64,0.0,0.0,72.64,356.32,0.0,0.41,0.41,44.68,25.08,133.48,100.0,74.92
2014-09-30,796.93,796.93,0.0,20.7,13.94,299.43,462.86,208.98,671.84,358.06,313.78,0.0,313.78,91.68,222.1,-1.36,0.0,220.74,356.39,0.0,1.24,1.24,44.71,25.09,133.48,100.0,74.91
2014-12-31,864.0,864.0,0.0,26.94,14.05,407.78,415.23,154.34,569.57,342.75,226.82,0.0,226.82,68.85,157.97,0.0,-0.62,157.35,356.39,0.0,0.88,0.88,44.71,25.09,133.48,100.0,74.91
2015-03-31,817.86,817.86,0.0,35.9,12.95,348.82,420.19,457.39,877.58,324.63,552.95,0.0,552.95,91.36,461.59,27.75,0.0,489.34,356.39,0.0,2.75,2.74,44.71,25.09,133.48,100.0,74.91
