Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Employees Stock Options,Deferred Tax Liabilities [Net],Capital Work-In-Progress,Raw Materials,Equity Share Application Money,Capital Goods,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,3.5,3.5,453.8,462.4,465.9,0.0,561.1,0.0,0.0,642.0,0.0,0.0,521.4,0.0,521.4,1629.3,56.9,0.0,0.0,0.0,59.3,177.3,0.0,0.0,0.0,236.6,0.0,772.2,105.5,10.7,499.5,4.8,1392.7,1629.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.3,0.0,0.0,0.0,0.0,80.9,2.4,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.51,3.51,380.42,380.42,383.93,0.0,595.53,0.0,0.0,603.82,37.57,37.9,1241.0,58.62,1375.09,2362.84,71.79,0.22,0.0,0.0,478.64,173.82,2.63,0.0,0.0,655.09,0.0,718.48,3.98,22.0,963.3,0.0,1707.76,2362.84,502.91,3.19,0.0,0.0,76.26,0.0,0.0,173.82,0.0,0.0,0.0,0.0,8.3,406.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,37.77,37.77,607.16,607.16,644.93,0.0,2670.77,0.0,0.0,2680.16,343.15,43.55,1144.39,169.61,1700.7,5025.8,79.67,0.0,0.0,0.0,536.4,1397.28,3.69,0.0,0.0,1937.37,0.0,472.12,26.55,126.97,2462.79,0.0,3088.43,5025.8,1643.36,7.74,0.0,0.0,111.76,0.0,0.0,1397.28,0.0,0.0,0.0,0.0,9.39,456.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,305.88,305.88,346.92,346.92,652.8,0.0,5706.9,0.0,0.0,5730.94,1062.4,84.01,2951.62,723.25,4821.28,11205.02,328.57,0.0,0.0,0.0,993.6,769.17,3.8,0.0,0.0,1766.57,0.0,4281.07,173.79,179.49,4804.1,0.0,9438.45,11205.02,3818.81,55.79,0.0,0.0,199.04,267.65,10.19,758.98,0.0,0.0,0.0,0.0,24.05,665.03,3.71,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,340.96,340.96,10928.19,10928.19,11269.15,0.0,4645.29,0.0,0.0,4678.6,3741.12,570.86,1927.04,1255.16,7494.19,23441.93,1465.58,8.79,0.0,0.0,3256.16,1839.83,4.36,0.0,0.0,5100.35,0.0,5928.13,930.18,994.82,10488.44,0.0,18341.58,23441.93,3047.92,109.23,25.77,0.0,120.31,267.72,30.92,1808.92,0.0,0.0,0.0,0.0,33.31,1781.79,43.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,339.44,339.44,12035.39,12035.39,12374.82,0.0,7214.2,0.0,0.0,7279.36,2400.77,292.67,1341.91,1458.64,5494.0,25148.19,1787.26,28.27,0.0,0.0,3473.26,2956.32,6.84,0.0,0.0,6436.41,0.0,6627.43,212.89,761.2,11110.25,0.0,18711.78,25148.19,4875.99,62.99,0.0,0.0,99.28,267.72,0.0,2956.32,0.0,0.0,0.0,0.0,65.17,1657.73,72.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,339.48,339.48,12490.53,12490.53,12830.01,0.0,12473.89,0.0,0.0,12555.9,163.96,458.88,1506.48,1435.66,3564.98,28950.89,1693.37,35.64,0.0,0.0,3447.53,6558.88,21.47,0.0,0.0,10027.88,0.0,6533.69,607.96,171.43,11609.93,0.0,18923.01,28950.89,7423.38,158.07,0.0,0.0,122.46,267.72,0.0,6558.88,0.0,0.0,0.0,0.0,82.01,1718.51,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,339.51,339.51,13470.98,13470.98,13810.49,0.0,11183.73,1516.73,8.38,12773.68,2248.09,448.24,4969.69,514.8,8180.83,34765.0,1722.43,20.66,148.4,0.0,3926.88,7029.59,0.0,6039.14,91.49,17087.1,7.65,8389.41,196.95,158.05,4525.24,4400.6,17677.9,34765.0,10141.63,120.52,0.0,0.0,92.16,267.72,0.0,7029.59,0.0,7.65,0.0,0.0,64.84,2035.39,109.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,339.68,339.68,14156.88,14156.88,14496.56,0.0,9573.07,1279.63,9.47,10940.77,2402.05,854.13,6810.18,564.31,10630.68,36068.01,1878.56,90.75,119.18,0.0,4166.26,7034.41,0.0,5037.2,103.73,16341.59,12.24,8111.07,519.28,366.57,5412.03,5305.21,19726.41,36068.01,12730.36,124.14,0.0,0.0,53.38,267.72,0.0,7034.41,0.0,12.24,0.0,0.0,78.61,2077.77,36.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,339.74,339.74,14274.46,14274.46,14614.2,0.0,8272.01,1042.81,11.43,9423.72,2829.02,879.35,8777.03,433.18,12918.58,36956.5,1816.1,210.97,0.08,0.0,4569.62,6691.13,0.0,2632.97,97.45,13991.17,185.42,8875.6,402.48,389.39,5932.71,7179.73,22965.33,36956.5,10887.85,122.65,0.0,0.0,48.53,267.72,0.0,6691.13,185.42,0.0,0.0,0.0,97.47,2542.48,34.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
