Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-12-31,17.4,17.4,116.15,116.15,133.56,0.0,0.0,9.5,4.54,61.18,14.63,16.42,96.77,239.82,45.57,0.16,4.4,0.0,50.13,7.77,5.34,0.0,0.0,63.24,73.05,62.72,22.68,18.14,0.0,176.59,239.82,8.53,8.09,2.83,31.06,5.11,16.54,0.72,7.08,12.7,0.0,0.0,1.29,3.14,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,17.4,17.4,144.97,144.97,162.38,0.0,0.0,5.93,9.85,70.8,12.7,17.84,111.2,279.5,46.14,0.58,1.53,0.0,48.25,7.82,4.48,0.0,0.0,60.55,87.17,68.62,43.71,19.45,0.0,218.95,279.5,45.01,12.36,2.83,44.22,2.81,16.54,0.72,7.13,12.01,0.0,0.0,1.13,1.45,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,17.4,17.4,184.43,184.43,201.83,0.0,0.0,5.59,10.03,89.02,18.44,22.8,140.3,347.72,51.88,1.13,15.59,0.0,68.59,7.82,4.67,0.0,0.0,81.08,96.17,82.59,62.88,25.0,0.0,266.64,347.72,29.03,13.32,3.56,3.53,4.04,16.54,0.69,7.13,10.43,0.0,0.0,10.51,0.92,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,17.4,17.4,220.31,220.31,237.72,0.0,0.0,6.57,24.22,101.78,34.71,22.24,182.94,427.23,69.35,5.91,14.56,0.0,89.82,7.05,6.72,0.0,0.0,103.59,122.59,105.43,53.59,42.03,0.0,323.64,427.23,29.33,13.64,3.9,33.27,2.14,16.54,0.67,6.36,17.07,0.0,0.0,17.8,0.9,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,17.4,17.4,273.85,273.85,291.25,0.0,0.0,8.0,30.96,124.34,34.9,25.79,215.99,515.24,99.49,6.41,33.77,0.0,139.67,6.4,8.71,0.0,0.0,154.77,133.22,137.33,48.58,41.34,0.0,360.46,515.24,29.8,14.76,3.91,82.62,3.58,16.54,40.2,6.36,29.13,0.0,0.0,20.65,0.35,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,17.4,17.4,314.57,314.57,331.98,0.0,0.0,7.84,7.33,125.74,31.49,40.67,205.22,545.04,117.98,6.5,33.43,0.0,157.92,6.36,9.6,0.0,0.0,173.88,116.34,104.05,97.52,53.26,0.0,371.17,545.04,18.35,12.94,3.92,78.16,3.08,16.54,0.0,6.36,32.3,0.0,0.0,12.47,0.2,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,17.4,17.4,345.92,345.92,363.32,0.0,0.0,8.42,13.62,143.53,43.83,42.23,243.21,614.95,144.46,6.87,8.7,0.0,160.02,6.36,13.0,0.0,0.0,179.38,158.5,112.7,99.1,65.28,0.0,435.57,614.95,17.23,14.09,9.01,63.29,7.9,16.54,0.0,6.36,23.06,0.0,0.0,6.64,0.11,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,34.81,34.81,355.31,355.31,390.12,5.3,18.37,23.68,63.16,129.47,77.59,26.17,296.39,710.19,151.32,1.44,6.97,0.0,159.72,6.36,5.23,42.15,4.8,218.26,198.02,182.25,81.74,27.3,2.63,491.93,710.19,107.59,20.1,7.27,70.07,8.27,33.95,0.0,6.36,20.17,0.54,8.98,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,34.81,34.81,391.08,391.08,425.89,5.6,22.77,28.37,16.85,122.65,83.82,34.65,257.97,712.22,156.67,1.79,26.71,0.0,185.17,6.36,7.46,48.7,0.86,248.54,193.54,145.31,100.21,21.87,2.76,463.68,712.22,121.02,20.56,5.76,103.36,7.24,33.95,0.0,6.36,15.25,0.69,9.38,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,34.81,34.81,428.44,428.44,463.25,6.04,23.27,29.31,3.19,121.01,104.55,29.13,257.87,750.43,179.54,1.7,8.24,0.0,189.49,6.32,7.78,56.48,0.0,260.05,183.3,126.02,154.63,23.07,3.35,490.37,750.43,139.27,24.65,7.96,106.75,6.92,33.95,0.0,6.32,13.04,0.5,7.31,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
