Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2014-12-31,34.81,34.81,470.89,470.89,505.69,6.67,29.59,36.26,24.38,153.73,107.69,34.43,320.23,862.18,189.63,1.18,9.96,0.0,200.77,6.32,10.02,54.85,0.0,271.96,201.77,178.01,172.08,32.54,5.83,590.22,862.18,141.42,22.86,6.71,121.01,6.53,33.95,0.0,6.32,26.57,0.14,8.45,11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,34.81,34.81,518.42,518.42,553.23,7.04,29.45,36.49,1.3,154.6,107.57,47.91,311.37,901.09,193.04,1.01,14.22,0.0,208.27,6.32,12.78,49.24,0.0,276.61,182.64,177.11,225.24,35.41,4.09,624.48,901.09,207.35,24.93,8.33,158.77,6.32,33.95,0.0,6.32,46.88,0.0,7.15,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,34.81,34.81,557.13,557.13,591.94,7.54,35.67,43.21,5.18,172.54,102.4,44.66,324.77,959.92,216.31,2.32,16.5,0.0,235.13,6.32,15.7,70.38,0.0,327.52,211.86,179.73,197.38,38.66,4.77,632.4,959.92,251.37,24.32,8.42,113.32,6.05,33.95,0.0,6.32,51.9,0.69,10.52,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,34.81,34.81,627.72,627.72,662.53,0.0,37.34,37.34,12.63,177.76,89.91,49.13,329.43,1029.29,306.35,1.85,4.09,0.0,312.29,6.32,17.58,6.8,56.18,399.16,247.64,255.11,85.78,3.03,38.57,630.13,1029.29,71.68,0.0,0.0,0.0,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,34.81,34.81,678.45,678.45,713.26,0.0,36.58,36.58,43.43,217.7,153.27,41.2,455.6,1205.44,319.19,1.87,4.14,0.0,325.2,6.32,16.14,6.79,45.18,399.62,303.02,290.72,138.24,2.24,71.6,805.82,1205.44,74.1,91.4,0.0,148.0,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,34.81,34.81,745.91,745.91,780.71,0.0,42.44,42.44,60.0,255.53,203.99,45.16,564.68,1387.83,305.67,1.61,34.49,0.0,341.78,6.32,11.92,8.1,32.69,400.81,324.84,296.17,290.0,2.16,73.86,987.03,1387.83,87.25,114.9,0.0,142.5,0.0,33.95,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,34.81,34.81,811.62,811.62,846.43,0.9,45.35,46.25,60.0,262.76,231.23,49.33,603.32,1496.0,317.05,1.37,25.1,0.0,343.52,6.32,16.81,8.13,30.01,404.78,360.88,266.76,403.32,1.87,58.39,1091.21,1496.0,63.55,154.3,0.0,224.3,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,34.81,34.81,929.28,929.28,964.09,2.03,51.67,53.7,0.0,279.15,211.61,54.08,544.83,1562.62,309.3,1.34,39.18,0.0,349.81,6.32,21.97,12.23,52.09,442.42,423.08,277.98,354.5,2.71,61.92,1120.2,1562.62,135.83,159.9,0.0,284.1,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,34.81,34.81,1058.26,1058.26,1093.07,1.95,43.31,45.26,0.0,314.26,270.59,50.29,635.14,1773.47,348.37,1.71,25.14,0.0,375.22,6.32,16.69,9.12,92.34,499.68,561.09,403.65,260.99,3.93,44.13,1273.79,1773.47,224.06,130.1,0.0,236.5,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,34.81,34.81,1213.04,1213.04,1247.84,2.1,43.7,45.8,0.0,343.25,319.49,53.75,716.49,2010.13,397.97,21.02,31.03,1.38,451.39,6.32,17.79,7.39,61.13,544.01,642.63,491.72,274.55,2.8,54.42,1466.12,2010.13,227.79,0.0,0.0,299.9,0.0,33.95,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,34.8,34.8,1390.3,1390.3,1425.1,2.2,56.9,59.1,0.0,375.3,370.1,55.9,801.3,2285.5,421.1,19.3,52.8,0.0,493.2,6.3,19.1,8.0,55.2,581.8,642.8,650.3,323.5,5.3,81.8,1703.7,2285.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
