Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-06-30,25.98,0.0,25.98,4.92,0.73,8.56,11.77,8.74,20.52,0.0,20.52,20.52,6.49,14.03,0.0,14.03,104.5,1.34,1.34
2016-09-30,32.48,0.0,32.48,4.85,0.88,8.72,18.04,9.0,27.03,0.0,27.03,27.03,7.59,19.44,0.0,19.44,104.5,1.86,1.86
2016-12-31,31.45,0.48,31.94,5.6,0.89,10.31,15.14,7.8,22.94,0.0,22.94,22.94,6.74,16.21,-0.31,15.89,104.5,0.0,0.0
2017-03-31,31.22,0.0,31.22,7.26,1.0,9.68,13.28,8.06,21.34,0.0,21.34,21.34,3.17,18.17,0.0,18.17,104.5,1.74,1.74
2017-06-30,32.48,0.0,32.48,6.41,0.98,9.4,15.69,7.04,22.73,0.0,22.73,22.73,3.41,19.32,0.0,19.32,104.5,1.85,1.85
2017-09-30,38.8,0.0,38.8,5.44,1.33,9.0,23.02,6.3,29.32,0.0,29.32,29.32,8.82,20.5,0.0,20.5,104.5,1.96,1.96
2017-12-31,40.96,0.0,40.96,6.28,1.72,10.97,21.99,4.45,26.44,0.0,26.44,26.44,8.16,18.28,0.0,18.28,104.5,1.75,1.75
2018-03-31,41.93,0.0,41.93,8.58,2.43,9.95,20.97,6.92,27.89,0.0,27.89,27.89,8.3,19.59,0.0,19.59,104.5,1.88,1.88
2018-06-30,36.44,0.0,36.44,7.03,2.26,9.21,17.93,3.97,21.9,0.0,21.9,21.9,5.57,16.33,0.0,16.33,104.5,1.56,1.56
2018-09-30,41.03,0.0,41.03,7.33,1.95,9.33,22.43,7.18,29.6,0.0,29.6,29.6,7.51,22.09,0.0,22.09,104.5,2.12,2.12
2018-12-31,37.48,0.0,37.48,6.71,2.02,12.72,16.02,11.39,27.42,0.0,27.42,27.42,5.89,21.52,0.0,21.52,104.5,2.06,2.06
2019-03-31,37.89,0.0,37.89,8.76,2.03,9.46,17.64,13.1,30.74,0.0,30.74,30.74,6.31,24.43,0.0,24.43,104.5,2.34,2.34
2019-06-30,40.54,0.0,40.54,12.58,2.05,12.22,13.69,11.31,25.01,0.0,25.01,25.01,4.66,20.35,0.0,20.35,104.5,1.95,1.95
2019-09-30,40.59,0.0,40.59,9.67,2.02,12.41,16.49,11.98,28.47,0.0,28.47,28.47,6.53,21.95,0.0,21.95,104.5,2.1,2.1
2019-12-31,41.74,0.0,41.74,10.99,2.21,21.28,7.26,10.42,17.69,0.0,17.69,17.69,3.63,14.06,0.0,14.06,104.5,1.35,1.35
2020-03-31,45.27,0.0,45.27,6.74,2.4,19.62,16.51,9.52,26.03,0.03,26.0,26.0,5.04,20.97,0.0,20.97,104.5,2.01,2.01
