Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,635.24,635.24,187.46,2.17,65.92,18.17,67.2,24.08,54.46,215.79,46.2,261.99,0.47,261.51,0.0,261.51,66.72,194.79,194.79,15.5,12.57,12.57
2020-06-30,884.21,884.21,305.6,4.6,9.75,16.77,72.34,24.23,62.53,388.39,32.08,420.47,0.47,420.0,0.0,420.0,106.41,313.59,313.59,15.5,20.24,20.24
2020-09-30,831.5,831.5,540.3,4.62,-171.41,-16.77,78.56,24.66,98.51,273.04,20.35,293.39,0.76,292.63,0.0,292.63,73.77,218.86,218.86,16.33,13.4,0.0
2020-12-31,859.42,859.42,460.77,2.85,-56.76,0.0,82.17,24.97,106.15,239.27,35.13,274.4,1.16,273.24,0.0,273.24,69.13,204.11,204.11,16.33,12.83,12.82
2021-03-31,887.75,887.75,442.5,4.13,-55.07,19.26,78.3,24.92,70.93,302.79,47.21,350.01,1.02,348.99,0.0,348.99,88.53,260.45,260.45,16.36,15.93,15.88
2021-06-30,1153.9,1153.9,422.59,4.0,109.91,22.23,80.57,25.28,78.3,411.02,61.84,472.86,1.0,471.86,0.0,471.86,121.19,350.68,350.68,16.39,21.41,21.37
2021-09-30,1080.47,1080.47,556.74,8.14,-40.87,0.0,82.32,26.11,97.5,350.53,51.2,401.73,1.02,400.7,0.0,400.7,98.58,302.12,302.12,16.42,18.37,18.37
2021-12-31,1063.33,1063.33,464.58,4.72,34.12,0.0,81.43,27.83,129.2,321.43,45.67,367.1,1.18,365.92,0.0,365.92,92.53,273.38,273.38,16.43,16.64,16.64
2022-03-31,1103.01,1103.01,602.95,8.81,-66.47,25.13,94.25,31.08,89.92,317.36,65.23,382.59,2.03,380.56,0.0,380.56,94.58,285.98,285.98,16.43,17.41,17.36
2022-06-30,856.9,856.9,340.81,4.75,28.5,0.0,98.0,34.91,114.64,235.29,74.39,309.68,0.9,308.78,0.0,308.78,79.33,229.45,229.45,16.47,13.95,13.94
2022-09-30,1048.31,1048.31,504.37,3.79,17.13,0.0,101.16,36.67,126.63,258.56,65.62,324.19,1.72,322.47,0.0,322.47,82.84,239.63,239.63,16.47,14.55,14.55
2022-12-31,925.9,925.9,433.2,3.9,-15.85,0.0,100.52,37.61,120.18,246.35,61.51,307.86,2.62,305.24,0.0,305.24,77.7,227.54,227.54,16.47,13.82,13.81
2023-03-31,785.42,785.42,438.38,3.16,-76.69,29.51,100.02,37.54,121.89,131.61,38.94,170.55,2.18,168.37,-56.46,111.91,32.7,79.21,79.21,16.47,4.81,4.81
2023-06-30,884.07,884.07,391.8,3.79,-20.49,0.0,102.91,38.98,146.7,220.38,35.21,255.59,1.6,253.99,0.0,253.99,66.41,187.58,187.58,16.47,11.39,11.39
2023-09-30,1010.67,1010.67,456.63,6.13,-22.74,0.0,99.88,40.24,123.67,306.86,41.11,347.98,0.91,347.06,0.0,347.06,89.54,257.53,257.53,16.47,15.64,15.63
2023-12-31,1097.86,1097.86,378.43,6.38,103.7,28.62,99.29,40.33,111.95,329.16,43.39,372.55,0.8,371.76,0.0,371.76,94.95,276.81,276.81,16.47,16.81,16.8
2024-03-31,1174.83,1174.83,482.88,6.83,26.97,28.91,107.87,42.56,88.55,390.27,46.96,437.22,4.53,432.69,0.0,432.69,111.28,321.41,321.41,16.47,19.51,19.51
2024-06-30,1012.02,1012.02,367.69,6.58,104.26,29.42,107.68,40.82,102.86,252.74,48.49,301.23,0.91,300.32,0.0,300.32,77.39,222.92,222.92,16.48,13.53,13.53
2024-09-30,1062.99,1062.99,399.87,2.67,67.74,30.08,106.29,41.62,92.55,322.19,57.8,379.99,0.17,379.82,0.0,379.82,98.11,281.71,281.71,16.48,17.1,17.1
2024-12-31,1010.78,1010.78,348.91,2.15,25.53,32.26,105.36,43.77,105.43,347.38,65.06,412.44,18.31,394.13,0.0,394.13,99.01,295.12,295.12,16.48,17.91,17.91
2025-03-31,1030.35,1030.35,469.39,3.1,-67.28,28.63,119.7,43.07,82.7,351.05,43.72,394.77,3.45,391.32,0.0,391.32,101.32,290.0,290.0,16.48,17.6,17.6
