Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,208.94,12.32,221.26,112.77,7.31,27.1,4.98,34.38,34.73,4.23,38.96,0.01,38.96,38.96,10.8,28.16,28.16,9.48,14.84,14.84,0.47,25.0,1.42,100.0,75.0
2013-03-31,231.95,12.52,244.46,129.21,3.56,26.3,7.6,39.05,38.74,1.37,40.11,0.01,40.11,40.11,12.14,27.96,27.96,9.48,14.74,14.74,0.47,25.0,1.42,100.0,75.0
2013-06-30,248.91,13.91,262.82,150.99,-4.89,29.6,6.64,42.39,38.08,12.85,50.93,0.0,50.93,50.93,15.55,35.39,35.39,9.48,18.66,18.66,0.47,25.0,1.42,100.0,75.0
2013-09-30,256.88,15.72,272.6,155.65,3.28,31.32,7.37,46.35,28.63,12.92,41.55,0.1,41.45,41.45,12.34,29.11,29.11,9.48,15.35,15.35,0.47,25.0,1.42,100.0,75.0
2013-12-31,241.43,18.24,259.67,142.46,3.43,31.03,8.54,46.73,27.47,2.97,30.44,0.01,30.44,30.44,10.24,20.2,20.2,9.48,10.65,10.65,0.47,25.0,1.42,100.0,75.0
2014-03-31,298.61,17.0,315.61,183.78,-0.83,33.31,9.6,53.11,36.65,1.64,38.28,0.04,38.24,38.24,5.47,32.78,32.78,9.48,17.28,17.28,0.47,25.0,1.42,100.0,75.0
2014-06-30,305.04,18.55,323.59,190.44,-4.43,34.96,10.7,52.48,39.44,3.35,42.79,0.0,42.79,42.79,12.13,30.66,30.66,9.48,16.17,16.17,0.47,25.0,1.42,100.0,75.0
2014-09-30,303.66,19.34,323.0,189.11,0.75,34.38,11.56,48.07,39.13,5.1,44.23,0.14,44.09,44.09,12.83,31.26,31.26,9.48,16.48,16.48,0.47,25.0,1.42,100.0,75.0
2014-12-31,300.49,17.69,318.18,191.25,-2.2,34.7,12.31,46.84,35.28,4.51,39.79,0.05,39.74,39.74,11.41,28.33,28.33,9.48,14.94,14.94,0.47,25.0,1.42,100.0,75.0
2015-03-31,362.34,20.86,383.2,222.48,5.55,39.4,12.09,59.4,44.27,5.9,50.17,0.17,50.0,50.0,19.61,30.4,30.4,9.48,16.03,16.03,0.47,25.0,1.42,100.0,75.0
