Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,295.21,1.49,296.7,203.63,0.0,-12.4,23.66,4.81,47.57,29.43,10.55,39.98,0.1,39.88,0.0,39.88,5.72,34.16,34.16,27.0,12.65,12.58,1.21,44.81,1.49,100.0,55.19
2013-03-31,331.04,2.76,333.8,213.52,0.0,-2.26,23.46,5.98,40.0,53.1,68.19,121.29,0.05,121.24,0.0,121.24,24.04,97.2,97.2,27.0,36.0,35.77,1.21,44.81,1.49,100.0,55.19
2013-06-30,376.02,5.8,381.82,245.24,0.0,-0.38,27.22,7.53,41.66,60.55,7.71,68.26,0.03,68.23,0.0,68.23,15.61,52.62,52.62,27.01,19.48,19.38,1.21,44.82,1.49,100.0,55.18
2013-09-30,457.59,1.38,458.97,287.71,4.35,-10.24,28.05,8.0,60.6,80.5,2.12,82.62,0.05,82.57,0.0,82.57,20.78,61.79,61.79,27.01,22.88,22.72,1.21,44.82,1.49,100.0,55.18
2013-12-31,525.44,2.44,527.88,329.05,4.5,-19.08,32.17,8.9,75.75,96.59,2.08,98.67,0.14,98.53,0.0,98.53,24.1,74.43,74.43,27.04,27.54,27.39,1.21,44.88,1.49,100.0,55.12
2014-03-31,633.39,2.34,635.73,381.83,5.97,1.77,34.98,10.91,64.41,135.86,84.86,220.72,1.05,219.67,0.0,219.67,59.05,160.62,160.62,27.05,59.39,59.06,1.22,44.92,1.49,100.0,55.08
2014-06-30,742.53,3.66,746.19,448.56,6.54,-11.56,40.38,11.51,76.17,174.59,13.52,188.11,0.06,188.05,0.0,188.05,54.81,133.24,133.24,27.09,49.21,48.98,1.22,44.99,1.49,100.0,55.01
2014-09-30,816.01,5.14,821.15,495.3,8.87,-19.18,42.06,12.83,88.86,192.41,12.79,205.2,0.08,205.12,0.0,205.12,64.14,140.98,140.98,27.1,52.02,51.79,1.22,45.01,1.49,100.0,54.99
2014-12-31,822.78,5.37,828.15,493.39,10.35,-14.2,43.48,14.91,99.68,180.54,5.13,185.67,0.48,185.19,0.0,185.19,61.11,124.08,124.08,27.1,45.78,45.56,1.22,45.02,1.49,100.0,54.98
2015-03-31,956.7,4.46,961.16,561.67,11.84,-25.15,50.6,19.09,111.0,232.11,64.91,297.02,0.55,296.47,0.0,296.47,83.02,213.45,213.45,27.11,78.75,78.35,1.22,45.02,1.49,100.0,54.98
