Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Revaluation Reserves,Deferred Tax Assets [Net],Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,36.55,36.55,0.04,0.04,36.58,47.2,0.0,0.0,0.0,47.2,0.0,0.0,0.25,0.0,0.25,84.03,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0,62.43,0.0,83.82,84.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,49.93,49.93,6.33,343.41,393.34,531.04,20.19,0.0,0.0,551.23,23.38,113.22,125.38,0.0,261.98,1206.55,895.82,7.43,17.84,921.08,0.0,1.67,939.34,0.0,66.56,42.27,68.15,0.0,267.21,1206.55,22.09,0.28,0.0,3.69,0.0,0.0,0.0,0.0,0.0,90.23,3.36,0.0,337.08,16.59,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,69.93,69.93,285.98,604.35,674.27,520.39,38.92,0.0,0.0,559.31,33.15,116.84,91.48,12.65,254.12,1487.7,890.56,7.43,56.9,954.89,0.0,1.9,978.31,0.0,83.98,46.13,285.42,0.0,509.39,1487.7,153.96,0.93,0.0,8.98,0.0,0.0,0.0,0.0,0.0,93.87,5.94,0.0,318.37,21.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,69.93,69.93,445.44,750.18,820.11,487.09,53.1,0.0,0.0,540.19,40.67,91.8,111.0,41.72,285.19,1645.48,915.01,7.43,164.39,1086.83,15.91,1.74,1114.39,0.0,110.01,62.16,192.54,0.0,531.09,1645.48,161.88,1.16,0.01,15.98,0.0,0.63,15.27,0.0,0.0,166.39,13.97,0.0,304.74,9.91,14.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,69.93,69.93,692.26,983.41,1053.34,404.82,65.57,0.0,0.0,470.4,72.82,119.02,152.49,52.01,396.34,1920.08,1081.71,7.43,133.84,1222.97,9.5,1.96,1249.02,0.0,114.53,57.26,145.44,0.0,671.06,1920.08,181.99,1.23,0.01,13.17,0.0,0.0,9.5,0.0,0.0,353.83,9.83,0.0,291.15,14.58,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,69.93,69.93,838.27,1116.13,1186.06,489.04,116.32,0.0,0.0,605.36,38.08,119.35,184.3,43.74,385.47,2176.88,1208.32,7.43,35.06,1250.81,10.74,2.44,1279.71,0.0,136.13,53.04,125.2,0.0,897.17,2176.88,581.85,1.58,0.02,14.87,0.0,0.0,10.74,0.0,0.0,582.81,34.36,0.0,277.85,15.72,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,69.93,69.93,1018.58,1283.82,1353.75,963.02,216.87,0.0,0.0,1179.9,59.92,143.45,236.48,28.54,468.39,3002.04,2039.09,13.11,225.28,2277.49,5.99,2.69,2317.24,0.0,237.62,81.87,131.67,0.0,684.79,3002.04,151.63,1.67,0.02,20.35,0.0,0.15,5.84,0.0,0.0,233.62,76.3,0.0,265.24,31.07,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,69.93,69.93,1076.35,1329.11,1399.04,1058.36,210.9,61.65,9.11,1340.02,59.9,175.24,394.18,34.27,663.6,3402.65,2288.79,7.69,98.44,2394.92,5.84,7.88,2468.09,0.0,321.02,60.76,321.08,5.81,934.57,3402.65,126.2,2.18,0.01,18.99,0.0,0.0,5.84,0.0,59.45,225.9,49.01,24.63,252.77,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,69.93,69.93,1218.98,1459.08,1529.01,996.52,229.11,77.15,10.89,1313.67,82.83,227.93,375.1,51.81,737.67,3580.35,2311.88,3.94,85.05,2400.86,10.84,0.0,2495.65,0.0,362.83,83.72,432.49,11.54,1084.7,3580.35,133.01,2.02,0.01,27.35,0.0,5.03,5.84,0.0,83.94,194.12,62.26,66.35,240.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,69.93,69.93,1400.2,1627.46,1697.39,953.14,249.04,87.11,14.22,1303.51,188.65,196.52,450.91,64.96,901.04,3901.94,2361.8,2.48,107.51,2471.79,169.3,0.0,2869.44,0.0,461.38,115.27,332.46,6.68,1032.49,3901.94,942.82,1.51,0.02,43.62,0.0,27.08,142.8,0.0,228.35,116.71,79.9,98.49,227.26,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
